sys.exec.out.time {s},planet_rel_state.relstate_name.position_vector_only {--},planet_rel_state.relstate_name.state.rot.ang_vel_mag {rad/s},planet_rel_state.relstate_direct.position_vector_only {--},planet_rel_state.relstate_direct.state.rot.ang_vel_mag {rad/s},planet_rel_state.position_mag_name {m},planet_rel_state.position_mag_direct {m},planet_rel_state.velocity_mag_name {m/s},planet_rel_state.velocity_mag_direct {m/s},planet_rel_state.relstate_name.state.trans.position[0] {m},planet_rel_state.relstate_name.state.trans.position[1] {m},planet_rel_state.relstate_name.state.trans.position[2] {m},planet_rel_state.relstate_name.state.trans.velocity[0] {m/s},planet_rel_state.relstate_name.state.trans.velocity[1] {m/s},planet_rel_state.relstate_name.state.trans.velocity[2] {m/s},planet_rel_state.relstate_direct.state.trans.position[0] {m},planet_rel_state.relstate_direct.state.trans.position[1] {m},planet_rel_state.relstate_direct.state.trans.position[2] {m},planet_rel_state.relstate_direct.state.trans.velocity[0] {m/s},planet_rel_state.relstate_direct.state.trans.velocity[1] {m/s},planet_rel_state.relstate_direct.state.trans.velocity[2] {m/s}
                   0,1,                   0,1,                   0,   151964040701.5569,   151964040701.5569,                   0,                   0,  -14655013341.41033,  -138776576787.9881,  -60161133510.89052,                   0,                   0,                   0,  -14655013341.41033,  -138776576787.9881,  -60161133510.89052,                   0,                   0,                   0
                  10,1,                   0,1,                   0,   151964042186.8989,   151964042186.8989,                   0,                   0,  -14654721754.24914,  -138776604074.0363,  -60161145349.51364,                   0,                   0,                   0,  -14654721754.24914,  -138776604074.0363,  -60161145349.51364,                   0,                   0,                   0
                  20,1,                   0,1,                   0,   151964043672.2336,   151964043672.2336,                   0,                   0,  -14654430166.96184,  -138776631359.5679,  -60161157187.91262,                   0,                   0,                   0,  -14654430166.96184,  -138776631359.5679,  -60161157187.91262,                   0,                   0,                   0
                  30,1,                   0,1,                   0,   151964045157.5604,   151964045157.5604,                   0,                   0,  -14654138579.62177,  -138776658644.5761,  -60161169026.08448,                   0,                   0,                   0,  -14654138579.62177,  -138776658644.5761,  -60161169026.08448,                   0,                   0,                   0
                  40,1,                   0,1,                   0,   151964046642.8792,   151964046642.8792,                   0,                   0,  -14653846992.30225,  -138776685929.0539,  -60161180864.02623,                   0,                   0,                   0,  -14653846992.30225,  -138776685929.0539,  -60161180864.02623,                   0,                   0,                   0
                  50,1,                   0,1,                   0,   151964048128.1905,   151964048128.1905,                   0,                   0,  -14653555404.85663,  -138776713213.0151,  -60161192701.74385,                   0,                   0,                   0,  -14653555404.85663,  -138776713213.0151,  -60161192701.74385,                   0,                   0,                   0
                  60,1,                   0,1,                   0,   151964049613.4937,   151964049613.4937,                   0,                   0,  -14653263817.43156,   -138776740496.446,  -60161204539.23136,                   0,                   0,                   0,  -14653263817.43156,   -138776740496.446,  -60161204539.23136,                   0,                   0,                   0
                  70,1,                   0,1,                   0,   151964051098.7896,   151964051098.7896,                   0,                   0,  -14652972229.88039,  -138776767779.3602,  -60161216376.49473,                   0,                   0,                   0,  -14652972229.88039,  -138776767779.3602,  -60161216376.49473,                   0,                   0,                   0
                  80,1,                   0,1,                   0,   151964052584.0773,   151964052584.0773,                   0,                   0,  -14652680642.34978,  -138776795061.7441,  -60161228213.52799,                   0,                   0,                   0,  -14652680642.34978,  -138776795061.7441,  -60161228213.52799,                   0,                   0,                   0
                  90,1,                   0,1,                   0,   151964054069.3577,   151964054069.3577,                   0,                   0,  -14652389054.69308,  -138776822343.6115,  -60161240050.33712,                   0,                   0,                   0,  -14652389054.69308,  -138776822343.6115,  -60161240050.33712,                   0,                   0,                   0
                 100,1,                   0,1,                   0,   151964055554.6303,   151964055554.6303,                   0,                   0,   -14652097466.9836,  -138776849624.9553,  -60161251886.91914,                   0,                   0,                   0,   -14652097466.9836,  -138776849624.9553,  -60161251886.91914,                   0,                   0,                   0
                 110,1,                   0,1,                   0,   151964057039.8948,   151964057039.8948,                   0,                   0,  -14651805879.29468,  -138776876905.7687,  -60161263723.27104,                   0,                   0,                   0,  -14651805879.29468,  -138776876905.7687,  -60161263723.27104,                   0,                   0,                   0
                 120,1,                   0,1,                   0,   151964058525.1519,   151964058525.1519,                   0,                   0,  -14651514291.47968,  -138776904186.0656,  -60161275559.39881,                   0,                   0,                   0,  -14651514291.47968,  -138776904186.0656,  -60161275559.39881,                   0,                   0,                   0
