sys.exec.out.time {s},vehicle.planet_rel_state.range_safety.XVRT_Azi {rad},vehicle.planet_rel_state.range_safety.YVRT_Azi {rad},vehicle.planet_rel_state.range_safety.T_pfix_pad[0][0] {--},vehicle.planet_rel_state.range_safety.T_pfix_pad[0][1] {--},vehicle.planet_rel_state.range_safety.T_pfix_pad[0][2] {--},vehicle.planet_rel_state.range_safety.T_pfix_pad[1][0] {--},vehicle.planet_rel_state.range_safety.T_pfix_pad[1][1] {--},vehicle.planet_rel_state.range_safety.T_pfix_pad[1][2] {--},vehicle.planet_rel_state.range_safety.T_pfix_pad[2][0] {--},vehicle.planet_rel_state.range_safety.T_pfix_pad[2][1] {--},vehicle.planet_rel_state.range_safety.T_pfix_pad[2][2] {--},vehicle.planet_rel_state.range_safety.T_pfix_pad_SEU[0][0] {--},vehicle.planet_rel_state.range_safety.T_pfix_pad_SEU[0][1] {--},vehicle.planet_rel_state.range_safety.T_pfix_pad_SEU[0][2] {--},vehicle.planet_rel_state.range_safety.T_pfix_pad_SEU[1][0] {--},vehicle.planet_rel_state.range_safety.T_pfix_pad_SEU[1][1] {--},vehicle.planet_rel_state.range_safety.T_pfix_pad_SEU[1][2] {--},vehicle.planet_rel_state.range_safety.T_pfix_pad_SEU[2][0] {--},vehicle.planet_rel_state.range_safety.T_pfix_pad_SEU[2][1] {--},vehicle.planet_rel_state.range_safety.T_pfix_pad_SEU[2][2] {--},vehicle.planet_rel_state.range_safety.XVRT {m},vehicle.planet_rel_state.range_safety.YVRT {m},vehicle.planet_rel_state.range_safety.ZVRT {m},vehicle.planet_rel_state.range_safety.XPad[0] {m},vehicle.planet_rel_state.range_safety.XPad[1] {m},vehicle.planet_rel_state.range_safety.XPad[2] {m},vehicle.planet_rel_state.range_safety.VPad[0] {m/s},vehicle.planet_rel_state.range_safety.VPad[1] {m/s},vehicle.planet_rel_state.range_safety.VPad[2] {m/s},vehicle.planet_rel_state.range_safety.NPad[0] {m/s2},vehicle.planet_rel_state.range_safety.NPad[1] {m/s2},vehicle.planet_rel_state.range_safety.NPad[2] {m/s2},vehicle.planet_rel_state.range_safety.pad_azimuth {rad},vehicle.planet_rel_state.range_safety.XVP[0] {m},vehicle.planet_rel_state.range_safety.XVP[1] {m},vehicle.planet_rel_state.range_safety.XVP[2] {m},vehicle.planet_rel_state.range_safety.slant_range {m},vehicle.body.derivs.trans_accel[0] {m/s2},vehicle.body.derivs.trans_accel[1] {m/s2},vehicle.body.derivs.trans_accel[2] {m/s2},vehicle.planet_rel_state.relative_accel[0] {m/s2},vehicle.planet_rel_state.relative_accel[1] {m/s2},vehicle.planet_rel_state.relative_accel[2] {m/s2}
                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,  -0.589039050950834,    8.30628702274119,  -5.105417014723983,                   0,                   0,                   0
                   5,                   0,                   0,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0, -0.6454423883029998,   8.302186544185211,  -5.105355463526208,                   0,                   0,                   0
                  10,                   0,                   0,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0, -0.7018317556765202,   8.297885759197875,  -5.105170805180241,                   0,                   0,                   0
                  15,                   0,                   0,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0, -0.7582073819153657,   8.293384628270424,  -5.104863025448551,                   0,                   0,                   0
                  20,                   0,                   0,-0.08883965493178834,  0.5150819886181348,  0.8525245220595056,  0.9854497299884601,   0.169967142900241,-5.220207135674003e-17,  0.1449011572668477, -0.8401200600720808,  0.5226872289306594,  0.0888396549317884, -0.5150819886181348, -0.8525245220595056,  0.9854497299884601,   0.169967142900241,                   0,  0.1449011572668477, -0.8401200600720808,  0.5226872289306594,   25541.23980728617,   25541.23980728617,   3283.931543270182,   25541.23980728607,  -396342.3309830771,   3283.931543270182,  -371.2048034750622,   6978.447770445905,   410.1103132693387, -0.5570000108854805,  0.5246913250693009,  -8.857258559787756,   4.776742367843912,  -25541.23980728609,  -396342.3309830771,   3283.931543270182,   397178.0236447797, -0.8145694958373291,   8.288683096380961,  -5.104432100605108, -0.7168864021440399,   7.243440205482195,  -5.104432100605108
                  25,                   0,                   0,-0.08883965493178834,  0.5150819886181348,  0.8525245220595056,  0.9854497299884601,   0.169967142900241,-5.220207135674003e-17,  0.1449011572668477, -0.8401200600720808,  0.5226872289306594,  0.0888396549317884, -0.5150819886181348, -0.8525245220595056,  0.9854497299884601,   0.169967142900241,                   0,  0.1449011572668477, -0.8401200600720808,  0.5226872289306594,   23609.57104452079,   23609.57104452079,   5335.795136290004,   23609.57104452074,  -359462.2317320904,   5335.795136290004,  -372.6527838242307,   6981.136122594805,   363.6458379998958,  -0.554259148386786,  0.4741920583403513,    -8.8606689153905,   4.777975033168492,  -23609.57104452076,  -359462.2317320904,   5335.795136290004,   360276.2531675627, -0.8709183246116031,   8.283781093105668,  -5.103877997433045, -0.7673885526588272,   7.239133866457919,  -5.103877997433045
                  30,                   0,                   0,-0.08883965493178834,  0.5150819886181348,  0.8525245220595056,  0.9854497299884601,   0.169967142900241,-5.220207135674003e-17,  0.1449011572668477, -0.8401200600720808,  0.5226872289306594,  0.0888396549317884, -0.5150819886181348, -0.8525245220595056,  0.9854497299884601,   0.169967142900241,                   0,  0.1449011572668477, -0.8401200600720808,  0.5226872289306594,   21677.72771727035,   21677.72771727035,    7143.82672870446,   21677.72771727039,    -322568.38941592,    7143.82672870446,  -374.0865192142314,   6983.557762876106,   317.1640184607046, -0.5514967916362137,  0.4236748887208201,  -8.863878583748281,   4.779491592164382,  -21677.72771727041,    -322568.38941592,    7143.82672870446,   323374.8969689738, -0.9272540935740106,   8.278678532631215,  -5.103200673224221, -0.8178811753001801,    7.23466695445219,  -5.103200673224221
                  35,                   0,                   0,-0.08883965493178834,  0.5150819886181348,  0.8525245220595056,  0.9854497299884601,   0.169967142900241,-5.220207135674003e-17,  0.1449011572668477, -0.8401200600720808,  0.5226872289306594,  0.0888396549317884, -0.5150819886181348, -0.8525245220595056,  0.9854497299884601,   0.169967142900241,                   0,  0.1449011572668477, -0.8401200600720808,  0.5226872289306594,   19745.78367677951,   19745.78367677951,   8707.938262529908,   19745.78367677949,  -285662.2136184584,   8707.938262529908,  -375.5059529616568,   6985.712592894274,   270.6659411671845, -0.5487129205974144,  0.3731394406780138,  -8.866887497672767,   4.781402046693864,  -19745.78367677951,  -285662.2136184584,   8707.938262529908,   286476.2196957925, -0.9835770260420497,   8.273375313766964,  -5.102400075778674, -0.8683646321810453,   7.230039359510883,  -5.102400075778674
                  40,                   0,                   0,-0.08883965493178834,  0.5150819886181348,  0.8525245220595056,  0.9854497299884601,   0.169967142900241,-5.220207135674003e-17,  0.1449011572668477, -0.8401200600720808,  0.5226872289306594,  0.0888396549317884, -0.5150819886181348, -0.8525245220595056,  0.9854497299884601,   0.169967142900241,                   0,  0.1449011572668477, -0.8401200600720808,  0.5226872289306594,   17813.81278923171,   17813.81278923171,   10028.04755158478,   17813.81278923188,  -248745.1144599903,   10028.04755158478,  -376.9110283015963,   6987.600512701802,   224.1526930465645, -0.5459075151471837,   0.322585338191239,  -8.869695571956379,    4.78388165063558,  -17813.81278923189,  -248745.1144599903,   10028.04755158478,   249583.7046593794,  -1.039887343129725,   8.267871319957026,  -5.101476143403965, -0.9188392832919754,    7.22525095650334,  -5.101476143403965
                  45,                   0,                   0,-0.08883965493178834,  0.5150819886181348,  0.8525245220595056,  0.9854497299884601,   0.169967142900241,-5.220207135674003e-17,  0.1449011572668477, -0.8401200600720808,  0.5226872289306594,  0.0888396549317884, -0.5150819886181348, -0.8525245220595056,  0.9854497299884601,   0.169967142900241,                   0,  0.1449011572668477, -0.8401200600720808,  0.5226872289306594,   15881.88893605451,   15881.88893605451,   11104.07828394027,   15881.88893605449,   -211818.502603133,   11104.07828394027,  -378.3016883875218,    6989.22142079732,   177.6253615285033, -0.5430805550849915,  0.2720122049252694,  -8.872302703355205,   4.787227708116617,   -15881.8889360545,   -211818.502603133,   11104.07828394027,   212703.1099813693,  -1.096185263562113,   8.262166419292111,  -5.100428804914373, -0.9693054863268631,   7.220301605132584,  -5.100428804914373
