sys.exec.out.time {s},vehicle.planet_rel_state.entry_range.crossrange_angle {rad},vehicle.planet_rel_state.entry_range.downrange_angle {rad},vehicle.planet_rel_state.entry_range.totalrange_angle {rad},vehicle.planet_rel_state.entry_range.crossrange_angle {rad},vehicle.planet_rel_state.entry_range.downrange_angle {rad},vehicle.planet_rel_state.entry_range.total_range_avg_rad {m},vehicle.planet_rel_state.entry_range.cross_range_avg_rad {m},vehicle.planet_rel_state.entry_range.down_range_avg_rad {m},vehicle.planet_rel_state.entry_range.total_range_ref_rad {m},vehicle.planet_rel_state.entry_range.cross_range_ref_rad {m},vehicle.planet_rel_state.entry_range.down_range_ref_rad {m}
                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0
                   5,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0
                  10,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0
                  15,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0
                  20,  0.0231597012962583,-2.107342425544702e-08, 0.02315970129626569,  0.0231597012962583,-2.107342425544702e-08,   147944.5600361473,      147944.5600361, -0.1346173873334837,   147947.3433629742,    147947.343362927, -0.1346199199320831
                  25, 0.02894999617222568,                  -0, 0.02894999617222664, 0.02894999617222568,                  -0,   184931.1033045544,   184931.1033045482,                  -0,   184936.5399518264,   184936.5399518202,                  -0
                  30, 0.03474056345172007,-2.107342425544702e-08, 0.03474056345172608, 0.03474056345172007,-2.107342425544702e-08,   221918.0817585023,   221918.0817584639, -0.1346142210200549,   221927.4766917852,   221927.4766917468, -0.1346199199320831
                  35, 0.04053145762636495,-2.107342425544702e-08,  0.0405314576263702, 0.04053145762636495,-2.107342425544702e-08,   258905.5825305721,   258905.5825305386, -0.1346121630528444,   258920.5016826932,   258920.5016826597, -0.1346199199320831
                  40, 0.04632273319373608,                  -0, 0.04632273319373531, 0.04632273319373608,                  -0,   295893.6928053557,   295893.6928053606,                  -0,   295915.9630625307,   295915.9630625356,                  -0
                  45, 0.05211444465835129,                  -0, 0.05211444465834963, 0.05211444465835129,                  -0,   332882.4998280619,   332882.4998280726,                  -0,   332914.2090136877,   332914.2090136983,                  -0
                  50, 0.05790664653265867,                  -0, 0.05790664653265899, 0.05790664653265867,                  -0,   369872.0909130318,   369872.0909130297,                  -0,   369915.5877691333,   369915.5877691312,                  -0
                  55, 0.06369939333802409,                  -0, 0.06369939333802363, 0.06369939333802409,                  -0,   406862.5534524636,   406862.5534524666,                  -0,   406920.4476187826,   406920.4476187855,                  -0
                  60, 0.06949273960571645,                  -0, 0.06949273960571559, 0.06949273960571645,                  -0,   443853.9749251555,    443853.974925161,                  -0,   443929.1369158691,   443929.1369158746,                  -0
                  65, 0.07528673987789203,-1.490116119384766e-08, 0.07528673987789347, 0.07528673987789203,-1.490116119384766e-08,   480846.4429051193,   480846.4429051101,-0.09517174427845511,   480942.0040831708,   480942.0040831616,-0.09519065826676605
                  70, 0.08108144870857656,-2.107342425544702e-08, 0.08108144870857903, 0.08108144870857656,-2.107342425544702e-08,   517840.0450702218,    517840.045070206, -0.1345888996809445,   517959.3976192493,   517959.3976192335, -0.1346199199320831
                  75, 0.08687692066464558,-1.490116119384766e-08, 0.08687692066464725, 0.08687692066464558,-1.490116119384766e-08,    554834.869210931,   554834.8692109203,-0.09516547960986635,   554981.6661047745,   554981.6661047639,-0.09519065826676605
                  80, 0.09267321032680279,-1.490116119384766e-08, 0.09267321032680344, 0.09267321032680279,-1.490116119384766e-08,   591831.0032389988,   591831.0032389947,-0.09516201227605717,   592009.1582087659,   592009.1582087617,-0.09519065826676605
                  85,  0.0984703722905555,-1.490116119384766e-08,  0.0984703722905563,  0.0984703722905555,-1.490116119384766e-08,   628828.5351961399,   628828.5351961348, -0.0951583217193486,   629042.2226948097,   629042.2226948045,-0.09519065826676605
                  90,  0.1042684611671881,-1.490116119384766e-08,  0.1042684611671896,  0.1042684611671881,-1.490116119384766e-08,   665827.5532627231,   665827.5532627141, -0.0951544080291374,   666081.2084272646,   666081.2084272556,-0.09519065826676605
                  95,  0.1100675315847333,                  -0,  0.1100675315847334,  0.1100675315847333,                  -0,   702828.1457664868,   702828.1457664859,                  -0,   703126.4643774683,   703126.4643774675,                  -0
                 100,  0.1158676381889391,-2.107342425544702e-08,  0.1158676381889408,  0.1158676381889391,-2.107342425544702e-08,   739830.4011913111,   739830.4011913001, -0.1345566386358789,   740178.3396299736,   740178.3396299627, -0.1346199199320831
