sys.exec.out.time {s},earth.planet.pfix.state.trans.position[0] {m},earth.planet.pfix.state.trans.position[1] {m},earth.planet.pfix.state.trans.position[2] {m},earth.planet.pfix.state.rot.ang_vel_this[0] {rad/s},earth.planet.pfix.state.rot.ang_vel_this[1] {rad/s},earth.planet.pfix.state.rot.ang_vel_this[2] {rad/s},earth.planet.pfix.state.rot.T_parent_this[0][0] {--},earth.planet.pfix.state.rot.T_parent_this[0][1] {--},earth.planet.pfix.state.rot.T_parent_this[0][2] {--},earth.planet.pfix.state.rot.T_parent_this[1][0] {--},earth.planet.pfix.state.rot.T_parent_this[1][1] {--},earth.planet.pfix.state.rot.T_parent_this[1][2] {--},earth.planet.pfix.state.rot.T_parent_this[2][0] {--},earth.planet.pfix.state.rot.T_parent_this[2][1] {--},earth.planet.pfix.state.rot.T_parent_this[2][2] {--},vehicle.planet_rel_state.inrtl_vel_mag {m/s},vehicle.planet_rel_state.relative_vel_mag {m/s},vehicle.planet_rel_state.relative_vel[0] {m/s},vehicle.planet_rel_state.relative_vel[1] {m/s},vehicle.planet_rel_state.relative_vel[2] {m/s},vehicle.planet_rel_state.pfix_rel_vel[0] {m/s},vehicle.planet_rel_state.pfix_rel_vel[1] {m/s},vehicle.planet_rel_state.pfix_rel_vel[2] {m/s}
                   0,                   0,                   0,                   0,                   0,                   0,7.292115146706388e-05,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,   7397.131758786853,                   0,                   0,                   0,                   0,                   0,                   0,                   0
                   5,                   0,                   0,                   0,                   0,                   0,7.292115146706388e-05,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,   7397.151600982213,                   0,                   0,                   0,                   0,                   0,                   0,                   0
                  10,                   0,                   0,                   0,                   0,                   0,7.292115146706388e-05,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,    7397.21112733059,                   0,                   0,                   0,                   0,                   0,                   0,                   0
                  15,                   0,                   0,                   0,                   0,                   0,7.292115146706388e-05,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,   7397.310337118845,                   0,                   0,                   0,                   0,                   0,                   0,                   0
                  20,                   0,                   0,                   0,                   0,                   0,7.292115146706388e-05,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,   7397.449229158257,   7000.336903322172,   6969.312636774032,   650.3640200426918,  -102.1017744701351,   6969.312636774032,   650.3640200426918,  -102.1017744701351
                  25,                   0,                   0,                   0,                   0,                   0,7.292115146706388e-05,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,   7397.627801784291,   7000.526405562986,   6965.357754509509,   689.1108607334024,  -127.6226010475639,   6965.357754509509,   689.1108607334024,  -127.6226010475639
                  30,                   0,                   0,                   0,                   0,                   0,7.292115146706388e-05,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,   7397.846052856287,   7000.758013664741,    6961.13626238506,   727.8342777608385,  -153.1403490762789,    6961.13626238506,   727.8342777608385,  -153.1403490762789
                  35,                   0,                   0,                   0,                   0,                   0,7.292115146706388e-05,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,   7398.103979757042,   7001.031724177459,   6956.648215838441,    766.533370794195,  -178.6544023245513,   6956.648215838441,    766.533370794195,  -178.6544023245513
                  40,                   0,                   0,                   0,                   0,                   0,7.292115146706388e-05,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,   7398.401579392305,   7001.347533022901,   6951.893668830443,   805.2072389348937,   -204.164144275922,   6951.893668830443,   805.2072389348937,   -204.164144275922
                  45,                   0,                   0,                   0,                   0,                   0,7.292115146706388e-05,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,    7398.73884819019,   7001.705435494063,   6946.872673856165,   843.8549806401899,  -229.6689580817364,   6946.872673856165,   843.8549806401899,  -229.6689580817364
                  50,                   0,                   0,                   0,                   0,                   0,7.292115146706388e-05,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,   7399.115782100474,   7002.105426254595,   6941.585281957173,   882.4756936468339,  -255.1682265136765,   6941.585281957173,   882.4756936468339,  -255.1682265136765
                  55,                   0,                   0,                   0,                   0,                   0,7.292115146706388e-05,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,   7399.532376593833,   7002.547499338154,   6936.031542734578,   921.0684748947847,  -280.6613319162875,   6936.031542734578,   921.0684748947847,  -280.6613319162875
                  60,                   0,                   0,                   0,                   0,                   0,7.292115146706388e-05,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,   7399.988626660957,   7003.031648147675,   6930.211504363007,   959.6324204509772,  -306.1476561594985,   6930.211504363007,   959.6324204509772,  -306.1476561594985
                  65,                   0,                   0,                   0,                   0,                   0,7.292115146706388e-05,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,   7400.484526811599,   7003.557865454554,   6924.125213605485,   998.1666254331408,   -331.626580591139,   6924.125213605485,   998.1666254331408,   -331.626580591139
                  70,                   0,                   0,                   0,                   0,                   0,7.292115146706388e-05,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,   7401.020071073503,   7004.126143397767,   6917.772715829209,   1036.670183933666,   -357.097485989447,   6917.772715829209,   1036.670183933666,   -357.097485989447
                  75,                   0,                   0,                   0,                   0,                   0,7.292115146706388e-05,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,   7401.595252991271,   7004.736473482905,   6911.154055022263,   1075.142188943523,  -382.5597525155717,   6911.154055022263,   1075.142188943523,  -382.5597525155717
                  80,                   0,                   0,                   0,                   0,                   0,7.292115146706388e-05,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,   7402.210065625106,   7005.388846581126,   6904.269273811212,   1113.581732276228,  -408.0127596660684,   6904.269273811212,   1113.581732276228,  -408.0127596660684
                  85,                   0,                   0,                   0,                   0,                   0,7.292115146706388e-05,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,   7402.864501549487,   7006.083252928043,   6897.118413479634,   1151.987904491854,  -433.4558862253849,   6897.118413479634,   1151.987904491854,  -433.4558862253849
                  90,                   0,                   0,                   0,                   0,                   0,7.292115146706388e-05,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,   7403.558552851739,   7006.819682122516,   6889.701513987566,   1190.359794821092,  -458.8885102183409,   6889.701513987566,   1190.359794821092,  -458.8885102183409
                  95,                   0,                   0,                   0,                   0,                   0,7.292115146706388e-05,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,   7404.292211130502,   7007.598123125374,   6882.018613991862,   1228.696491089355,  -484.3100088625974,   6882.018613991862,   1228.696491089355,  -484.3100088625974
                 100,                   0,                   0,                   0,                   0,                   0,7.292115146706388e-05,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,   7405.065467494129,   7008.418564258056,   6874.069750867493,    1266.99707964093,  -509.7197585211182,   6874.069750867493,    1266.99707964093,  -509.7197585211182
