sys.exec.out.time {s},earth.planet.pfix.state.trans.position[0] {m},earth.planet.pfix.state.trans.position[1] {m},earth.planet.pfix.state.trans.position[2] {m},earth.planet.pfix.state.rot.ang_vel_this[0] {rad/s},earth.planet.pfix.state.rot.ang_vel_this[1] {rad/s},earth.planet.pfix.state.rot.ang_vel_this[2] {rad/s},earth.planet.pfix.state.rot.T_parent_this[0][0] {--},earth.planet.pfix.state.rot.T_parent_this[0][1] {--},earth.planet.pfix.state.rot.T_parent_this[0][2] {--},earth.planet.pfix.state.rot.T_parent_this[1][0] {--},earth.planet.pfix.state.rot.T_parent_this[1][1] {--},earth.planet.pfix.state.rot.T_parent_this[1][2] {--},earth.planet.pfix.state.rot.T_parent_this[2][0] {--},earth.planet.pfix.state.rot.T_parent_this[2][1] {--},earth.planet.pfix.state.rot.T_parent_this[2][2] {--},vehicle.planet_rel_state.inrtl_vel_mag {m/s},vehicle.planet_rel_state.relative_vel_mag {m/s},vehicle.planet_rel_state.relative_vel[0] {m/s},vehicle.planet_rel_state.relative_vel[1] {m/s},vehicle.planet_rel_state.relative_vel[2] {m/s},vehicle.planet_rel_state.pfix_rel_vel[0] {m/s},vehicle.planet_rel_state.pfix_rel_vel[1] {m/s},vehicle.planet_rel_state.pfix_rel_vel[2] {m/s}
                   0,                   0,                   0,                   0,                   0,                   0,7.292115146706388e-05,                  -1,                   0,                   0,                   0,                  -1,                   0,                   0,                   0,                   1,   7397.131758786853,   7000.000000000001,  -6982.464906228382,  -495.1604116739204,                   0,   6982.464906228382,   495.1604116739204,                   0
                   5,                   0,                   0,                   0,                   0,                   0,7.292115146706388e-05,                  -1,                   0,                   0,                   0,                  -1,                   0,                   0,                   0,                   1,   7397.151600982213,   7000.021056849459,  -6979.577047664527,  -533.9919523882063,  -25.52698248854627,   6979.577047664527,   533.9919523882063,  -25.52698248854627
                  10,                   0,                   0,                   0,                   0,                   0,7.292115146706388e-05,                  -1,                   0,                   0,                   0,                  -1,                   0,                   0,                   0,                   1,    7397.21112733059,    7000.08422708439,   -6976.42234252613,  -572.8036666145564,  -51.05334945715854,    6976.42234252613,   572.8036666145564,  -51.05334945715854
                  15,                   0,                   0,                   0,                   0,                   0,7.292115146706388e-05,                  -1,                   0,                   0,                   0,                  -1,                   0,                   0,                   0,                   1,   7397.310337118845,   7000.189509764428,  -6973.000852253538,  -611.5946555281886,  -76.57848533845124,   6973.000852253538,   611.5946555281886,  -76.57848533845124
                  20,                   0,                   0,                   0,                   0,                   0,7.292115146706388e-05,                  -1,                   0,                   0,                   0,                  -1,                   0,                   0,                   0,                   1,   7397.449229158257,   7000.336903322172,  -6969.312636774032,  -650.3640200426918,  -102.1017744701351,   6969.312636774032,   650.3640200426918,  -102.1017744701351
