sys.exec.out.time {s},vehicle.planet_rel_state.topocentric.T_pfix_to_this[0][0] {--},vehicle.planet_rel_state.topocentric.T_pfix_to_this[0][1] {--},vehicle.planet_rel_state.topocentric.T_pfix_to_this[0][2] {--},vehicle.planet_rel_state.topocentric.T_pfix_to_this[1][0] {--},vehicle.planet_rel_state.topocentric.T_pfix_to_this[1][1] {--},vehicle.planet_rel_state.topocentric.T_pfix_to_this[1][2] {--},vehicle.planet_rel_state.topocentric.T_pfix_to_this[2][0] {--},vehicle.planet_rel_state.topocentric.T_pfix_to_this[2][1] {--},vehicle.planet_rel_state.topocentric.T_pfix_to_this[2][2] {--},vehicle.planet_rel_state.topocentric.T_inrtl_to_this[0][0] {--},vehicle.planet_rel_state.topocentric.T_inrtl_to_this[0][1] {--},vehicle.planet_rel_state.topocentric.T_inrtl_to_this[0][2] {--},vehicle.planet_rel_state.topocentric.T_inrtl_to_this[1][0] {--},vehicle.planet_rel_state.topocentric.T_inrtl_to_this[1][1] {--},vehicle.planet_rel_state.topocentric.T_inrtl_to_this[1][2] {--},vehicle.planet_rel_state.topocentric.T_inrtl_to_this[2][0] {--},vehicle.planet_rel_state.topocentric.T_inrtl_to_this[2][1] {--},vehicle.planet_rel_state.topocentric.T_inrtl_to_this[2][2] {--},vehicle.planet_rel_state.topocentric.T_this_to_body[0][0] {--},vehicle.planet_rel_state.topocentric.T_this_to_body[0][1] {--},vehicle.planet_rel_state.topocentric.T_this_to_body[0][2] {--},vehicle.planet_rel_state.topocentric.T_this_to_body[1][0] {--},vehicle.planet_rel_state.topocentric.T_this_to_body[1][1] {--},vehicle.planet_rel_state.topocentric.T_this_to_body[1][2] {--},vehicle.planet_rel_state.topocentric.T_this_to_body[2][0] {--},vehicle.planet_rel_state.topocentric.T_this_to_body[2][1] {--},vehicle.planet_rel_state.topocentric.T_this_to_body[2][2] {--},vehicle.planet_rel_state.topocentric.E_this_to_body_YPR[0] {rad},vehicle.planet_rel_state.topocentric.E_this_to_body_YPR[1] {rad},vehicle.planet_rel_state.topocentric.E_this_to_body_YPR[2] {rad},vehicle.planet_rel_state.topocentric_altitude {m}
                   0,-0.03697343192200082,   0.521377890420298,  0.8525245220595059,  0.9974949866040544, 0.07073720166770291,                   0,-0.06030519904358531,  0.8503889367113747,  -0.522687228930659, 0.03697343192200082,  -0.521377890420298,  0.8525245220595059, -0.9974949866040544,-0.07073720166770291,                   0, 0.06030519904358531, -0.8503889367113747,  -0.522687228930659,-0.03697343192200082,  0.9974949866040544,-0.06030519904358531,   0.521377890420298, 0.07073720166770291,  0.8503889367113747,  0.8525245220595059,                   0,  -0.522687228930659,     1.6078456489952, 0.06034181114924057,   2.121914605499037,   15863.75569061548
                   5,-0.04051269203113692,  0.5211060382641943,  0.8525298931233944,  0.9969915919005264, 0.07750977796158511,                   0,-0.06607940272160819,  0.8499651352878786, -0.5226784684019552, 0.04051269203113692, -0.5211060382641943,  0.8525298931233944, -0.9969915919005264,-0.07750977796158511,                   0, 0.06607940272160819, -0.8499651352878786, -0.5226784684019552,-0.04051269203113692,  0.9969915919005264,-0.06607940272160819,  0.5211060382641943, 0.07750977796158511,  0.8499651352878786,  0.8525298931233944,                   0, -0.5226784684019552,   1.611408921989788, 0.06612758660649831,   2.122129531297583,   15848.53271440842
                  10,-0.04404843250951933,  0.5207927072637974,  0.8525460055940083,  0.9964422237904451, 0.08427867255452232,                   0,-0.07185144564312337,  0.8495128376977549, -0.5226521867797944, 0.04404843250951933, -0.5207927072637974,  0.8525460055940083, -0.9964422237904451,-0.08427867255452232,                   0, 0.07185144564312337, -0.8495128376977549, -0.5226521867797944,-0.04404843250951933,  0.9964422237904451,-0.07185144564312337,  0.5207927072637974, 0.08427867255452232,  0.8495128376977549,  0.8525460055940083,                   0, -0.5226521867797944,   1.614973272250584, 0.07191341345497236,   2.122344623886789,   15802.86416693934
                  15,-0.04758007899342379,  0.5204379492928466,  0.8525728573082982,  0.9958469195484715, 0.09104346668388751,                   0,-0.07762118852993483,  0.8490320536411073, -0.5226083839560595, 0.04758007899342379, -0.5204379492928466,  0.8525728573082982, -0.9958469195484715,-0.09104346668388751,                   0, 0.07762118852993483, -0.8490320536411073, -0.5226083839560595,-0.04758007899342379,  0.9958469195484715,-0.07762118852993483,  0.5204379492928466, 0.09104346668388751,  0.8490320536411073,  0.8525728573082982,                   0, -0.5226083839560595,   1.618538527455123,  0.0776993458645906,   2.122559899905569,   15726.75119168974
                  20,-0.05110705788696195,  0.5200418235951674,  0.8526104446615416,  0.9952057214585091, 0.09780374213826674,                   0,-0.08338849207407036,  0.8485227927024497, -0.5225470597506491, 0.05110705788696195, -0.5200418235951674,  0.8526104446615416, -0.9952057214585091,-0.09780374213826674,                   0, 0.08338849207407036, -0.8485227927024497, -0.5225470597506491,-0.05110705788696195,  0.9952057214585091,-0.08338849207407036,  0.5200418235951674, 0.09780374213826674,  0.8485227927024497,  0.8526104446615416,                   0, -0.5225470597506491,   1.622104515599313, 0.08348543800621429,   2.122775376049695,   15620.19569456366
