sys.exec.out.time {s},vehicle.planet_rel_state.landing_range.crossrange_angle {rad},vehicle.planet_rel_state.landing_range.downrange_angle {rad},vehicle.planet_rel_state.landing_range.totalrange_angle {rad},vehicle.planet_rel_state.landing_range.crossrange_angle {rad},vehicle.planet_rel_state.landing_range.downrange_angle {rad},vehicle.planet_rel_state.landing_range.total_range_avg_rad {m},vehicle.planet_rel_state.landing_range.cross_range_avg_rad {m},vehicle.planet_rel_state.landing_range.down_range_avg_rad {m},vehicle.planet_rel_state.landing_range.total_range_ref_rad {m},vehicle.planet_rel_state.landing_range.cross_range_ref_rad {m},vehicle.planet_rel_state.landing_range.down_range_ref_rad {m}
                   0,0.0007582615126655306, 0.08536968242870716, 0.08537304165281583,0.0007582615126655306, 0.08536968242870716,   544699.9507333579,   4837.885597089925,   544678.5180987571,   544025.2152818219,   4831.892769445206,   544003.8091964404
                   5,0.0007422522142420085, 0.07958008294720345, 0.07958353709601695,0.0007422522142420085, 0.07958008294720345,   507760.9611690019,   4735.736956232935,   507738.9229185602,   507132.5803011433,   4729.876232927904,   507110.5693241944
                  10, 0.00072856878925677, 0.07379042636679777, 0.07379401650604842, 0.00072856878925677, 0.07379042636679777,   470820.8474402219,   4648.417189058321,   470797.9416209638,   470239.8431518129,   4642.680930063333,   470216.9655988885
                  15,0.0007172133474839895, 0.06800065888499975, 0.06800443522790185,0.0007172133474839895, 0.06800065888499975,   433879.5856675297,   4575.940216233104,   433855.4919729314,   433346.7192773703,   4570.320305029266,   433322.6551732863
                  20,0.0007081876348361417, 0.06221072669975175, 0.06221475226236693,0.0007081876348361417, 0.06221072669975175,   396937.1753166416,   4518.317427040041,   396911.4917706108,   396452.9474173074,   4512.805483356571,   396427.2952029086
