sys.exec.out.time {s},vehicle.dyn_body.structure.state.trans.position[0] {m},vehicle.dyn_body.structure.state.trans.position[1] {m},vehicle.dyn_body.structure.state.trans.position[2] {m},vehicle.dyn_body.structure.state.trans.velocity[0] {m/s},vehicle.dyn_body.structure.state.trans.velocity[1] {m/s},vehicle.dyn_body.structure.state.trans.velocity[2] {m/s},apsides_predictor.apsides.time_to_next_apsis {s},apsides_predictor.apsides.next_apsis_type {--},apsides_predictor.apsides.apoapsis_altitude {m},apsides_predictor.apsides.periapsis_altitude {m},apsides_predictor.planet_rel_state.state.sphere_coords.altitude {m}
                   0,                   0,                   0,                   0,                   0,                   0,                   0,   3311.636622224132,0,   2070194.719545737,              421863,   421863.0000000009
                 300,   6416399.551835448,   1177404.035682774,   2060345.126697121,  -2525.213421530326,   3775.743302005212,   6606.446480422515,   3011.921328244471,0,   2069929.212709352,   421956.2805233682,   463024.1231676731
                 600,   5321425.466902764,   2225115.811523526,   3893109.428439817,  -4688.942591006735,   3150.715017254449,   5509.756858436022,   2711.826028264181,0,   2069651.513709357,   422061.0181487724,   580671.1160713341
                 900,   3664710.423510686,   3039705.918770897,   5316899.376710353,  -6241.350199084314,    2245.14598911172,   3921.348274760338,   2411.589836571551,0,   2069683.068388794,    421989.694783736,   759042.6630645096
                1200,   1647765.312303153,    3558579.97333628,   6222108.913517088,  -7086.533439678569,    1202.64772386443,   2093.617000067294,   2111.489340297505,0,   2069871.677458802,   421832.9787558727,   976675.1174322562
                1500,   -519204.921027886,   3760324.809849401,   6571480.537298929,  -7253.936562303456,   149.2065090493179,   247.8017139556314,   1811.512460360104,0,   2069955.601402964,   421773.7122073593,   1210932.302469647
                1800,  -2646657.238386357,   3656213.906821967,   6385126.618239096,  -6842.616896904067,   -824.302006520924,  -1456.700278661052,   1511.503184571959,0,   2069878.406358587,   421856.5546784671,   1441232.322450927
                2100,  -4579105.539062464,   3279490.086486632,   5721666.517643313,  -5974.399492887263,  -1661.195216220668,  -2920.633033243352,   1211.387069537048,0,   2069755.360356079,   421982.6948557701,   1650607.017862147
                2400,  -6197432.355698644,   2676330.362944816,   4662343.856949439,  -4767.013338275479,  -2330.279782995167,  -4089.520173451306,   911.2347855155105,0,   2069710.291309364,   422036.5447212709,   1826030.371251939
                2700,  -7415763.975272178,   1899639.829846208,   3300129.565786629,  -3323.599454927789,  -2816.473041847406,    -4937.1548271916,   611.1794398544058,0,   2069771.799714485,   421985.9517642492,    1958111.67497736
                3000,  -8176796.944890699,   1005371.034103081,   1733267.140473326,  -1731.836189923876,  -3113.551015679969,  -5452.854557019999,   311.2993192986511,0,   2069874.169484185,   421889.8059284454,   2040591.774252793
                3300,  -8447642.693351407,   50633.26740901717,   61961.21824777735,  -67.63179538426144,  -3219.434348770534,  -5633.190586434775,   11.55721528329804,0,    2069925.17598444,   421836.9196760571,   2069884.661600346
                3600,  -8217095.394325361,  -907117.8177469311,  -1613040.345919529,   1599.386880869922,  -3133.618374116781,  -5477.490357824483,   3023.369045713665,1,   2069880.452151449,   421874.3242784161,   2044773.340985542
                3900,  -7494648.425195179,  -1810385.917845003,  -3190983.381088308,   3199.831242628787,  -2856.325139828339,  -4986.367197038985,   2723.506052237648,1,   2069777.659851626,   421972.9540507048,   1966299.896950797
                4200,   -6311336.80359855,  -2601918.534759081,  -4571612.825550731,   4658.488525004796,  -2389.207771245879,  -4162.977229322665,   2423.456691159249,1,   2069711.750603484,    422049.708125921,   1837859.356907685
                4500,  -4722342.254312015,  -3225450.285669695,  -5656489.980827653,   5888.750329689455,   -1737.75555801509,   -3017.26297367346,   2123.283473789785,1,   2069763.379346209,   422032.4711191589,   1665489.347325629
                4800,  -2811065.196770979,  -3627472.517149863,  -6352117.784152803,   6788.692848492165,  -915.8134201644172,  -1573.907415728034,   1823.123880094286,1,   2069921.354082476,    421926.187159026,   1458319.134435063
                5100,  -693822.0778550521,  -3760732.963488595,   -6576108.20955719,    7241.43468190465,   47.36007631239263,   115.2641495324999,    1523.07696089779,1,   2070060.029977333,   421824.6561352443,     1229076.7266015
                5400,   1476784.667448324,  -3590216.206054976,  -6267704.733588586,    7124.64398126385,   1097.786768571043,   1954.963423958408,   1223.099696353055,1,   2070026.732385769,   421834.1256694524,   994424.8334252713
                5700,   3513558.726629107,  -3101981.633998689,  -5403307.760398802,   6335.916182297309,    2147.74298768489,   3790.675718752161,   923.0383956713168,1,   2069825.541742284,   421947.2855673013,   774702.9770107148
                6000,   5207022.657255997,  -2313887.976274381,  -4015270.711759076,   4838.197930030365,   3073.742261852763,   5405.320780902189,   622.8545111649294,1,   2069711.244159544,    422009.076967339,   592484.3072175067
