sys.exec.out.time {s},events_manager_verif.manager.two_variable_check_and.int_event_triggered {--},events_manager_verif.manager.two_variable_check_and.watch_a.int_event_triggered {--},events_manager_verif.manager.two_variable_check_and.watch_b.int_event_triggered {--},events_manager_verif.manager.two_variable_check_or.int_event_triggered {--},events_manager_verif.manager.two_variable_check_or.watch_a.int_event_triggered {--},events_manager_verif.manager.two_variable_check_or.watch_b.int_event_triggered {--},events_manager_verif.base_bool {--}
                   0,0,0,0,0,0,0,0
                 0.1,0,0,0,0,0,0,0
                 0.2,0,0,1,1,0,1,1
                 0.3,0,0,1,1,0,1,1
                 0.4,0,0,0,0,0,0,0
                 0.5,0,0,0,0,0,0,0
                 0.6,0,1,0,1,1,0,0
                 0.7,1,1,1,1,1,1,1
                 0.8,1,1,1,1,1,1,1
                 0.9,1,1,1,1,1,0,0
                   1,1,1,1,1,1,0,0
