sys.exec.out.time {s},fd_obj.time {1},fd_obj.in_vec3[0] {1},fd_obj.in_vec3[1] {1},fd_obj.in_vec3[2] {1},fd_obj.out_vec3_deriv1[0] {1},fd_obj.out_vec3_deriv1[1] {1},fd_obj.out_vec3_deriv1[2] {1},fd_obj.out_vec3_deriv2[0] {1},fd_obj.out_vec3_deriv2[1] {1},fd_obj.out_vec3_deriv2[2] {1},fd_obj.error_deriv1_vec[0] {1},fd_obj.error_deriv1_vec[1] {1},fd_obj.error_deriv1_vec[2] {1},fd_obj.error_deriv2_vec[0] {1},fd_obj.error_deriv2_vec[1] {1},fd_obj.error_deriv2_vec[2] {1}
                   0,                 1.5,               18.25,             26.6875,              35.125,               32.75,               50.25,               67.75,                   0,                   0,                   0, -0.1324503311258278, -0.1336206896551724,  -0.134185303514377,                  -1,                  -1,                  -1
                   1,                   2,                  47,                  71,                  95,                  74,              114.25,               154.5,                  99,               153.5,                 208,-0.08641975308641975,-0.08599999999999999,-0.08579881656804733,                -0.1,-0.09705882352941177,-0.09565217391304348
                   2,                 2.5,               103.5,            158.1875,             212.875,              140.75,              217.25,              293.75,                 156,               240.5,                 325,-0.06010016694490818,-0.05952380952380952,-0.05924739791833467, -0.0658682634730539,-0.06420233463035019,-0.06340057636887608
                   3,                   3,                 202,                 310,                 418,                 239,              368.25,               497.5,                 225,               345.5,                 466,              -0.044,-0.04350649350649351,-0.04326923076923077,-0.04661016949152542,-0.04558011049723757,-0.04508196721311476
                   4,                 3.5,              359.75,            552.6875,             745.625,              374.75,              576.25,              777.75,                 306,               468.5,                 631,-0.03352675693101225,-0.03313758389261745,-0.03294995337270749,-0.03470031545741325,-0.03402061855670103,-0.03369065849923431
                   5,                   4,                 597,                 917,                1237,                 554,              850.25,              1146.5,                 399,               609.5,                 820,-0.02636203866432337,-0.02605956471935853,-0.02591333899745115,-0.02682926829268293,-0.02635782747603834,-0.02612826603325416
                   6,                 4.5,                 937,           1438.1875,            1939.375,              782.75,             1199.25,             1615.75,                 504,               768.5,                1033,-0.02125664270084401, -0.0210204081632653,-0.02090592334494774,-0.02135922330097087,-0.02101910828025478,-0.02085308056872038
                   7,                   5,                1406,                2156,                2906,                1067,             1632.25,              2197.5,                 621,               945.5,                1270,-0.01749539594843462,-0.01730885009030704,-0.01721824686940966,-0.01740506329113924,-0.01715176715176715,-0.01702786377708978
                   8,                 5.5,             2033.25,           3114.6875,            4196.125,             1412.75,             2158.25,             2903.75,                 750,              1140.5,                1531,-0.01464690496948561,-0.01449771689497717, -0.0144251166737378,-0.01445466491458607,-0.01426101987899741,-0.01416613007083065
                   9,                   6,                2851,                4363,                5875,                1826,             2786.25,              3746.5,                 891,              1353.5,                1816,-0.01243915630070308,-0.01231832683445587,-0.01225942525705247,-0.01219512195121951,-0.01204379562043796,-0.01196953210010881
                  10,                 6.5,              3894.5,           5954.1875,            8013.875,             2312.75,             3525.25,             4737.75,                1044,              1584.5,                2125,-0.01069404341781628,-0.01059500420993545,-0.01054665065524983,-0.01042654028436019,-0.01030605871330418,-0.01024685607824872
                  11,                   7,                5202,                7946,               10690,                2879,             4384.25,              5889.5,                1209,              1833.5,                2458,-0.009291121816930488,-0.009209039548022598,-0.009168909825033647,-0.009016393442622951,-0.00891891891891892,-0.008870967741935484
