sys.exec.out.time {s},fd_obj.time {1},fd_obj.in_scalar {1},fd_obj.out_scalar_deriv1 {1},fd_obj.out_math_utils {1},fd_obj.out_scalar_deriv2 {1},fd_obj.error_deriv1 {1},fd_obj.error_mu2 {1},fd_obj.error_mu {1},fd_obj.error_deriv2 {1}
                   0,                 1.5,               18.25,               32.75,               32.75,                   0, -0.1324503311258278, -0.1324503311258278, -0.1324503311258278,                  -1
                   1,                   2,                  47,                  74,   79.49999999999999,                  99,-0.08641975308641975,-0.08641975308641975,-0.01851851851851869,                -0.1
                   2,                 2.5,               103.5,              140.75,   149.7500000000001,                 156,-0.06010016694490818,-0.06010016694490818,3.795887736948782e-16, -0.0658682634730539
                   3,                   3,                 202,                 239,   250.0000000000001,                 225,              -0.044,              -0.044,3.410605131648481e-16,-0.04661016949152542
                   4,                 3.5,              359.75,              374.75,   387.7500000000002,                 306,-0.03352675693101225,-0.03352675693101225,4.397943432170833e-16,-0.03470031545741325
                   5,                   4,                 597,                 554,                 569,                 399,-0.02636203866432337,-0.02636203866432337,                   0,-0.02682926829268293
                   6,                 4.5,                 937,              782.75,   799.7500000000003,                 504,-0.02125664270084401,-0.02125664270084401,4.26458909865393e-16,-0.02135922330097087
                   7,                   5,                1406,                1067,   1086.000000000001,                 621,-0.01749539594843462,-0.01749539594843462,6.281040758100333e-16,-0.01740506329113924
                   8,                 5.5,             2033.25,             1412.75,             1433.75,                 750,-0.01464690496948561,-0.01464690496948561,                   0,-0.01445466491458607
                   9,                   6,                2851,                1826,   1849.000000000001,                 891,-0.01243915630070308,-0.01243915630070308,7.378269619574864e-16,-0.01219512195121951
                  10,                 6.5,              3894.5,             2312.75,   2337.750000000001,                1044,-0.01069404341781628,-0.01069404341781628,3.890470331613424e-16,-0.01042654028436019
                  11,                   7,                5202,                2879,                2906,                1209,-0.009291121816930488,-0.009291121816930488,                   0,-0.009016393442622951
                  12,                 7.5,             6814.75,             3530.75,   3559.750000000002,                1386,-0.008146639511201629,-0.008146639511201629,5.109879636339228e-16,-0.007874015748031496
                  13,                   8,                8777,                4274,   4305.000000000004,                1575,-0.007200929152148664,-0.007200929152148664,8.450589563511528e-16,-0.006935687263556116
                  14,                 8.5,               11136,             5114.75,             5147.75,                1776,-0.006410567723762809,-0.006410567723762809,                   0,-0.006155567991046447
                  15,                   9,               13942,                6059,   6094.000000000007,                1989,-0.005743354118805382,-0.005743354118805382,1.193954318047822e-15,             -0.0055
                  16,                 9.5,            17248.25,             7112.75,   7149.750000000011,                2214,-0.005175006119095073,-0.005175006119095073,1.526478047662525e-15,-0.004943820224719101
                  17,                  10,               21111,                8282,                8321,                2451,-0.004686936666266074,-0.004686936666266074,                   0,-0.004467912266450041
                  18,                10.5,             25589.5,             9572.75,   9613.750000000007,                2700,-0.004264725003250552,-0.004264725003250552,7.568282526780315e-16,-0.004057543341940244
                  19,                  11,               30746,               10991,   11034.00000000001,                2961,-0.003897045495740439,-0.003897045495740439,1.318825016165203e-15,-0.00370121130551817
                  20,                11.5,            36645.75,            12542.75,            12587.75,                3234,-0.003574904172707593,-0.003574904172707593,                   0,-0.003389830508474576
                  21,                  12,               43357,               14234,   14281.00000000003,                3519,-0.003291086058399272,-0.003291086058399272,2.037940652386647e-15,-0.00311614730878187
                  22,                12.5,               50951,            16070.75,   16119.75000000001,                3816,-0.003039749375765753,-0.003039749375765753,9.027382700331488e-16,-0.002874314084139012
                  23,                  13,               59502,               18059,   18110.00000000003,                4125,-0.002816123688569851,-0.002816123688569851,1.607058556418206e-15,-0.002659574468085106
                  24,                13.5,            69087.25,            20204.75,   20257.75000000003,                4446,-0.002616282657254631,-0.002616282657254631,1.436676356294934e-15,-0.002468027821404532
                  25,                  14,               79787,               22514,   22569.00000000006,                4779,-0.002436971066507156,-0.002436971066507156,2.579097918094174e-15,-0.002296450939457202
                  26,                14.5,             91684.5,            24992.75,            25049.75,                5124,-0.002275471811095919,-0.002275471811095919,                   0,-0.002142161635832522
                  27,                  15,              104866,               27647,   27706.00000000003,                5481,-0.002129502634808345,-0.002129502634808345,1.05045226509542e-15,-0.002002913328477786
