sys.exec.out.time {s},fd_obj.time {1},fd_obj.in_mat3x3[0][0] {1},fd_obj.in_mat3x3[0][1] {1},fd_obj.in_mat3x3[0][2] {1},fd_obj.in_mat3x3[1][0] {1},fd_obj.in_mat3x3[1][1] {1},fd_obj.in_mat3x3[1][2] {1},fd_obj.in_mat3x3[2][0] {1},fd_obj.in_mat3x3[2][1] {1},fd_obj.in_mat3x3[2][2] {1},fd_obj.out_mat3x3_deriv1[0][0] {1},fd_obj.out_mat3x3_deriv1[0][1] {1},fd_obj.out_mat3x3_deriv1[0][2] {1},fd_obj.out_mat3x3_deriv1[1][0] {1},fd_obj.out_mat3x3_deriv1[1][1] {1},fd_obj.out_mat3x3_deriv1[1][2] {1},fd_obj.out_mat3x3_deriv1[2][0] {1},fd_obj.out_mat3x3_deriv1[2][1] {1},fd_obj.out_mat3x3_deriv1[2][2] {1},fd_obj.error_deriv1_mx[0][0] {1},fd_obj.error_deriv1_mx[0][1] {1},fd_obj.error_deriv1_mx[0][2] {1},fd_obj.error_deriv1_mx[1][0] {1},fd_obj.error_deriv1_mx[1][1] {1},fd_obj.error_deriv1_mx[1][2] {1},fd_obj.error_deriv1_mx[2][0] {1},fd_obj.error_deriv1_mx[2][1] {1},fd_obj.error_deriv1_mx[2][2] {1}
                   0,                 1.5,               18.25,             26.6875,              35.125,             25.5625,                  34,             42.4375,              32.875,             41.3125,               49.75,               32.75,               50.25,               67.75,                  47,                64.5,                  82,               61.25,               78.75,               96.25, -0.1324503311258278, -0.1336206896551724,  -0.134185303514377, -0.1336405529953917, -0.1342281879194631, -0.1345646437994723, -0.1342756183745583, -0.1346153846153846, -0.1348314606741573
                   1,                   2,                  47,                  71,                  95,                  67,                  91,                 115,                  87,                 111,                 135,                  74,              114.25,               154.5,              106.75,                 147,              187.25,               139.5,              179.75,                 220,-0.08641975308641975,-0.08599999999999999,-0.08579881656804733, -0.0876068376068376,-0.08695652173913043,-0.08658536585365853,-0.08823529411764706,-0.08756345177664974,-0.08713692946058091
                   2,                 2.5,               103.5,            158.1875,             212.875,            148.8125,               203.5,            258.1875,             194.125,            248.8125,               303.5,              140.75,              217.25,              293.75,                 204,               280.5,                 357,              267.25,              343.75,              420.25,-0.06010016694490818,-0.05952380952380952,-0.05924739791833467,-0.06098964326812428,-0.06030150753768844,-0.05990783410138249,-0.06145741878841088,-0.06079234972677595,-0.06036892118501956
                   3,                   3,                 202,                 310,                 418,                 292,                 400,                 508,                 382,                 490,                 598,                 239,              368.25,               497.5,              347.75,                 477,              606.25,               456.5,              585.75,                 715,              -0.044,-0.04350649350649351,-0.04326923076923077,-0.04464285714285714,-0.04408817635270541,-0.04376971608832807,-0.04497907949790795,-0.04445350734094616,-0.04411764705882353
                   4,                 3.5,              359.75,            552.6875,             745.625,            522.0625,                 715,            907.9375,             684.375,            877.3125,             1070.25,              374.75,              576.25,              777.75,                 547,               748.5,                 950,              719.25,              920.75,             1122.25,-0.03352675693101225,-0.03313758389261745,-0.03294995337270749,-0.03399558498896247,-0.03357004519044545,-0.03332485372678708,-0.03423967774420947, -0.0338405036726128,-0.03358449946178687
                   5,                   4,                 597,                 917,                1237,                 869,                1189,                1509,                1141,                1461,                1781,                 554,              850.25,              1146.5,              810.75,                1107,             1403.25,              1067.5,             1363.75,                1660,-0.02636203866432337,-0.02605956471935853,-0.02591333899745115,-0.02671068427370948,-0.02638522427440633, -0.0261970853573907,-0.02689152233363719,-0.02658815132048537,-0.02639296187683285
                   6,                 4.5,                 937,           1438.1875,            1939.375,           1367.3125,              1868.5,           2369.6875,            1797.625,           2298.8125,                2800,              782.75,             1199.25,             1615.75,                1148,              1564.5,                1981,             1513.25,             1929.75,             2346.25,-0.02125664270084401, -0.0210204081632653,-0.02090592334494774,-0.02152141487321543, -0.0212699405692837,-0.02112415071031501,-0.02165831582350089,-0.02142494929006085,-0.02127437689018667
                   7,                   5,                1406,                2156,                2906,                2056,                2806,                3556,                2706,                3456,                4206,                1067,             1632.25,              2197.5,             1567.75,                2133,             2698.25,              2068.5,             2633.75,                3199,-0.01749539594843462,-0.01730885009030704,-0.01721824686940966,-0.01770050125313283,-0.01750345462920313,-0.01738892935178441,-0.01780626780626781,-0.01762402088772846,-0.01750614250614251
                   8,                 5.5,             2033.25,           3114.6875,            4196.125,           2978.5625,                4060,           5141.4375,            3923.875,           5005.3125,             6086.75,             1412.75,             2158.25,             2903.75,                2079,              2824.5,                3570,             2745.25,             3490.75,             4236.25,-0.01464690496948561,-0.01449771689497717, -0.0144251166737378,-0.01480867195829878,-0.01465201465201465,-0.01456076185218412,-0.01489189916569481,-0.01474738921817669,-0.01465371867186137
                   9,                   6,                2851,                4363,                5875,                4183,                5695,                7207,                5515,                7027,                8539,                1826,             2786.25,              3746.5,             2690.75,                3651,             4611.25,              3555.5,             4515.75,                5476,-0.01243915630070308,-0.01231832683445587,-0.01225942525705247,-0.01256880733944954,-0.01244252096294293, -0.0123688155922039,-0.01263537906137184,-0.01251913404767111,-0.01244364292155095
                  10,                 6.5,              3894.5,           5954.1875,            8013.875,           5721.8125,              7781.5,           9841.1875,            7549.125,           9608.8125,             11668.5,             2312.75,             3525.25,             4737.75,                3412,              4624.5,                5837,             4511.25,             5723.75,             6936.25,-0.01069404341781628,-0.01059500420993545,-0.01054665065524983,-0.01079944915561354,-0.01069633115841266,-0.01063604390016526,-0.01085347804637395,-0.01075872796405116,-0.01069709395614192
                  11,                   7,                5202,                7946,               10690,                7652,               10396,               13140,               10102,               12846,               15590,                2879,             4384.25,              5889.5,             4251.75,                5757,             7262.25,              5624.5,             7129.75,                8635,-0.009291121816930488,-0.009209039548022598,-0.009168909825033647,-0.009377912395153775,-0.009292720702116675,-0.009242837653478855,-0.009422331806974287,-0.009344171182437126,-0.009293253786140432
                  12,                 7.5,             6814.75,          10400.6875,           13986.625,          10035.0625,               13621,          17206.9375,           13255.375,          16841.3125,            20427.25,             3530.75,             5372.25,             7213.75,                5219,              7060.5,                8902,             6907.25,             8748.75,            10590.25,-0.008146639511201629,-0.008077917282127031,-0.008044277905737564,-0.008218917763314171,-0.008147783943246471,-0.008106075378144237,-0.00825585986575254,-0.008190681328647545,-0.008148165492050856
                  13,                   8,                8777,               13385,               17993,               12937,               17545,               22153,               17097,               21705,               26313,                4274,             6498.25,              8722.5,             6322.75,                8547,            10771.25,              8371.5,            10595.75,               12820,-0.007200929152148664,-0.007142857142857143,-0.00711439954467843,-0.007261736536347935,-0.007201765594145661,-0.007166559129873721,-0.007292778370686589,-0.007237890002810831,-0.007202044451328119
                  14,                 8.5,               11136,          16970.1875,           22804.375,          16428.3125,             22262.5,          28096.6875,           21720.625,          27554.8125,               33389,             5114.75,             7771.25,            10427.75,                7572,             10228.5,               12885,            10029.25,            12685.75,            15342.25,-0.006410567723762809,-0.006361079145889272,-0.006336803487624175,-0.006462194521896014,-0.006411190441497887,-0.006381214937055388,-0.006488521261051537,-0.006441885964912281,-0.006411398040961709
                  15,                   9,               13942,               21232,               28522,               20584,               27874,               35164,               27226,               34516,               41806,                6059,             9200.25,             12341.5,             8975.75,               12117,            15258.25,             11892.5,            15033.75,               18175,-0.005743354118805382,-0.005700853777153356,-0.005679987109249114,-0.005787549844926894,-0.005743825387708214,-0.005718102437117164,-0.00581006520648721,-0.005770121023741816,-0.00574398249452954
                  16,                 9.5,            17248.25,          26250.6875,           35253.125,          25483.5625,               34486,          43488.4375,           33718.875,          42721.3125,            51723.75,             7112.75,            10794.25,            14475.75,               10543,             14224.5,               17906,            13973.25,            17654.75,            21336.25,-0.005175006119095073,-0.005138248847926267,-0.005120186938368756,  -0.005213124808341,-0.005175368045599189,-0.005153135634419057,-0.005232527097015324,-0.005198061644221558,-0.005175488699017357
                  17,                  10,               21111,               32111,               43111,               31211,               42211,               53211,               41311,               52311,               63311,                8282,            12562.25,             16842.5,            12282.75,               16563,            20843.25,             16283.5,            20563.75,               24844,-0.004686936666266074,-0.004654940179066635,-0.004639205720702086,-0.004720038894741107,-0.004687218316206959,-0.004667876414688888,-0.004736874274188619,-0.004706935772711873,-0.004687312207042987
                  18,                10.5,             25589.5,          38902.1875,           52214.875,          37854.8125,             51167.5,          64480.1875,           50120.125,          63432.8125,             76745.5,             9572.75,            14513.25,            19453.75,               14204,             19144.5,               24085,            18835.25,            23775.75,            28716.25,-0.004264725003250552,-0.004236706689536878,-0.004222918932753215,-0.004293650654562661,-0.004264946818193639,-0.004248018108339966,-0.004308351064532755,-0.004282184437557584,-0.004265020761635618
                  19,                  11,               30746,               46718,               62690,               45508,               61480,               77452,               60270,               76242,               92214,               10991,            16656.25,             22321.5,            16315.75,               21981,            27646.25,             21640.5,            27305.75,               32971,-0.003897045495740439,-0.003872376054063752,-0.003860228489825062,-0.003922466422466422,-0.003897222096342955,-0.003882323268718023,-0.003935376967688484,-0.003912377339218619,-0.003897280966767372
                  20,                11.5,            36645.75,          55656.6875,           74667.625,          54268.0625,               73279,          92289.9375,           71890.375,          90901.3125,           109912.25,            12542.75,            19000.25,            25457.75,               18627,             25084.5,               31542,            24711.25,            31168.75,            37626.25,-0.003574904172707593,-0.00355307321166352,-0.003542316988443435,-0.003597362825467724,-0.003575046177679795,-0.003561866702469614,-0.003608761831799442,-0.003588440267254883,-0.003575093515177596
                  21,                  12,               43357,               65821,               88285,               64237,               86701,              109165,               85117,              107581,              130045,               14234,            21554.25,             28874.5,            21146.75,               28467,            35787.25,             28059.5,            35379.75,               42700,-0.003291086058399272,-0.003271676300578035,-0.003262107770375229,-0.003311024178724608,-0.003291201288470292,-0.003279487536554797,-0.003321138066991085,-0.003303096036284757,-0.003291239700287108
                  22,                12.5,               50951,          77318.1875,          103685.375,          75521.3125,            101888.5,         128255.6875,          100091.625,         126458.8125,              152826,            16070.75,            24327.25,            32583.75,               23884,             32140.5,               40397,            31697.25,            39953.75,            48210.25,-0.003039749375765753,-0.003022417114052703,-0.003013868384214673,-0.003057529557858268,-0.003039843665182933,-0.003029386903917226,-0.00306654400490647,-0.003050454137139435,-0.003039875096288561
                  23,                  13,               59502,               90260,              121018,               88232,              118990,              149748,              116962,              147720,              178478,               18059,            27328.25,             36597.5,            26847.75,               36117,            45386.25,             35636.5,            44905.75,               54175,-0.002816123688569851,-0.002800583835066594,-0.00279291553133515,-0.00283204575843114,-0.002816201441232502,-0.002806828668102123,-0.002840114164194974,-0.002825705593675749,-0.002816227359740834
                  24,                13.5,            69087.25,         104762.6875,          140438.125,         102484.5625,              138160,         173835.4375,          135881.875,         171557.3125,           207232.75,            20204.75,            30566.25,            40927.75,               30047,             40408.5,               50770,            39889.25,            50250.75,            60612.25,-0.002616282657254631,-0.00260229720028715,-0.002595392873026801,-0.002630596240819883,-0.002616347233706451,-0.002607914110730756,-0.002637846217316023,-0.002624893317190322,-0.002616368759898801
                  25,                  14,               79787,              120947,              162107,              118399,              159559,              200719,              157011,              198171,              239331,               22514,            34050.25,             45586.5,            33490.75,               45027,            56563.25,             44467.5,            56003.75,               67540,-0.002436971066507156,-0.002424340081446108,-0.00241810184476005,-0.002449885324516725,-0.002437025057048541,-0.002429410416042045,-0.002456423716266236,-0.002444737357724301,-0.002437043054427295
                  26,                14.5,             91684.5,         138938.1875,          186191.875,         136099.8125,            183353.5,         230607.1875,          180515.125,         227768.8125,            275022.5,            24992.75,            37789.25,            50585.75,               37188,             49984.5,               62781,            49383.25,            62179.75,            74976.25,-0.002275471811095919,-0.002264026402640264,-0.002258371507043851,-0.002287163045884113,-0.002275517231054822,-0.002268618764774827,-0.002293079848676933,-0.002282500561599435,-0.002275532371444065
                  27,                  15,              104866,              158866,              212866,              155716,              209716,              263716,              206566,              260566,              314566,               27647,            41792.25,             55937.5,            41147.75,               55293,            69438.25,             54648.5,            68793.75,               82939,-0.002129502634808345,-0.002119099352928536,-0.002113957471100328,-0.002140120283247648,-0.002129541065853351,-0.002123271922513149,-0.002145491728444656,-0.002135884306871093,-0.002129553876509938
