sys.exec.out.time {s},fd_obj.time {1},fd_obj.in_mat3x3[0][0] {1},fd_obj.in_mat3x3[0][1] {1},fd_obj.in_mat3x3[0][2] {1},fd_obj.in_mat3x3[1][0] {1},fd_obj.in_mat3x3[1][1] {1},fd_obj.in_mat3x3[1][2] {1},fd_obj.in_mat3x3[2][0] {1},fd_obj.in_mat3x3[2][1] {1},fd_obj.in_mat3x3[2][2] {1},fd_obj.out_mat3x3_deriv1[0][0] {1},fd_obj.out_mat3x3_deriv1[0][1] {1},fd_obj.out_mat3x3_deriv1[0][2] {1},fd_obj.out_mat3x3_deriv1[1][0] {1},fd_obj.out_mat3x3_deriv1[1][1] {1},fd_obj.out_mat3x3_deriv1[1][2] {1},fd_obj.out_mat3x3_deriv1[2][0] {1},fd_obj.out_mat3x3_deriv1[2][1] {1},fd_obj.out_mat3x3_deriv1[2][2] {1},fd_obj.error_deriv1_mx[0][0] {1},fd_obj.error_deriv1_mx[0][1] {1},fd_obj.error_deriv1_mx[0][2] {1},fd_obj.error_deriv1_mx[1][0] {1},fd_obj.error_deriv1_mx[1][1] {1},fd_obj.error_deriv1_mx[1][2] {1},fd_obj.error_deriv1_mx[2][0] {1},fd_obj.error_deriv1_mx[2][1] {1},fd_obj.error_deriv1_mx[2][2] {1}
                   0,-5.551115123125783e-17,-5.551115123125783e-17,-1.110223024625157e-16,-1.665334536937735e-16,-2.220446049250313e-16,-2.775557561562891e-16,-3.33066907387547e-16,-3.885780586188048e-16,-4.440892098500626e-16,-4.996003610813204e-16,   1.007441077443525,   2.058127844167743,   3.188450756058124,   4.421769358709716,   5.763533511630939,   7.198200025439128,    8.68827845242398,   10.17564387772585,   11.58504517024268,0.007441077443524513, 0.02906392208387154, 0.06281691868604138,  0.1054423396774291,  0.1527067023261878,  0.1997000042398547,  0.2411826360605685,  0.2719554847157308,  0.2872272411380761
                   1,  0.1499999999999999,  0.1494381324735992,  0.2955202066613394,  0.4349655341112301,  0.5646424733950351,  0.6816387600233339,  0.7833269096274832,  0.8674232255940167,  0.9320390859672262,   0.975723357826659,  0.9962542164906614,   1.970134711075597,   2.899770227408202,   3.764283155966903,   4.544258400155561,   5.222179397516557,   5.782821503960115,   6.213593906448178,   6.504822385511066,0.007568120388633747, 0.03112083203207711, 0.07345570137017429,  0.1402280139028204,   0.242128613258763,  0.4001757972781544,  0.6603002952220662,   1.143459685105264,   2.300164266342738
                   2,  0.2999999999999999,  0.2955202066613395,  0.5646424733950353,  0.7833269096274833,  0.9320390859672263,  0.9974949866040544,  0.9738476308781953,  0.8632093666488739,  0.6754631805511513,  0.4273798802338306,  0.9626936336320722,    1.70615531179916,   2.033728641458432,   1.791824547738459,  0.8864330657294248, -0.7058824862511568,  -2.933549341431486,  -5.672556007384838,  -8.735845968683817, 0.00770110279489049, 0.03361304236572597, 0.09057058566607751,  0.2362261643374083,   1.506271225976828, -0.4821919172849983, -0.1698886580901355,-0.03841125035538238, 0.07364170066160752
                   3,                0.45,  0.4349655341112302,  0.7833269096274833,  0.9757233578266591,  0.9738476308781953,  0.7780731968879212,  0.4273798802338302,-0.008407247367148174, -0.4425204432948521,  -0.788525254426195,  0.9075130272064389,   1.289770139878826,  0.7627598969375806, -0.8065699261309476,  -3.247071985763734,  -6.099746577279358,  -8.702119943676411,  -10.32458322040645,  -10.33123975462416,0.007847129315314855, 0.03744325679573743,  0.1609385190653006, -0.1124972601809718, 0.03381354081367232,  0.1244948077687529,  0.2432039286810463,  0.4391533762532506,  0.8665221015513228
                   4,                 0.6,  0.5646424733950354,  0.9320390859672263,  0.9738476308781953,   0.675463180551151,  0.1411200080598672, -0.4425204432948521, -0.8715757724135882, -0.9961646088358407, -0.7727644875559877,   0.831951634671749,  0.7581736426226038, -0.6600787634818919,  -3.123206319640341,  -5.638125922560095,   -6.87744406647227,  -5.726296537077658,  -1.809829575923207,   4.210624784235492,0.008016156873097917, 0.04616726599045416,-0.03158351250597553, 0.05886660471058994,  0.1390239707716908,    0.27820453855464,  0.6685860399829486,  -3.585500860669567, -0.2628762414363796
                   5,                0.75,  0.6816387600233341,  0.9974949866040544,  0.7780731968879212,  0.1411200080598672, -0.5715613187423437,  -0.977530117665097,  -0.858934493426592, -0.2794154981989259,  0.4500440737806176,  0.7377064020036359,  0.1588517519024708,  -1.951491916741195,  -4.348816890489356,  -5.003635971928595,   -2.45042899860684,   3.003641206691428,   9.012971658172443,   12.17554972379869,0.008224169296270557,  0.1228303364946307, 0.03553744068542694,  0.0981944068825884,  0.2195670982661185,  0.9374429386352664,  -0.162070357341392,  0.1733558858625673,   0.514926367819795
                   6,                 0.9,  0.7833269096274834,  0.9738476308781951,  0.4273798802338298, -0.4425204432948525,  -0.977530117665097, -0.7727644875559871, 0.01681390048434971,  0.7936678638491531,  0.9698898108450863,  0.6268938739471634, -0.4546598927146874,  -2.854351719906667,  -4.055260605242918,  -1.684083566553495,   3.831021882325249,   8.715346342486095,    8.34166991835774,   1.122428832856001,0.008500355441852105,0.0005627222074220444, 0.05240558699160422,  0.1305331880297237,  0.5978340850255019,0.006004118300388688,   0.245225507079158,  0.7139911016653741,  -1.512080921872895
                   7,                1.05,   0.867423225594017,  0.8632093666488737,-0.008407247367149063, -0.8715757724135882,  -0.858934493426592,  0.0168139004843506,  0.8756667135928826,  0.8545989080882804, -0.0252193651436605,   0.502002660984838,  -1.027558123207017,  -3.188893553829483,  -2.345085120004957,   2.539185572127562,   7.213231780039677,   5.669366818048855,   -2.96763409776899,   -11.6839108834357,0.008906493076493084, 0.01769441602551621,   0.063002086061849,  0.1958354705929453,-0.008296198594052355,  0.2023752687897678,  0.6771232332035678, -0.2856492063125852,  0.2986253595660582
                   8,                 1.2,  0.9320390859672263,   0.675463180551151, -0.4425204432948521, -0.9961646088358407, -0.2794154981989259,  0.7936678638491527,  0.8545989080882804, -0.1743267812229796, -0.9809362300664912,  0.3658375505103142,  -1.508667646879492,  -2.888508200607104,    0.18429606617326,   5.399871204814983,   5.136611673513568,  -3.073520765407797,   -10.4923603739097,  -6.240138062599158,0.009603205645940104, 0.02297294856393866,  0.0736850073902911, -0.4734336933731295,  0.1247736531512308,  0.4072492737914574, -0.1544695005803159,  0.3319399026008935,   2.567894856067783
                   9,                1.35,  0.9757233578266591,  0.4273798802338302,  -0.788525254426195, -0.7727644875559877,  0.4500440737806168,  0.9698898108450863,-0.02521936514365872, -0.9809362300664912, -0.4044438228491417,  0.2214565173502967,  -1.855012382847467,  -2.013004124887753,    2.64929733420604,   5.362865735703211, -0.8272937412566727,  -8.727956713970721,  -4.636342190730916,   8.950646955249605, 0.01118609796701873, 0.02592055248421785, 0.09105493015063389, 0.04353516268453222,  0.2010812168575195, -0.4338509543570196,  0.2472476571941766,   1.982262403211534, 0.08742262574656577
