sys.exec.out.time {s},vehicle.planet_rel_state.entry_range.crossrange_angle {rad},vehicle.planet_rel_state.entry_range.downrange_angle {rad},vehicle.planet_rel_state.entry_range.totalrange_angle {rad},vehicle.planet_rel_state.entry_range.crossrange_angle {rad},vehicle.planet_rel_state.entry_range.downrange_angle {rad},vehicle.planet_rel_state.entry_range.total_range_avg_rad {m},vehicle.planet_rel_state.entry_range.cross_range_avg_rad {m},vehicle.planet_rel_state.entry_range.down_range_avg_rad {m},vehicle.planet_rel_state.entry_range.total_range_ref_rad {m},vehicle.planet_rel_state.entry_range.cross_range_ref_rad {m},vehicle.planet_rel_state.entry_range.down_range_ref_rad {m}
                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0
                   5,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0
                  10,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0
                  15,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0
                  20,5.551115123125783e-17,                   0,                   0,5.551115123125783e-17,                   0,                   0,3.545994931141983e-10,                   0,                   0,3.545994931141983e-10,                   0
                  25,                   0,0.005790294875974269,0.005790294875974269,                   0,0.005790294875974269,    36987.4133278436,                   0,    36987.4133278436,   36987.80483669842,                   0,   36987.80483669842
                  30,                   0, 0.01158086215547469, 0.01158086215547469,                   0, 0.01158086215547469,   73975.60971713639,                   0,   73975.60971713639,   73977.34975894997,                   0,   73977.34975894997
                  35,                   0, 0.01737175633010753, 0.01737175633010753,                   0, 0.01737175633010753,   110964.6762477407,                   0,   110964.6762477407,      110968.9828535,                   0,      110968.9828535
                  40,                   0, 0.02316303189747237, 0.02316303189747237,                   0, 0.02316303189747237,   147954.7000432739,                   0,   147954.7000432739,   147963.0522453786,                   0,   147963.0522453786
                  45,                   0, 0.02895474336209065, 0.02895474336209065,                   0, 0.02895474336209065,   184945.7682793701,                   0,   184945.7682793701,   184959.9061038316,                   0,   184959.9061038316
                  50,1.110223024625157e-16, 0.03474694523639829, 0.03474694523639829,1.110223024625157e-16, 0.03474694523639829,    221937.968192363,7.091289339230207e-10,    221937.968192363,   221959.8926486622,7.091989862283966e-10,   221959.8926486622
                  55,1.665334536937735e-16, 0.04053969204176348, 0.04053969204176348,1.665334536937735e-16, 0.04053969204176348,   258931.3870881384,1.063667136817038e-09,   258931.3870881384,   258963.3601567318,1.063798479342595e-09,   258963.3601567318
                  60,5.551115123125783e-17, 0.04633303830945314, 0.04633303830945314,5.551115123125783e-17, 0.04633303830945314,    295926.112350674,3.545461246521552e-10,    295926.112350674,   295970.6569681339,3.545994931141983e-10,   295970.6569681339
                  65,5.551115123125783e-17, 0.05212703858163382, 0.05212703858163382,5.551115123125783e-17, 0.05212703858163382,   332922.2314508123,3.545357043326326e-10,   332922.2314508123,   332982.1314925877,3.545994931141983e-10,   332982.1314925877
                  70,-5.551115123125783e-17, 0.05792174741232067, 0.05792174741232067,-5.551115123125783e-17, 0.05792174741232067,    369919.831954719,-3.545244515656982e-10,    369919.831954719,   369998.1322154998,-3.545994931141983e-10,   369998.1322154998
                  75,1.110223024625157e-16, 0.06371721936838745, 0.06371721936838745,1.110223024625157e-16, 0.06371721936838745,   406919.0015327471,7.090247332470318e-10,   406919.0015327471,   407019.0077044167,7.091989862283966e-10,   407019.0077044167
                  80,1.110223024625157e-16, 0.06951350903054428, 0.06951350903054428,1.110223024625157e-16, 0.06951350903054428,   443919.8279681162,7.089988995970301e-10,   443919.8279681162,   444045.1066152698,7.091989862283966e-10,   444045.1066152698
                  85,                   0, 0.07531067099429758, 0.07531067099429758,                   0, 0.07531067099429758,   480922.3991654966,                   0,   480922.3991654966,    481076.777698508,                   0,    481076.777698508
                  90,                   0, 0.08110875987093172, 0.08110875987093172,                   0, 0.08110875987093172,   517926.8031597558,                   0,   517926.8031597558,   518114.3698053678,                   0,   518114.3698053678
                  95,-1.110223024625157e-16, 0.08690783028847565, 0.08690783028847565,-1.110223024625157e-16, 0.08690783028847565,   554933.1281246323,-7.089114225107127e-10,   554933.1281246323,   555158.2318940486,-7.091989862283966e-10,   555158.2318940486
                 100,-1.110223024625157e-16, 0.09270793689268234, 0.09270793689268234,-1.110223024625157e-16, 0.09270793689268234,   591941.4623815151,-7.08878940458999e-10,   591941.4623815151,   592208.7130359689,-7.091989862283966e-10,   592208.7130359689
