sys.exec.out.time {s},ventset_obj.vent0_apply_as_impulse {1},ventset_obj.vent1_apply_as_impulse {1},ventset_obj.extra_vent.apply_as_impulse {--},ventset_obj.extra_simple_vent.apply_as_impulse {--}
                   0,0,1,1,0
                   1,0,1,1,0
                   2,0,1,0,0
                   3,0,1,0,0
                   4,0,1,0,0
                   5,0,1,1,0
                   6,1,1,1,1
                   7,0,1,0,0
                   8,0,0,0,0
                   9,1,1,1,1
