sys.exec.out.time {s},fd_obj.time {1},fd_obj.in_scalar {1},fd_obj.out_scalar_deriv1 {1},fd_obj.out_math_utils {1},fd_obj.out_scalar_deriv2 {1},fd_obj.error_deriv1 {1},fd_obj.error_mu2 {1},fd_obj.error_mu {1},fd_obj.error_deriv2 {1}
                   0,                 2.7,            136.9612,             145.414,   567.1980000000002,                   0, -0.2170846479373727,   2.053818902301141,   2.053818902301141,                  -1
                   1,                 4.2,   719.2672000000001,             548.914,            3114.454,   373.8799999999999, -0.1619940643396274,   3.142868047582988,   3.754717384401182,  -0.170188210227273
                   2,                 4.5,                 937,   782.0380000000002,  -1792.754666666668,   487.6400000000008,-0.02214692091278495, -0.8522613316661465,  -3.241643847035533,-0.05312621359223138
                   3,                 5.1,           1517.8012,            1129.486,   4646.116666666666,   640.2799999999991,-0.01821219396438534,   1.208826551278729,   3.038563283433497,-0.02521161926801195
                   4,                   6,                2851,   1789.329999999999,   5848.653000000007,   879.3199999999961,-0.03227149810708544,   2.081661438615469,   2.163143861546786,-0.02514412416851877
                   5,                 7.2,   5808.059200000002,   3025.864000000001,   13933.36800000001,             1243.64,-0.04150902276407488,   2.979626241406138,   3.413617899055532,  -0.035459452751753
                   6,   8.699999999999999,          12201.8452,   5261.583999999999,   29839.29699999996,   1794.079999999996,-0.04568972052930499,   3.904421406824779,    4.41204851225012,-0.04098868908892853
                   7,                   9,               13942,   6056.847999999997,   -19197.5096666666,   1972.639999999997,-0.006096488349196385,  -1.320895306859201,   -4.15023132042445,-0.01368000000000143
                   8,                 9.6,          17974.4272,   7334.176000000007,   37509.76666666663,   2254.880000000051,-0.005477202190012141,   1.340730738397149,   4.086367996968315,-0.007290529355804693
                   9,                10.5,             25589.5,   9505.479999999994,   28075.45800000005,   2688.320000000022,-0.01126199453907225,   2.261438252502927,    1.92034409049539,-0.008365916635919757
                  10,                11.7,          39228.9472,           13026.214,   59177.94299999997,    3311.84000000004,-0.01673916328640126,   3.189731048687141,   3.466942869905993,-0.01361703141565879
                  11,                13.2,          63207.5632,   18552.15400000002,   103515.7720000001,   4186.280000000017,-0.02098748571493605,   4.127248828804261,   4.462612924293288,-0.01798750164204734
                  12,                13.5,            69087.25,   20201.15799999998,  -69457.88966666663,   4429.639999999939,-0.002793597512064389,   -1.52157450852143,  -4.428707021592557,-0.006138658290343417
                  13,                14.1,          82067.9632,   22991.56599999999,   127802.4166666667,   4841.480000000418,-0.00259559094854071,   1.390487900126491,   4.544237128987433,-0.003408782142506636
                  14,                  15,              104866,   27549.12999999998,   76637.38800000006,   5469.320000000182,-0.005661950480041307,   2.333417382516423,   1.766093553742874,-0.004129643117228404
