sys.exec.out.time {s},test_object.constant_value {--},test_object.constant_value_replaced {--},test_object.linear_value {--},test_object.counting_int {--}
                   0,             3.14159,            8.675309,                   0,0
                   1,             3.14159,            8.675309,                   1,1
                   2,             3.14159,            8.675309,                   1,2
                   3,             3.14159,            8.675309,                   3,3
                   4,             3.14159,            8.675309,                   3,4
                   5,             3.14159,            8.675309,                   5,5
                   6,             3.14159,            8.675309,                   6,6
                   7,             3.14159,            8.675309,                   7,6
                   8,             3.14159,            8.675309,                   7,6
                   9,             3.14159,            8.675309,                   7,6
                  10,             3.14159,            8.675309,                   7,6
