sys.exec.out.time {s},test.rcs.force[0] {N},test.rcs.torque[0] {N*m},test.rcs.jet_01.force[0] {N},test.rcs.jet_01.torque[0] {N*m},test.rcs.jet_02.force[0] {N},test.rcs.jet_02.torque[0] {N*m},test.rcs.jet_03.force[0] {N},test.rcs.jet_03.torque[0] {N*m},test.rcs.force[1] {N},test.rcs.torque[1] {N*m},test.rcs.jet_01.force[1] {N},test.rcs.jet_01.torque[1] {N*m},test.rcs.jet_02.force[1] {N},test.rcs.jet_02.torque[1] {N*m},test.rcs.jet_03.force[1] {N},test.rcs.jet_03.torque[1] {N*m},test.rcs.force[2] {N},test.rcs.torque[2] {N*m},test.rcs.jet_01.force[2] {N},test.rcs.jet_01.torque[2] {N*m},test.rcs.jet_02.force[2] {N},test.rcs.jet_02.torque[2] {N*m},test.rcs.jet_03.force[2] {N},test.rcs.jet_03.torque[2] {N*m},test.rcs.rcs_pod_1.sum_consumption {kg},test.rcs.rcs_pod_2.sum_consumption {kg}
                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0
               0.025,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0
                0.05,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0
               0.075,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0
                 0.1,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0
               0.125,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0
                0.15,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0
               0.175,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0
                 0.2,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0
               0.225,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0
                0.25,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0
               0.275,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0
