sys.exec.out.time {s},vehicle.planet_rel_state.pl_ref_longitude {rad},vehicle.planet_rel_state.pl_ref_geodetic_latitude {rad},vehicle.planet_rel_state.pl_ref_azimuth {rad},vehicle.planet_rel_state.T_inrtl_pl[0][0] {--},vehicle.planet_rel_state.T_inrtl_pl[0][1] {--},vehicle.planet_rel_state.T_inrtl_pl[0][2] {--},vehicle.planet_rel_state.T_inrtl_pl[1][0] {--},vehicle.planet_rel_state.T_inrtl_pl[1][1] {--},vehicle.planet_rel_state.T_inrtl_pl[1][2] {--},vehicle.planet_rel_state.T_inrtl_pl[2][0] {--},vehicle.planet_rel_state.T_inrtl_pl[2][1] {--},vehicle.planet_rel_state.T_inrtl_pl[2][2] {--},vehicle.planet_rel_state.E_pl_body_PYR[0] {rad},vehicle.planet_rel_state.E_pl_body_PYR[1] {rad},vehicle.planet_rel_state.E_pl_body_PYR[2] {rad}
                   0,  -0.838712736058119, -0.2260724980108255,   1.570796326794897,  0.6514123658668212, -0.7248571898788596, -0.2241516983578612, -0.1498276630979026,  0.1667202904488083,  -0.974554265355853,  0.7437833024251164,  0.6684208248054424,-3.731147955747167e-16, -0.8515081216998909, -0.1503939660454905,    1.40136312608805
                   5,  -0.838712736058119, -0.2260724980108255,   1.570796326794897,  0.6514123658668212, -0.7248571898788596, -0.2241516983578612, -0.1498276630979026,  0.1667202904488083,  -0.974554265355853,  0.7437833024251164,  0.6684208248054424,-3.731147955747167e-16, -0.8515081216998909, -0.1503939660454905,    1.40136312608805
                  10,  -0.838712736058119, -0.2260724980108255,   1.570796326794897,  0.6514123658668212, -0.7248571898788596, -0.2241516983578612, -0.1498276630979026,  0.1667202904488083,  -0.974554265355853,  0.7437833024251164,  0.6684208248054424,-3.731147955747167e-16, -0.8515081216998909, -0.1503939660454905,    1.40136312608805
                  15,  -0.838712736058119, -0.2260724980108255,   1.570796326794897,  0.6514123658668212, -0.7248571898788596, -0.2241516983578612, -0.1498276630979026,  0.1667202904488083,  -0.974554265355853,  0.7437833024251164,  0.6684208248054424,-3.731147955747167e-16, -0.8515081216998909, -0.1503939660454905,    1.40136312608805
                  20,  -0.838712736058119, -0.2260724980108255,   1.570796326794897,  0.6514123658668212, -0.7248571898788596, -0.2241516983578612, -0.1498276630979026,  0.1667202904488083,  -0.974554265355853,  0.7437833024251164,  0.6684208248054424,-3.731147955747167e-16, -0.8515081216998909, -0.1503939660454905,    1.40136312608805
                  25,  -0.838712736058119, -0.2260724980108255,   1.570796326794897,  0.6514123658668212, -0.7248571898788596, -0.2241516983578612, -0.1498276630979026,  0.1667202904488083,  -0.974554265355853,  0.7437833024251164,  0.6684208248054424,-3.731147955747167e-16, -0.8515081216998909, -0.1503939660454905,    1.40136312608805
                  30,  -0.838712736058119, -0.2260724980108255,   1.570796326794897,  0.6514123658668212, -0.7248571898788596, -0.2241516983578612, -0.1498276630979026,  0.1667202904488083,  -0.974554265355853,  0.7437833024251164,  0.6684208248054424,-3.731147955747167e-16, -0.8515081216998909, -0.1503939660454905,    1.40136312608805
                  35,  -0.838712736058119, -0.2260724980108255,   1.570796326794897,  0.6514123658668212, -0.7248571898788596, -0.2241516983578612, -0.1498276630979026,  0.1667202904488083,  -0.974554265355853,  0.7437833024251164,  0.6684208248054424,-3.731147955747167e-16, -0.8515081216998909, -0.1503939660454905,    1.40136312608805
                  40,  -0.838712736058119, -0.2260724980108255,   1.570796326794897,  0.6514123658668212, -0.7248571898788596, -0.2241516983578612, -0.1498276630979026,  0.1667202904488083,  -0.974554265355853,  0.7437833024251164,  0.6684208248054424,-3.731147955747167e-16, -0.8515081216998909, -0.1503939660454905,    1.40136312608805
                  45,  -0.838712736058119, -0.2260724980108255,   1.570796326794897,  0.6514123658668212, -0.7248571898788596, -0.2241516983578612, -0.1498276630979026,  0.1667202904488083,  -0.974554265355853,  0.7437833024251164,  0.6684208248054424,-3.731147955747167e-16, -0.8515081216998909, -0.1503939660454905,    1.40136312608805
