sys.exec.out.time {s},ventset_obj.root_body.composite_properties.mass {kg},ventset_obj.tank[0].dynamic_properties.consumable_mass {kg},ventset_obj.tank[1].dynamic_properties.consumable_mass {kg},ventset_obj.set_2_tanks.force[0] {N},ventset_obj.set_2_tanks.force[1] {N},ventset_obj.set_2_tanks.force[2] {N},ventset_obj.set_2_tanks.torque[0] {N*m},ventset_obj.set_2_tanks.torque[1] {N*m},ventset_obj.set_2_tanks.torque[2] {N*m},ventset_obj.root_body.composite_body.state.trans.velocity[0] {m/s},ventset_obj.root_body.composite_body.state.trans.velocity[1] {m/s},ventset_obj.root_body.composite_body.state.trans.velocity[2] {m/s},ventset_obj.root_body.composite_body.state.rot.ang_vel_this[0] {radian/s},ventset_obj.root_body.composite_body.state.rot.ang_vel_this[1] {radian/s},ventset_obj.root_body.composite_body.state.rot.ang_vel_this[2] {radian/s}
                   0,                   5,                   1,                   1,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0
                   1,                   5,                   1,                   1,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0
                   2,                   5,                   1,                   1,                   0,                   0,                  -4,                   0,                  -4,                   0,                   0,                   0,                   0,                   0,                   0,                   0
                   3,                   5,                   1,                   1,                   0,                   0,                  -4,                   0,                  -4,                   0,  0.1049009338531697,                   0, -0.7841592199580492,                   0, -0.7999999999999999,                   0
                   4,                   5,                   1,                   1,                   0,                   0,                  -4,                   0,                  -4,                   0,  0.7057870800885023,                   0,  -1.232943153575677,                   0,                -1.6,                   0
                   5,                   5,                   1,                   1,                   0,                   0,                  -4,                   0,                  -4,                   0,   1.097651382020754,                   0, -0.6843401033815674,                   0,                -2.4,                   0
                   6,                   5,                   1,                   1,                   0,                   0,                  -4,                   0,                  -4,                   0,  0.5328315146284446,                   0, -0.7961732820788193,                   0,                -3.2,                   0
                   7,                   5,                   1,                   1,                   0,                   0,                  -4,                   0,                  -4,                   0,  0.9905256080374358,                   0, -0.6874804287583989,                   0,                  -4,                   0
                   8,                   5,                   1,                   1,                   0,                   0,                  -4,                   0,                  -4,                   0,  0.8081299100621528,                   0,  -1.014958604801606,                   0,                -4.8,                   0
                   9,                   5,                   1,                   1,                   0,                   0,                  -4,                   0,                  -4,                   0,  0.5347555561548585,                   0, -0.8816099232690481,                   0,                -5.6,                   0
                  10,                   5,                   1,                   1,                   0,                   0,                  -4,                   0,                  -4,                   0,  0.4272144278723962,                   0,  -0.634733320550342,                   0,  -6.399999999999999,                   0
                  11,                   5,                   1,                   1,                   0,                   0,                  -4,                   0,                  -4,                   0,  0.2875282557545416,                   0, -0.3974461885875665,                   0,  -7.199999999999999,                   0
                  12,                   5,                   1,                   1,                   0,                   0,                   0,                   0,                   0,                   0,-0.03254489037964481,                   0, -0.3673149491323549,                   0,  -7.999999999999999,                   0
                  13,                   5,                   1,                   1,                   0,                   0,                   0,                   0,                   0,                   0,-0.03254489037964481,                   0, -0.3673149491323549,                   0,  -7.999999999999999,                   0
                  14,                   5,                   1,                   1,                   0,                   0,                   0,                   0,                   0,                   0,-0.03254489037964481,                   0, -0.3673149491323549,                   0,  -7.999999999999999,                   0
