sys.exec.out.time {s},vehicle.planet_rel_state.state.cart_coords[0] {m},vehicle.planet_rel_state.state.cart_coords[1] {m},vehicle.planet_rel_state.state.cart_coords[2] {m},vehicle.pt_to_pt_position[0][0] {m},vehicle.pt_to_pt_position[0][1] {m},vehicle.pt_to_pt_position[0][2] {m},vehicle.pt_to_pt_position[1][0] {m},vehicle.pt_to_pt_position[1][1] {m},vehicle.pt_to_pt_position[1][2] {m},vehicle.pt_to_pt_position[2][0] {m},vehicle.pt_to_pt_position[2][1] {m},vehicle.pt_to_pt_position[2][2] {m},vehicle.pt_to_pt_position[3][0] {m},vehicle.pt_to_pt_position[3][1] {m},vehicle.pt_to_pt_position[3][2] {m},vehicle.pt_to_pt_position[4][0] {m},vehicle.pt_to_pt_position[4][1] {m},vehicle.pt_to_pt_position[4][2] {m},vehicle.pt_to_pt_position[5][0] {m},vehicle.pt_to_pt_position[5][1] {m},vehicle.pt_to_pt_position[5][2] {m}
                   0,   385237.8733026918,   -5432401.03099659,   3338997.626559414,                   1,                   0,4.656612873077393e-10,                   0,                  -1,4.656612873077393e-10,                   0,                   0,   2.000000000465661,                   2,                   0,4.656612873077393e-10,                   1,                  -1,4.656612873077393e-10,                   1,                  -1,4.656612873077393e-10
                   5,   422123.2845091583,  -5429680.957280578,   3338933.808974962,   36886.41120646655,    2720.07371601183,  -63.81758445221931,   36885.41120646655,    2719.07371601183,  -63.81758445221931,   36885.41120646655,    2720.07371601183,  -61.81758445221931,   36887.41120646655,    2720.07371601183,  -63.81758445221931,   36886.41120646655,    2719.07371601183,  -63.81758445221931,   36886.41120646655,    2719.07371601183,  -63.81758445221931
                  10,   458992.5596849883,  -5426753.329318268,   3338742.357760393,   73755.68638229655,   5647.701678321697,  -255.2687990213744,   73754.68638229655,   5646.701678321697,  -255.2687990213744,   73754.68638229655,   5647.701678321697,  -253.2687990213744,   73756.68638229655,   5647.701678321697,  -255.2687990213744,   73755.68638229655,   5646.701678321697,  -255.2687990213744,   73755.68638229655,   5646.701678321697,  -255.2687990213744
                  15,   495844.2890955177,  -5423618.254629367,   3338423.277532196,   110607.4157928259,    8782.77636722289,  -574.3490272178315,   110606.4157928259,    8781.77636722289,  -574.3490272178315,   110606.4157928259,    8782.77636722289,  -572.3490272178315,   110608.4157928259,    8782.77636722289,  -574.3490272178315,   110607.4157928259,    8781.77636722289,  -574.3490272178315,   110607.4157928259,    8781.77636722289,  -574.3490272178315
                  20,   532677.0633496138,  -5420275.845742262,   3337976.575984916,    147440.190046922,   12125.18525432795,  -1021.050574498251,    147439.190046922,   12124.18525432795,  -1021.050574498251,    147439.190046922,   12125.18525432795,  -1019.050574498251,    147441.190046922,   12125.18525432795,  -1021.050574498251,    147440.190046922,   12124.18525432795,  -1021.050574498251,    147440.190046922,   12124.18525432795,  -1021.050574498251
                  25,   569489.4733939552,  -5416726.220195399,   3337402.263891741,   176891.8148425297,    14948.3141692644,   -1470.29202594189,   176890.8148425297,    14947.3141692644,   -1470.29202594189,   176890.8148425297,    14948.3141692644,   -1468.29202594189,   176892.8148425297,    14948.3141692644,   -1470.29202594189,   176891.8148425297,    14947.3141692644,   -1470.29202594189,   176891.8148425297,    14947.3141692644,   -1470.29202594189
                  30,   606280.1105073532,  -5412969.500539037,   3336700.355105341,   176891.8148425297,    14948.3141692644,   -1470.29202594189,   176890.8148425297,    14947.3141692644,   -1470.29202594189,   176890.8148425297,    14948.3141692644,   -1468.29202594189,   176892.8148425297,    14948.3141692644,   -1470.29202594189,   176891.8148425297,    14947.3141692644,   -1470.29202594189,   176891.8148425297,    14947.3141692644,   -1470.29202594189
                  35,   635695.9972357338,  -5409815.102609736,    3336046.96973268,   176891.8148425297,    14948.3141692644,   -1470.29202594189,   176890.8148425297,    14947.3141692644,   -1470.29202594189,   176890.8148425297,    14948.3141692644,   -1468.29202594189,   176892.8148425297,    14948.3141692644,   -1470.29202594189,   176891.8148425297,    14947.3141692644,   -1470.29202594189,   176891.8148425297,    14947.3141692644,   -1470.29202594189
                  40,   635695.9972357338,  -5409815.102609736,    3336046.96973268,   176891.8148425297,    14948.3141692644,   -1470.29202594189,   176890.8148425297,    14947.3141692644,   -1470.29202594189,   176890.8148425297,    14948.3141692644,   -1468.29202594189,   176892.8148425297,    14948.3141692644,   -1470.29202594189,   176891.8148425297,    14947.3141692644,   -1470.29202594189,   176891.8148425297,    14947.3141692644,   -1470.29202594189
