sys.exec.out.time {s},vehicle.planet_rel_state.launch_range.active {--},vehicle.planet_rel_state.landing_range.active {--},vehicle.planet_rel_state.entry_range.active {--}
                   0,1,1,1
                   5,1,1,1
                  10,1,1,1
                  15,1,1,1
                  20,1,1,1
                  25,0,0,0
                  30,0,0,0
                  35,0,0,0
                  40,0,0,0
