
Group: JIT-group
condition_name {--}, condition_type {--},condition_count {--}, condition_first_time {s},condition_last_time {s}, x1_alias1{kg}, x2_alias1{N}
JIT-group: First hit       , 1,      1,      2.000,      2.000,   2.7776250000000000,   0.9000495027226496
JIT-group: Maxima          , 2,      5,      2.000,     10.000,  71.1874907226562357,   0.9000495027226496
JIT-group: Minima          , 3,      5,      2.000,     10.000,   2.7776250000000000,  -0.5987983660088957
JIT-group: Maxima-Absolute , 4,      5,      2.000,     10.000,  71.1874907226562357,   0.9000495027226496
JIT-group: Minima-Absolute , 5,      5,      2.000,     10.000,   2.7776250000000000,  -0.5000275015125830
JIT-group: Average         , 6,      5,      2.000,     10.000,  25.1830766601562459,   0.2225911176829403
JIT-group: Average_Absolute, 7,      5,      2.000,     10.000,  25.1830766601562459,   0.6621214646915318
JIT-group: Average-Non-zero, 8,      5,      2.000,     10.000,  25.1830766601562459,   0.2225911176829403
