sys.exec.out.time {s},fd_obj.time {1},fd_obj.in_scalar {1},fd_obj.out_scalar_deriv1 {1},fd_obj.out_math_utils {1},fd_obj.out_scalar_deriv2 {1},fd_obj.error_deriv1 {1},fd_obj.error_mu2 {1},fd_obj.error_mu {1},fd_obj.error_deriv2 {1}
                   0,                   3,                 202,                 212,                 212,                   0,              -0.152,              -0.152,              -0.152,                  -1
                   1,                   4,                 597,                 515,                 557,                 366,-0.09490333919156414,-0.09490333919156414, -0.0210896309314587, -0.1073170731707317
                   2,                   5,                1406,                1016,                1086,                 588,-0.06445672191528545,-0.06445672191528545,2.093680252700111e-16,-0.06962025316455696
                   3,                   6,                2851,                1763,   1849.000000000001,                 858,-0.04651162790697674,-0.04651162790697674,3.689134809787432e-16,-0.04878048780487805
                   4,                   7,                5202,                2804,                2906,                1176,-0.03509979353062629,-0.03509979353062629,                   0,-0.03606557377049181
                   5,                   8,                8777,                4187,   4305.000000000002,                1542,-0.02740998838559814,-0.02740998838559814,4.225294781755764e-16,-0.02774274905422447
                   6,                   9,               13942,                5960,   6094.000000000003,                1956,-0.02198884148342632,-0.02198884148342632,4.477328692679332e-16,              -0.022
                   7,                  10,               21111,                8171,                8321,                2418,-0.01802667948563874,-0.01802667948563874,                   0,-0.01787164906580016
                   8,                  11,               30746,               10868,   11034.00000000001,                2928,-0.01504440819285844,-0.01504440819285844,4.945593810619511e-16,-0.01480484522207268
                   9,                  12,               43357,               14099,   14281.00000000001,                3486,-0.01274420558784399,-0.01274420558784399,7.642277446449926e-16,-0.01246458923512748
                  10,                  13,               59502,               17912,   18110.00000000001,                4092,-0.01093318608503589,-0.01093318608503589,8.035292782091028e-16,-0.01063829787234043
                  11,                  14,               79787,               22355,   22569.00000000002,                4746,-0.009482032876955116,-0.009482032876955116,9.671617192853151e-16,-0.009185803757828809
                  12,                  15,              104866,               27476,   27706.00000000001,                5448,-0.008301450949252869,-0.008301450949252869, 5.2522613254771e-16,-0.008011653313911144
