sys.exec.out.time {s},fd_obj.time {1},fd_obj.in_vec3[0] {1},fd_obj.in_vec3[1] {1},fd_obj.in_vec3[2] {1},fd_obj.out_vec3_deriv1[0] {1},fd_obj.out_vec3_deriv1[1] {1},fd_obj.out_vec3_deriv1[2] {1},fd_obj.out_vec3_deriv2[0] {1},fd_obj.out_vec3_deriv2[1] {1},fd_obj.out_vec3_deriv2[2] {1},fd_obj.error_deriv1_vec[0] {1},fd_obj.error_deriv1_vec[1] {1},fd_obj.error_deriv1_vec[2] {1},fd_obj.error_deriv2_vec[0] {1},fd_obj.error_deriv2_vec[1] {1},fd_obj.error_deriv2_vec[2] {1}
                   0,                   3,                 202,                 310,                 418,                 212,                 327,                 442,                   0,                   0,                   0,              -0.152, -0.1506493506493506,               -0.15,                  -1,                  -1,                  -1
                   1,                   4,                 597,                 917,                1237,                 515,                 791,                1067,                 366,                 560,                 754,-0.09490333919156414,-0.09392898052691867,-0.09345794392523364, -0.1073170731707317, -0.1054313099041534, -0.1045130641330166
                   2,                   5,                1406,                2156,                2906,                1016,                1555,                2094,                 588,                 896,                1204,-0.06445672191528545,-0.06381697772426249,-0.06350626118067978,-0.06962025316455696,-0.06860706860706861,-0.06811145510835913
                   3,                   6,                2851,                4363,                5875,                1763,                2691,                3619,                 858,                1304,                1750,-0.04651162790697674,-0.04608294930875576,-0.04587397838122858,-0.04878048780487805,-0.04817518248175182,-0.04787812840043525
                   4,                   7,                5202,                7946,               10690,                2804,                4271,                5738,                1176,                1784,                2392,-0.03509979353062629,-0.03480225988700565,-0.03465679676985195,-0.03606557377049181,-0.03567567567567568,-0.03548387096774194
                   5,                   8,                8777,               13385,               17993,                4187,                6367,                8547,                1542,                2336,                3130,-0.02740998838559814,-0.02719633307868602,-0.02709163346613546,-0.02774274905422447,-0.02747710241465445,-0.02734617775015537
                   6,                   9,               13942,               21232,               28522,                5960,                9051,               12142,                1956,                2960,                3964,-0.02198884148342632,-0.02183075759213228,-0.02175314212052852,              -0.022,-0.02181097157964309,-0.02171767028627838
                   7,                  10,               21111,               32111,               43111,                8171,               12395,               16619,                2418,                3656,                4894,-0.01802667948563874,-0.01790666349734569,-0.01784764493824242,-0.01787164906580016,-0.01773240193444385, -0.0176635889201124
                   8,                  11,               30746,               46718,               62690,               10868,               16471,               22074,                2928,                4424,                5920,-0.01504440819285844,-0.01495125889599904,-0.01490539093181007,-0.01480484522207268,-0.01469933184855234,-0.01464713715046605
                   9,                  12,               43357,               65821,               88285,               14099,               21351,               28603,                3486,                5264,                7042,-0.01274420558784399,-0.01267052023121387,-0.01263419517415168,-0.01246458923512748,-0.01238273921200751, -0.0123422159887798
                  10,                  13,               59502,               90260,              121018,               17912,               27107,               36302,                4092,                6176,                8260,-0.01093318608503589,-0.01087392811530742,-0.01084468664850136,-0.01063829787234043,-0.01057353412367831,-0.01054144705318639
                  11,                  14,               79787,              120947,              162107,               22355,               33811,               45267,                4746,                7160,                9574,-0.009482032876955116,-0.009433685875838631,-0.009409808083681642,-0.009185803757828809,-0.009133683919180737,-0.009107845166632168
                  12,                  15,              104866,              158866,              212866,               27476,               41535,               55594,                5448,                8216,               10984,-0.008301450949252869,-0.008261502829445334,-0.008241758241758242,-0.008011653313911144,-0.007969089591886018,-0.007947976878612716
