sys.exec.out.time {s},fd_obj.time {1},fd_obj.in_mat3x3[0][0] {1},fd_obj.in_mat3x3[0][1] {1},fd_obj.in_mat3x3[0][2] {1},fd_obj.in_mat3x3[1][0] {1},fd_obj.in_mat3x3[1][1] {1},fd_obj.in_mat3x3[1][2] {1},fd_obj.in_mat3x3[2][0] {1},fd_obj.in_mat3x3[2][1] {1},fd_obj.in_mat3x3[2][2] {1},fd_obj.out_mat3x3_deriv1[0][0] {1},fd_obj.out_mat3x3_deriv1[0][1] {1},fd_obj.out_mat3x3_deriv1[0][2] {1},fd_obj.out_mat3x3_deriv1[1][0] {1},fd_obj.out_mat3x3_deriv1[1][1] {1},fd_obj.out_mat3x3_deriv1[1][2] {1},fd_obj.out_mat3x3_deriv1[2][0] {1},fd_obj.out_mat3x3_deriv1[2][1] {1},fd_obj.out_mat3x3_deriv1[2][2] {1},fd_obj.error_deriv1_mx[0][0] {1},fd_obj.error_deriv1_mx[0][1] {1},fd_obj.error_deriv1_mx[0][2] {1},fd_obj.error_deriv1_mx[1][0] {1},fd_obj.error_deriv1_mx[1][1] {1},fd_obj.error_deriv1_mx[1][2] {1},fd_obj.error_deriv1_mx[2][0] {1},fd_obj.error_deriv1_mx[2][1] {1},fd_obj.error_deriv1_mx[2][2] {1}
                   0,                   3,                 202,                 310,                 418,                 292,                 400,                 508,                 382,                 490,                 598,                 212,                 327,                 442,                 308,                 423,                 538,                 404,                 519,                 634,              -0.152, -0.1506493506493506,               -0.15, -0.1538461538461539, -0.1523046092184369, -0.1514195583596215, -0.1548117154811715, -0.1533442088091354, -0.1524064171122995
                   1,                   4,                 597,                 917,                1237,                 869,                1189,                1509,                1141,                1461,                1781,                 515,                 791,                1067,                 753,                1029,                1305,                 991,                1267,                1543,-0.09490333919156414,-0.09392898052691867,-0.09345794392523364,-0.09603841536614646,-0.09498680738786279,-0.09437890353920889,-0.09662716499544212,-0.09564596716630978,-0.09501466275659824
                   2,                   5,                1406,                2156,                2906,                2056,                2806,                3556,                2706,                3456,                4206,                1016,                1555,                2094,                1492,                2031,                2570,                1968,                2507,                3046,-0.06445672191528545,-0.06381697772426249,-0.06350626118067978,-0.06516290726817042,-0.06448641179180101,-0.06409322651128915,-0.06552706552706553, -0.0649011562849683, -0.0644963144963145
                   3,                   6,                2851,                4363,                5875,                4183,                5695,                7207,                5515,                7027,                8539,                1763,                2691,                3619,                2597,                3525,                4453,                3431,                4359,                5287,-0.04651162790697674,-0.04608294930875576,-0.04587397838122858,-0.04697247706422018,-0.04652420881796051,-0.04626258299421718,-0.04720910858094974,-0.04679641373277936,-0.04652840396753832
                   4,                   7,                5202,                7946,               10690,                7652,               10396,               13140,               10102,               12846,               15590,                2804,                4271,                5738,                4140,                5607,                7074,                5476,                6943,                8410,-0.03509979353062629,-0.03480225988700565,-0.03465679676985195,-0.03541472506989748,-0.03510583376355188,  -0.034924965893588,-0.03557590700951039,-0.03529248297901903,-0.03510784763653052
                   5,                   8,                8777,               13385,               17993,               12937,               17545,               22153,               17097,               21705,               26313,                4187,                6367,                8547,                6193,                8373,               10553,                8199,               10379,               12559,-0.02740998838559814,-0.02719633307868602,-0.02709163346613546,-0.02763385146804836,-0.02741317226158671,-0.02728362061019449,-0.02774813233724653,-0.02754614447671695,-0.02741423371795865
                   6,                   9,               13942,               21232,               28522,               20584,               27874,               35164,               27226,               34516,               41806,                5960,                9051,               12142,                8828,               11919,               15010,               11696,               14787,               17878,-0.02198884148342632,-0.02183075759213228,-0.02175314212052852,-0.02215330084182543,-0.02199064577008288,-0.02189495634041444,-0.02223708409964889,-0.02208848621122942,-0.02199124726477024
                   7,                  10,               21111,               32111,               43111,               31211,               42211,               53211,               41311,               52311,               63311,                8171,               12395,               16619,               12117,               16341,               20565,               16063,               20287,               24511,-0.01802667948563874,-0.01790666349734569,-0.01784764493824242,-0.01815087918321044,-0.01802776275464215,-0.01795520748770355,-0.01821404559623495,-0.01810173757320556,-0.01802812387324226
                   8,                  11,               30746,               46718,               62690,               45508,               61480,               77452,               60270,               76242,               92214,               10868,               16471,               22074,               16132,               21735,               27338,               21396,               26999,               32602,-0.01504440819285844,-0.01495125889599904,-0.01490539093181007,-0.01514041514041514,-0.01504508995332397,-0.01498883043885566, -0.0151891742612538,-0.01510232371502572,-0.01504531722054381
                   9,                  12,               43357,               65821,               88285,               64237,               86701,              109165,               85117,              107581,              130045,               14099,               21351,               28603,               20945,               28197,               35449,               27791,               35043,               42295,-0.01274420558784399,-0.01267052023121387,-0.01263419517415168,-0.01281990856388745,-0.01274465179790624,-0.01270018103328227,-0.01285830994920612, -0.0127898132236527,-0.01274480054153731
