sys.exec.out.time {s},vehicle.planet_rel_state.state.sphere_coords.longitude {rad},vehicle.planet_rel_state.state.sphere_coords.latitude {rad},vehicle.planet_rel_state.state.sphere_coords.altitude {m},vehicle.planet_rel_state.state.ellip_coords.longitude {rad},vehicle.planet_rel_state.state.ellip_coords.latitude {rad},vehicle.planet_rel_state.state.ellip_coords.altitude {m},vehicle.planet_rel_state.state.cart_coords[0] {m},vehicle.planet_rel_state.state.cart_coords[1] {m},vehicle.planet_rel_state.state.cart_coords[2] {m},vehicle.body.composite_body.state.trans.position[0] {m},vehicle.body.composite_body.state.trans.position[1] {m},vehicle.body.composite_body.state.trans.position[2] {m},vehicle.body.composite_body.state.trans.velocity[0] {m/s},vehicle.body.composite_body.state.trans.velocity[1] {m/s},vehicle.body.composite_body.state.trans.velocity[2] {m/s},vehicle.body.mass.composite_properties.T_parent_this[0][0] {--},vehicle.body.mass.composite_properties.T_parent_this[0][1] {--},vehicle.body.mass.composite_properties.T_parent_this[0][2] {--},vehicle.body.mass.composite_properties.T_parent_this[1][0] {--},vehicle.body.mass.composite_properties.T_parent_this[1][1] {--},vehicle.body.mass.composite_properties.T_parent_this[1][2] {--},vehicle.body.mass.composite_properties.T_parent_this[2][0] {--},vehicle.body.mass.composite_properties.T_parent_this[2][1] {--},vehicle.body.mass.composite_properties.T_parent_this[2][2] {--}
                   0,                -1.5,                0.55,               10000,                -1.5,  0.5529901497081282,   15863.68459469927,   385237.8733026918,   -5432401.03099659,   3338997.626559414,   385237.8733026918,   -5432401.03099659,   3338997.626559414,   7378.601844639518,   523.2524009838755,                   0,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1
                   5,   -1.49320872816412,  0.5499897240479531,    9984.97331079375,   -1.49320872816412,  0.5529798498084124,   15848.46168802382,   422123.2845091583,  -5429680.957280578,   3338933.808974962,   422123.2845091583,  -5429680.957280578,   3338933.808974962,   7375.515635168216,   564.7736683556732,  -25.52698248854627,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1
                  10,  -1.486417563567066,  0.5499588965379539,   9939.893605501391,  -1.486417563567066,  0.5529489504479834,   15802.79334913314,   458992.5596849883,  -5426753.329318268,   3338742.357760393,   458992.5596849883,  -5426753.329318268,   3338742.357760393,   7372.147444027741,   606.2739325816008,  -51.05334945715854,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1
                  15,  -1.479626613413778,  0.5499075185083296,   9864.761971137486,  -1.479626613413778,  0.5528974526429026,   15726.68072145919,   495844.2890955177,  -5423618.254629367,   3338423.277532196,   495844.2890955177,  -5423618.254629367,   3338423.277532196,   7368.497340498899,   647.7521920374014,  -76.57848533845124,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1
                  20,   -1.47283598484145,  0.5498355916893031,    9759.58021948114,   -1.47283598484145,  0.5528253580862856,   15620.12571082304,   532677.0633496138,  -5420275.845742262,   3337976.575984916,   532677.0633496138,  -5420275.845742262,   3337976.575984916,   7364.565392714671,   689.2074448622398,  -102.1017744701351,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1
                  25,   -1.46604578488569,  0.5497431185025076,   9624.350887224078,   -1.46604578488569,   0.552732669147826,    15483.1309855717,   569489.4733939552,  -5416726.220195399,   3337402.263891741,   569489.4733939552,  -5416726.220195399,   3337402.263891741,   7360.351667667994,   730.6386888816614,  -127.6226010475639,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1
                  30,  -1.459256120446734,  0.5496301020603103,   9459.077236158773,  -1.459256120446734,  0.5526193888731254,    15315.6999767916,   606280.1105073532,  -5412969.500539037,   3336700.355105341,   606280.1105073532,  -5412969.500539037,   3336700.355105341,   7355.856231220464,   772.0449215306135,  -153.1403490762789,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1
                  35,  -1.452467098255725,  0.5494965461649423,   9263.763253430836,  -1.452467098255725,  0.5524855209828358,   15117.83687855836,   643047.5662951188,  -5409005.814337401,    3335870.86655893,   643047.5662951188,  -5409005.814337401,    3335870.86655893,   7351.079148111968,   813.4251397765281,  -178.6544023245513,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1
                  40,  -1.445678824841068,  0.5493424553074358,   9038.413651851937,  -1.445678824841068,  0.5523310698716102,   14889.54664826798,   679790.4326834792,  -5404835.294171204,   3334913.818267572,   679790.4326834792,  -5404835.294171204,   3334913.818267572,   7346.020481971234,   854.7783400424665,   -204.164144275922,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1
                  45,  -1.438891406494882,   0.549167834666371,   8783.033870258369,  -1.438891406494882,  0.5521560406068667,   14630.83500700441,   716507.3019140516,  -5400458.077640567,   3333829.233329726,   716507.3019140516,  -5400458.077640567,   3333829.233329726,   7340.680295327321,   896.1035181303217,  -229.6689580817364,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1
                  50,   -1.43210494923956,   0.548972690106433,   8497.630073931068,   -1.43210494923956,  0.5519604389273637,   14341.70843998123,   753196.7665383752,  -5395874.307368316,   3332617.137929021,   753196.7665383752,  -5395874.307368316,   3332617.137929021,   7335.058649622016,   937.3996691440815,  -255.1682265136765,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1
                  55,  -1.425319558794466,  0.5487570281767787,    8182.20915506687,  -1.425319558794466,  0.5517442712415873,   14022.17419702964,    789857.419412507,  -5391084.131003655,   3331277.561336278,    789857.419412507,  -5391084.131003655,   3331277.561336278,    7329.15560522318,   978.6657874131483,  -280.6613319162875,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1
                  60,   -1.41853534054276,  0.5485208561092152,   7836.778733315878,   -1.41853534054276,  0.5515075446259552,   13672.24029315439,   826487.8536916884,  -5386087.701226244,   3329810.535911762,   826487.8536916884,  -5386087.701226244,   3329810.535911762,   7322.971221439017,   1019.900866415717,  -306.1476561594985,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1
                  65,  -1.411752399498386,  0.5482641818161924,   7461.347156365402,  -1.411752399498386,  0.5512502668228347,   13291.91550914234,   863086.6628250839,  -5380885.175750636,   3328216.097107672,   863086.6628250839,  -5380885.175750636,   3328216.097107672,   7316.505556533275,   1061.103898702211,   -331.626580591139,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1
                  70,   -1.40497084027324,  0.5479870138886107,   7055.923500581644,   -1.40497084027324,  0.5509724462383795,   12881.20939222835,   899652.4405505992,  -5375476.717331111,   3326494.283470872,   899652.4405505992,  -5375476.717331111,   3326494.283470872,   7309.758667741386,    1102.27387581877,   -357.097485989447,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1
                  75,  -1.398190767044511,  0.5476893615934438,   6620.517571709119,  -1.398190767044511,  0.5506740919401826,   12440.13225682469,   936183.7808897818,  -5369862.493766893,   3324645.136645861,   936183.7808897818,  -5369862.493766893,   3324645.136645861,   7302.730611287544,   1143.409788230796,  -382.5597525155717,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1
                  80,  -1.391412283522235,  0.5473712348711811,    6155.13990562316,  -1.391412283522235,  0.5503552136547553,   11968.69518529878,   972679.2781428093,   -5364042.67790773,    3322668.70137797,   972679.2781428093,   -5364042.67790773,    3322668.70137797,   7295.421442402717,   1184.510625246555,  -408.0127596660684,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1
                  85,  -1.384635492917063,   0.547032644333088,   5659.801769143902,  -1.384635492917063,   0.550015821764821,   11466.91002881814,    1009137.52688357,   -5358017.44765989,    3320565.02551681,    1009137.52688357,   -5358017.44765989,    3320565.02551681,   7287.831215343612,   1225.575374940829,  -433.4558862253849,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1
                  90,  -1.377860497908257,  0.5466736012582911,   5134.515160900541,  -1.377860497908257,  0.5496559273064409,   10934.78940825062,   1045557.121954843,  -5351786.985992505,   3318334.160019949,   1045557.121954843,  -5351786.985992505,   3318334.160019949,   7279.959983412587,   1266.603024078628,  -458.8885102183409,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1
                  95,  -1.371087400611933,   0.546294117590685,    4579.29281225428,  -1.371087400611933,  0.5492755419659615,   10372.34671512363,   1081936.658463574,  -5345351.480944318,   3315976.158956828,   1081936.658463574,  -5345351.480944318,   3315976.158956828,   7271.807798978497,   1307.592558038946,  -484.3100088625974,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1
