sys.exec.out.time {s},dummy_veh_launcher_verif.mass_body.composite_properties.mass {kg},vehicle2.dyn_body.mass.composite_properties.mass {kg},vehicle2.dyn_body.mass.core_properties.mass {kg},dummy_veh_launcher_verif.mass_body.composite_properties.position[0] {m},dummy_veh_launcher_verif.mass_body.composite_properties.position[1] {m},dummy_veh_launcher_verif.mass_body.composite_properties.position[2] {m},vehicle2.dyn_body.mass.composite_properties.position[0] {m},vehicle2.dyn_body.mass.composite_properties.position[1] {m},vehicle2.dyn_body.mass.composite_properties.position[2] {m},vehicle2.dyn_body.mass.core_properties.position[0] {m},vehicle2.dyn_body.mass.core_properties.position[1] {m},vehicle2.dyn_body.mass.core_properties.position[2] {m},dummy_veh_launcher_verif.mass_body.composite_properties.inertia[0][0] {kg*m2},dummy_veh_launcher_verif.mass_body.composite_properties.inertia[0][1] {kg*m2},dummy_veh_launcher_verif.mass_body.composite_properties.inertia[0][2] {kg*m2},dummy_veh_launcher_verif.mass_body.composite_properties.inertia[1][0] {kg*m2},dummy_veh_launcher_verif.mass_body.composite_properties.inertia[1][1] {kg*m2},dummy_veh_launcher_verif.mass_body.composite_properties.inertia[1][2] {kg*m2},dummy_veh_launcher_verif.mass_body.composite_properties.inertia[2][0] {kg*m2},dummy_veh_launcher_verif.mass_body.composite_properties.inertia[2][1] {kg*m2},dummy_veh_launcher_verif.mass_body.composite_properties.inertia[2][2] {kg*m2},vehicle2.dyn_body.mass.core_properties.inertia[0][0] {kg*m2},vehicle2.dyn_body.mass.core_properties.inertia[0][1] {kg*m2},vehicle2.dyn_body.mass.core_properties.inertia[0][2] {kg*m2},vehicle2.dyn_body.mass.core_properties.inertia[1][0] {kg*m2},vehicle2.dyn_body.mass.core_properties.inertia[1][1] {kg*m2},vehicle2.dyn_body.mass.core_properties.inertia[1][2] {kg*m2},vehicle2.dyn_body.mass.core_properties.inertia[2][0] {kg*m2},vehicle2.dyn_body.mass.core_properties.inertia[2][1] {kg*m2},vehicle2.dyn_body.mass.core_properties.inertia[2][2] {kg*m2},vehicle2.dyn_body.mass.composite_properties.inertia[0][0] {kg*m2},vehicle2.dyn_body.mass.composite_properties.inertia[0][1] {kg*m2},vehicle2.dyn_body.mass.composite_properties.inertia[0][2] {kg*m2},vehicle2.dyn_body.mass.composite_properties.inertia[1][0] {kg*m2},vehicle2.dyn_body.mass.composite_properties.inertia[1][1] {kg*m2},vehicle2.dyn_body.mass.composite_properties.inertia[1][2] {kg*m2},vehicle2.dyn_body.mass.composite_properties.inertia[2][0] {kg*m2},vehicle2.dyn_body.mass.composite_properties.inertia[2][1] {kg*m2},vehicle2.dyn_body.mass.composite_properties.inertia[2][2] {kg*m2},vehicle.dyn_body.composite_body.state.trans.position[0] {m},vehicle.dyn_body.composite_body.state.trans.position[1] {m},vehicle.dyn_body.composite_body.state.trans.position[2] {m},vehicle2.dyn_body.composite_body.state.trans.position[0] {m},vehicle2.dyn_body.composite_body.state.trans.position[1] {m},vehicle2.dyn_body.composite_body.state.trans.position[2] {m},vehicle2.dyn_body.core_body.state.trans.position[0] {m},vehicle2.dyn_body.core_body.state.trans.position[1] {m},vehicle2.dyn_body.core_body.state.trans.position[2] {m},vehicle.dyn_body.composite_body.state.trans.velocity[0] {m/s},vehicle.dyn_body.composite_body.state.trans.velocity[1] {m/s},vehicle.dyn_body.composite_body.state.trans.velocity[2] {m/s},vehicle2.dyn_body.composite_body.state.trans.velocity[0] {m/s},vehicle2.dyn_body.composite_body.state.trans.velocity[1] {m/s},vehicle2.dyn_body.composite_body.state.trans.velocity[2] {m/s},vehicle2.dyn_body.core_body.state.trans.velocity[0] {m/s},vehicle2.dyn_body.core_body.state.trans.velocity[1] {m/s},vehicle2.dyn_body.core_body.state.trans.velocity[2] {m/s},vehicle.dyn_body.derivs.trans_accel[0] {m/s2},vehicle.dyn_body.derivs.trans_accel[1] {m/s2},vehicle.dyn_body.derivs.trans_accel[2] {m/s2},vehicle2.dyn_body.derivs.trans_accel[0] {m/s2},vehicle2.dyn_body.derivs.trans_accel[1] {m/s2},vehicle2.dyn_body.derivs.trans_accel[2] {m/s2},vehicle.dyn_body.derivs.non_grav_accel[0] {m/s2},vehicle.dyn_body.derivs.non_grav_accel[1] {m/s2},vehicle.dyn_body.derivs.non_grav_accel[2] {m/s2},vehicle2.dyn_body.derivs.non_grav_accel[0] {m/s2},vehicle2.dyn_body.derivs.non_grav_accel[1] {m/s2},vehicle2.dyn_body.derivs.non_grav_accel[2] {m/s2}
                  10,                  20,                   0,                   0,             7000000,                   1,                   2,                   0,                   0,                   0,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,   6999593.260298007,   39999.22524176181,                   0,                   0,                   0,                   0,                   0,                   0,                   0,  -81.34885194081312,   3999.767567602364,                   0,                   0,                   0,                   0,                   0,                   0,                   0,  -8.135249819590424,-0.04648894223978848,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0
                  11,                  20,                   0,                   0,             7000000,                   1,                   2,                   0,                   0,                   0,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,   6999507.843802469,   43998.96878990033,                   0,                   0,                   0,                   0,                   0,                   0,                   0,  -89.48415828044169,   3999.718753669376,                   0,                   0,                   0,                   0,                   0,                   0,                   0,  -8.135364683425559,-0.05113897457311763,                   0,                   0,                   0,                   0,                   0,                  -0,                   0,                   0,                   0,                   0
                  12,                  20,                   0,                   0,             7000000,                   1,                   2,                   0,                   0,                   0,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,   6999414.291941334,   47998.66119903674,                   0,                   0,                   0,                   0,                   0,                   0,                   0,  -97.61958495516167,   3999.665289543914,                   0,                   0,                   0,                   0,                   0,                   0,                   0,  -8.135490489920217,-0.05578933211756543,                   0,                   0,                   0,                   0,                   0,                  -0,                   0,                   0,                   0,                   0
                  13,                  20,                   0,                   0,             7000000,                   1,                   2,                   0,                   0,                   0,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,   6999312.604588799,   51998.29781881101,                   0,                   0,                   0,                   0,                   0,                   0,                   0,   -105.755142908069,   3999.607174885974,                   0,                   0,                   0,                   0,                   0,                   0,                   0,  -8.135627239960064,-0.06044004446045532,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0
                  14,                  20,                   0,                   0,             7000000,                   1,                   2,                   0,                   0,                   0,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,   6999202.781608111,   55997.87399850833,                   0,                   0,                   0,                   0,                   0,                   0,                   0,  -113.8908430831838,   3999.544409325963,                   0,                   0,                   0,                   0,                   0,                   0,                   0,  -8.135774934507838, -0.0650911411950283,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0
                  15,                  20,                   0,                   0,             7000000,                   1,                   2,                   0,                   0,                   0,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,   6999084.822851577,   59997.38508702951,                   0,                   0,                   0,                   0,                   0,                   0,                   0,  -122.0266964255275,   3999.476992464687,                   0,                   0,                   0,                   0,                   0,                   0,                   0,  -8.135933574603381,-0.06974265192093698,                   0,                   0,                   0,                   0,                  -0,                   0,                   0,                   0,                   0,                   0
                  16,                  20,                   0,                   0,             7000000,                   1,                   2,                   0,                   0,                   0,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,   6998958.728160555,   63996.82643286136,                   0,                   0,                   0,                   0,                   0,                   0,                   0,  -130.1627138811999,   3999.404923873355,                   0,                   0,                   0,                   0,                   0,                   0,                   0,  -8.136103161363636, -0.0743946062447397,                   0,                   0,                   0,                   0,                  -0,                   0,                   0,                   0,                   0,                   0
                  17,                  20,                   0,                   0,             7000000,                   1,                   2,                   0,                   0,                   0,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,   6998824.497365461,   67996.19338404707,                   0,                   0,                   0,                   0,                   0,                   0,                   0,  -138.2989063974563,    3999.32820309356,                   0,                   0,                   0,                   0,                   0,                   0,                   0,  -8.136283695982664,-0.07904703378039492,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0
                  18,                  20,                   0,                   0,             7000000,                   1,                   2,                   0,                   0,                   0,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,   6998682.130285758,   71995.48128815666,                   0,                   0,                   0,                   0,                   0,                   0,                   0,  -146.4352849227847,   3999.246829637282,                   0,                   0,                   0,                   0,                   0,                   0,                   0,  -8.136475179731679,-0.08369996414975585,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0
                  19,                  20,                   0,                   0,             7000000,                   1,                   2,                   0,                   0,                   0,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,   6998531.626729962,   75994.68549225727,                   0,                   0,                   0,                   0,                   0,                   0,                   0,  -154.5718604069829,   3999.160802986873,                   0,                   0,                   0,                   0,                   0,                   0,                   0,  -8.136677613959064,-0.08835342698306552,                   0,                   0,                   0,                   0,                   0,                  -0,                   0,                   0,                   0,                   0
