sys.exec.out.time {s},events_manager_verif.sim_time {--},events_manager_verif.position {--},events_manager_verif.xx1 {--},events_manager_verif.xx2 {--},events_manager_verif.xx_in {--},events_manager_verif.ii {--},events_manager_verif.sim_off {--},events_manager_verif.base_bool {--},events_manager_verif.base_float {--}
                   0,                   0,                  10,                   0,                   0,                 2.2,0,0,0,                   0
                   1,                   1,                   8,                   0,                   0,                 2.2,0,0,0,                   0
                   2,                   2,                 7.5,                 1.1,                 2.2,                 2.2,3,0,1,                   0
                 2.4,                 2.4,                 7.5,                 1.1,                 2.2,                 2.2,3,1,1,                   0
