sys.exec.out.time {s},vehicle.planet_rel_state.entry_range.crossrange_angle {rad},vehicle.planet_rel_state.entry_range.downrange_angle {rad},vehicle.planet_rel_state.entry_range.totalrange_angle {rad},vehicle.planet_rel_state.entry_range.crossrange_angle {rad},vehicle.planet_rel_state.entry_range.downrange_angle {rad},vehicle.planet_rel_state.entry_range.total_range_avg_rad {m},vehicle.planet_rel_state.entry_range.cross_range_avg_rad {m},vehicle.planet_rel_state.entry_range.down_range_avg_rad {m},vehicle.planet_rel_state.entry_range.total_range_ref_rad {m},vehicle.planet_rel_state.entry_range.cross_range_ref_rad {m},vehicle.planet_rel_state.entry_range.down_range_ref_rad {m}
                   0,0.002421871136099666,-0.08533876626118776, 0.08537304165281583,0.002421871136099666,-0.08533876626118776,   544699.9507333579,   15452.10364977689,  -544481.2657272983,   544025.2152818219,   15432.96268580346,  -543806.8011671514
                   5,  0.0022065279941385,-0.07955300677044662, 0.07958353709601695,  0.0022065279941385,-0.07955300677044662,   507760.9611690019,   14078.14751684553,  -507566.1707887039,   507132.5803011433,   14060.72506960951,  -506938.0309841755
                  10,0.001991108961920609,-0.07376719833984166, 0.07379401650604842,0.001991108961920609,-0.07376719833984166,   470820.8474402219,   12703.68050396667,   -470649.742080491,   470239.8431518129,   12688.00385563745,  -470068.9489402253
                  15,0.001775619220933351,-0.06798128599419213, 0.06800443522790185,0.001775619220933351,-0.06798128599419213,   433879.5856675297,   11328.74538697398,  -433731.8897136285,   433346.7192773703,    11314.8320620359,  -433199.2047152939
                  20,0.001560063953102374,-0.06219521475577969, 0.06221475226236693,0.001560063953102374,-0.06219521475577969,   396937.1753166416,   9953.384950346357,  -396812.5238088326,   396452.9474173074,   9941.242709746375,   -396328.447973204
                  25,0.001344448341195068,-0.05640892964340499, 0.05642493214236646,0.001344448341195068,-0.05640892964340499,   359993.6511645692,   8577.641988612279,  -359891.5544883275,   359558.3015636957,   8567.268825074261,   -359456.328355596
                  30,0.001128777569224137,-0.05062237567141546,  0.0506349480976581,0.001128777569224137,-0.05062237567141546,   323049.1034836838,   7201.559307754373,  -322968.8918674209,   322662.6111277103,   7192.943442260483,  -322582.4954757333
                  35,0.0009130568228512205,-0.04483549784869976, 0.04484478767265093,0.0009130568228512205,-0.04483549784869976,   286103.7138732205,   5825.179726613594,  -286044.4460458632,   285765.7967382125,   5818.299606053549,   -285706.598912094
                  40,0.0006972912897911423,-0.03904824117776694, 0.03905446334381457,0.0006972912897911423,-0.03904824117776694,   249157.8229811834,   4448.546078296546,   -249118.127099742,   248867.9378993869,   4443.370374285519,  -248828.2882025032
                  45,0.0004814861602166551,-0.03326055065374941, 0.03326403422946392,0.0004814861602166551,-0.03326055065374941,   212212.0689800844,   3071.701211585106,   -212189.845072884,   211969.4113326596,   3068.188820451193,  -211947.2128377794
                  50,0.0002656466271629156,-0.02747237126346815,  0.0274736552576116,0.0002656466271629156,-0.02747237126346815,   175267.7011867329,   1694.687992343285,   -175259.509968646,   175071.2042904909,   1692.788036285556,  -175063.0222557784
                  55,4.977788693201871e-05,-0.02168364798439092, 0.02168370511145708,4.977788693201871e-05,-0.02168364798439092,   138327.3961731188,   317.5493049233489,  -138327.0317410131,   138175.7298672854,   317.2011343415979,   -138175.365834754
                  60,-0.000166114860500299,-0.01589432578376455,  0.0158951937372136,-0.000166114860500299,-0.01589432578376455,   101397.8570937868,   -1059.67194641544,  -101392.3202867969,   101289.4237738416,  -1058.538749418029,  -101283.8928878286
                  65,-0.0003820264110798937,-0.01010434961761453, 0.01011156864224337,-0.0003820264110798937,-0.01010434961761453,   64501.33533732763,  -2436.932836101782,  -64455.28543697404,   64434.25466558781,  -2434.398453041717,  -64388.25265661869
                  70,-0.000597951556267946,-0.004313664429772592,0.004354910407656966,-0.000597951556267946,-0.004313664429772592,   27778.93520738669,  -3814.190415839136,  -27515.83694818925,   27750.92729732309,  -3810.344786000025,  -27488.09430503838
                  75,-0.0008138850826344106,0.001477784849219769,0.001687085210095142,-0.0008138850826344106,0.001477784849219769,   10761.14704257752,  -5191.401713192264,   9426.115506548937,   10750.66410721604,  -5186.344526595003,    9416.93308768838
                  80,-0.001029821771452016,0.007270053302578386,0.007342628222831175,-0.001029821771452016,0.007270053302578386,   46833.56776925086,  -6568.523730178907,   46370.66234317492,   46789.65188923147,  -6562.364419373028,   46327.18053000373
                  85,-0.001245756398288095, 0.01306319602889055, 0.01312245827639982,-0.001245756398288095, 0.01306319602889055,   83695.87245830889,    -7945.5134418494,    83317.8940792083,   83620.63774038761,  -7938.371172523813,   83242.99912830177
                  90,-0.001461683732597856, 0.01885726814266439, 0.01891382636819263,-0.001461683732597856, 0.01885726814266439,   120628.6184401253,  -9322.327794877277,   120267.9013396252,   120525.1477814674,  -9314.331455288593,   120164.7400904297
                  95,-0.001677598537316648,  0.0246523247753014, 0.02470932786480315,-0.001677598537316648,  0.0246523247753014,   157584.3133950967,  -10698.92370614544,   157220.7748654498,   157455.9972430745,   -10690.2118953619,   157092.7547318843
                 100,-0.001893495568451499,  0.0304484210761494, 0.03050722149650264,-0.001893495568451499,  0.0304484210761494,   194551.5893684818,  -12075.25806132976,   194176.6055228841,    194402.090179455,  -12065.97907628874,   194027.3944825227
