sys.exec.out.time {s},events_manager_verif.base_bool {--},events_manager_verif.xx1 {--}
                   0,0,                   0
                   1,1,                   0
                   2,0,                   0
                   3,1,                   0
                   4,0,               -1.34
                   5,0,               -1.34
                   6,1,                1.23
                   7,1,                1.23
                   8,0,               -1.34
