sys.exec.out.time {s},vehicle.dyn_body.structure.state.trans.position[0] {m},vehicle.dyn_body.structure.state.trans.position[1] {m},vehicle.dyn_body.structure.state.trans.position[2] {m},vehicle.dyn_body.structure.state.trans.velocity[0] {m/s},vehicle.dyn_body.structure.state.trans.velocity[1] {m/s},vehicle.dyn_body.structure.state.trans.velocity[2] {m/s},apsides_predictor.apsides.time_to_next_apsis {s},apsides_predictor.apsides.next_apsis_type {--},apsides_predictor.apsides.apoapsis_altitude {m},apsides_predictor.apsides.periapsis_altitude {m},apsides_predictor.planet_rel_state.state.sphere_coords.altitude {m}
                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,3,                   0,                   0,   421863.0000000009
                1800,   146988.8914894008,   17860702.02782957,  -45.99894774627749,  -4694.465020870768,   7845.732005610153,-0.02821362110627687,                   0,3,                   0,                   0,   11483169.85765328
                3600,  -8182086.345733647,   30639876.12831612,  -93.36258053555578,  -4535.846048046245,   6597.106234789631,-0.02490071957675006,                   0,3,                   0,                   0,   25335401.84599311
                5400,  -16198476.01138162,   42033448.86125303,   -136.687485151445,  -4380.919352416046,   6120.667346465493,-0.02340269609372705,                   0,3,                   0,                   0,   38668521.56954946
                7200,  -23982832.37061497,   52802908.61761094,  -177.9938389829857,  -4274.829423574141,   5867.687345310374,-0.02256216802213542,                   0,3,                   0,                   0,   51616030.00866105
                9000,  -31606171.06728594,   63212856.50106708,  -218.0876734190415,  -4199.525729977064,   5709.782188618916,-0.02202166044525238,                   0,3,                   0,                   0,   64295870.07902874
               10800,  -39112618.84594098,   73387372.68263476,  -257.3677796924877,  -4143.536215833321,   5601.352676601661,-0.02164325086366459,                   0,3,                   0,                   0,   76781368.90470111
               12600,   -46530496.3271114,   83395027.44969982,  -296.0615163317244,  -4100.288825135972,   5522.056619810034,-0.02136266114982083,                   0,3,                   0,                   0,   89119599.57983297
               14400,  -53878921.70517012,    93277884.8336103,  -334.3113429174491,  -4065.859688263994,    5461.41457299981,-0.02114582191999716,                   0,3,                   0,                   0,   101342343.8903854
               16200,  -61171385.72056983,   103063690.3514021,  -372.2127088755121,    -4037.7817918913,   5413.462929512776, -0.0209729423762653,                   0,3,                   0,                   0,   113472030.7093653
               18000,  -68417762.32245262,    112771750.208446,  -409.8328439809808,   -4014.43071163814,   5374.550434777676,-0.02083171266180327,                   0,3,                   0,                   0,    125525076.935278
               19800,  -75625498.61965229,   122416061.9594438,  -447.2209712587368,  -3994.694078631896,   5342.312607752308,-0.02071405989526609,                   0,3,                   0,                   0,   137513865.0964661
               21600,  -82800353.10782082,   132007110.6673985,  -484.4142609539387,  -3977.784599245421,   5315.148695182083,-0.02061446168988895,                   0,3,                   0,                   0,   149447970.3818161
               23400,  -89946872.79659638,   141552961.4202818,  -521.4414993357616,  -3963.129255088519,   5291.935169868987,-0.02052900805079132,                   0,3,                   0,                   0,   161334953.7622025
               25200,  -97068712.61178082,   151059955.8907545,  -558.3254532335209,   -3950.30090065083,   5271.859521820933,-0.02045485018841104,                   0,3,                   0,                   0,   173180892.9654599
               27000,  -104168855.7683101,   160533174.0085759,  -595.0844516699876,  -3938.974500457009,   5254.319171622277,-0.02038986167117536,                   0,3,                   0,                   0,   184990748.8453767
               28800,  -111249769.8415447,   169976750.0704001,  -631.7334774196345,  -3928.898245348778,   5238.857509355138,-0.02033242203541307,                   0,3,                   0,                   0,   196768624.8611999
               30600,  -118313519.8436322,   179394095.2593658,   -668.284940721354,  -3919.873962691822,   5225.122039460935,-0.02028127403861906,                   0,3,                   0,                   0,   208517955.0821097
               32400,  -125361851.8025193,   188788058.0668698,  -704.7492404883237,  -3911.743507520602,   5212.836186283238,-0.02023542681785803,                   0,3,                   0,                   0,   220241643.1528218
               34200,  -132396255.6392151,   198161042.3753509,  -741.1351796528573,  -3904.379105602685,   5201.779816691239,-0.02019408856587545,                   0,3,                   0,                   0,   231942166.8415302
               36000,  -139418013.2204124,   207515095.9792609,  -777.4502780524078,  -3897.676369847228,   5191.775483235935,-0.02015661871050481,                   0,3,                   0,                   0,   243621657.9403426
