sys.exec.out.time {s},test.att_manager.perturbation.randomRates {--},test.att_manager.perturbation.prescribedAng[0] {rad},test.att_manager.perturbation.prescribedAng[1] {rad},test.att_manager.perturbation.prescribedAng[2] {rad},test.att_manager.perturbation.driftRate[0] {rad/s},test.att_manager.perturbation.driftRate[1] {rad/s},test.att_manager.perturbation.driftRate[2] {rad/s}
                   0,0,               0.005,              -0.005,                0.01,               0.001,               0.002,               0.002
                 0.1,0,0.005099999999999996,-0.004800000000000008,0.009820000000000008,               0.001,               0.002,              -0.002
                 0.2,0,0.005199999999999992,-0.004600000000000016,0.009620000000000016,               0.001,               0.002,              -0.002
                 0.3,0,0.005299999999999988,-0.004400000000000025,0.009420000000000024,               0.001,               0.002,              -0.002
                 0.4,0,0.005399999999999984,-0.004200000000000033,0.009220000000000032,               0.001,               0.002,              -0.002
                 0.5,0, 0.00549999999999998,-0.004000000000000041, 0.00902000000000004,               0.001,               0.002,              -0.002
                 0.6,0,0.005599999999999976,-0.003800000000000045,0.008820000000000048,               0.001,               0.002,              -0.002
                 0.7,0,0.005699999999999972,-0.003600000000000045,0.008620000000000056,               0.001,               0.002,              -0.002
                 0.8,0,0.005799999999999968,-0.003400000000000044,0.008420000000000065,               0.001,               0.002,              -0.002
                 0.9,0,0.005899999999999963,-0.003200000000000044,0.008220000000000073,               0.001,               0.002,              -0.002
                   1,0,0.005999999999999959,-0.003000000000000044,0.008020000000000081,               0.001,               0.002,              -0.002
                 1.1,0,0.006099999999999955,-0.002800000000000048,0.007820000000000089,               0.001,               0.002,              -0.002
                 1.2,0,0.006199999999999951,-0.002600000000000052,0.007620000000000089,               0.001,               0.002,              -0.002
                 1.3,0,0.006299999999999947,-0.002400000000000056,0.007420000000000089,               0.001,               0.002,              -0.002
                 1.4,0,0.006399999999999943,-0.00220000000000006,0.007220000000000089,               0.001,               0.002,              -0.002
                 1.5,0,0.006499999999999939,-0.002000000000000064,0.007020000000000089,               0.001,               0.002,              -0.002
                 1.6,0,0.006599999999999935,-0.001800000000000064,0.006820000000000088,               0.001,               0.002,              -0.002
                 1.7,0,0.006699999999999931,-0.001600000000000064,0.006620000000000088,               0.001,               0.002,              -0.002
                 1.8,0,0.006799999999999927,-0.001400000000000064,0.006420000000000088,               0.001,               0.002,              -0.002
                 1.9,0,0.006899999999999923,-0.001200000000000063,0.006220000000000088,               0.001,               0.002,              -0.002
                   2,0,0.006999999999999919,-0.001000000000000063,0.006020000000000088,               0.001,               0.002,              -0.002
                 2.1,0,0.007099999999999919,-0.0008000000000000624,0.005820000000000092,               0.001,               0.002,              -0.002
                 2.2,0,0.007199999999999919,-0.0006000000000000619,0.005620000000000095,               0.001,               0.002,              -0.002
                 2.3,0,0.007299999999999919,-0.0004000000000000622,  0.0054200000000001,               0.001,               0.002,              -0.002
                 2.4,0,0.007399999999999919,-0.0002000000000000618,0.005220000000000104,               0.001,               0.002,              -0.002
                 2.5,0,0.007499999999999919,-6.163350537401191e-17,0.005020000000000108,               0.001,               0.002,              -0.002
                 2.6,0,0.007599999999999919,0.0001999999999999385,0.004820000000000112,               0.001,               0.002,              -0.002
                 2.7,0, 0.00769999999999992,0.0003999999999999389,0.004620000000000115,               0.001,               0.002,              -0.002
                 2.8,0,0.007799999999999919,0.0005999999999999386, 0.00442000000000012,               0.001,               0.002,              -0.002
                 2.9,0,0.007899999999999916,0.0007999999999999391,0.004220000000000124,               0.001,               0.002,              -0.002
                   3,0,0.007999999999999912,0.0009999999999999395,0.004020000000000128,               0.001,               0.002,              -0.002
                 3.1,0,0.008099999999999908, 0.00119999999999994,0.003820000000000131,               0.001,               0.002,              -0.002
                 3.2,0,0.008199999999999904,0.001399999999999941,0.003620000000000135,               0.001,               0.002,              -0.002
                 3.3,0,0.008299999999999899, 0.00159999999999994, 0.00342000000000014,               0.001,               0.002,              -0.002
                 3.4,0,0.008399999999999895,0.001799999999999941,0.003220000000000144,               0.001,               0.002,              -0.002
                 3.5,0,0.008499999999999891, 0.00199999999999994,0.003020000000000148,               0.001,               0.002,              -0.002
                 3.6,0,0.008599999999999887,0.002199999999999936,0.002820000000000151,               0.001,               0.002,              -0.002
                 3.7,0,0.008699999999999883,0.002399999999999933,0.002620000000000155,               0.001,               0.002,              -0.002
                 3.8,0,0.008799999999999879,0.002599999999999928, 0.00242000000000016,               0.001,               0.002,              -0.002
                 3.9,0,0.008899999999999875,0.002799999999999924,0.002220000000000164,               0.001,               0.002,              -0.002
                   4,0,0.008999999999999871, 0.00299999999999992,0.002020000000000167,               0.001,               0.002,              -0.002
                 4.1,0, 0.00909999999999987,0.003199999999999916,0.001820000000000169,               0.001,               0.002,              -0.002
                 4.2,0,0.009199999999999871,0.003399999999999915,0.001620000000000167,               0.001,               0.002,              -0.002
                 4.3,0,0.009299999999999871,0.003599999999999911,0.001420000000000168,               0.001,               0.002,              -0.002
                 4.4,0,0.009399999999999872,0.003799999999999909,0.001220000000000166,               0.001,               0.002,              -0.002
                 4.5,0,0.009499999999999871,0.003999999999999906,0.001020000000000167,               0.001,               0.002,              -0.002
                 4.6,0,0.009599999999999871,0.004199999999999901,0.0008200000000001669,               0.001,               0.002,              -0.002
                 4.7,0,0.009699999999999872,0.004399999999999898,0.0006200000000001656,               0.001,               0.002,              -0.002
                 4.8,0,0.009799999999999871,0.004599999999999893,0.0004200000000001659,               0.001,               0.002,              -0.002
                 4.9,0,0.009899999999999872, 0.00479999999999989,0.0002200000000001645,               0.001,               0.002,              -0.002
                   5,0,0.009999999999999872,0.004999999999999886,2.000000000016529e-05,               0.001,               0.002,              -0.002
                 5.1,0,0.009814999999999876,0.005199999999999881,-0.000179999999999834,              -0.002,               0.002,              -0.002
                 5.2,0,0.009614999999999879,0.005399999999999878,-0.0003799999999998352,              -0.002,               0.002,              -0.002
                 5.3,0,0.009414999999999884,0.005599999999999873,-0.0005799999999998349,              -0.002,               0.002,              -0.002
                 5.4,0,0.009214999999999886, 0.00579999999999987,-0.0007799999999998363,              -0.002,               0.002,              -0.002
                 5.5,0,0.009014999999999891,0.005999999999999866,-0.0009799999999998358,              -0.002,               0.002,              -0.002
                 5.6,0,0.008814999999999896,0.006199999999999861,-0.001179999999999835,              -0.002,               0.002,              -0.002
                 5.7,0,0.008614999999999899,0.006399999999999858,-0.001379999999999837,              -0.002,               0.002,              -0.002
                 5.8,0,0.008414999999999903,0.006599999999999853,-0.001579999999999837,              -0.002,               0.002,              -0.002
                 5.9,0,0.008214999999999906, 0.00679999999999985,-0.001779999999999838,              -0.002,               0.002,              -0.002
                   6,0,0.008014999999999911,0.006999999999999846,-0.001979999999999837,              -0.002,               0.002,              -0.002
                 6.1,0,0.007814999999999916,0.007199999999999841,-0.002179999999999833,              -0.002,               0.002,              -0.002
                 6.2,0,0.007614999999999919,0.007399999999999838,-0.002379999999999831,              -0.002,               0.002,              -0.002
                 6.3,0,0.007414999999999923,0.007599999999999833,-0.002579999999999828,              -0.002,               0.002,              -0.002
                 6.4,0,0.007214999999999926,0.007799999999999831,-0.002779999999999826,              -0.002,               0.002,              -0.002
                 6.5,0,0.007014999999999931,0.007999999999999827,-0.002979999999999822,              -0.002,               0.002,              -0.002
                 6.6,0,0.006814999999999936,0.008199999999999822,-0.003179999999999818,              -0.002,               0.002,              -0.002
                 6.7,0,0.006614999999999939,0.008399999999999819,-0.003379999999999817,              -0.002,               0.002,              -0.002
                 6.8,0,0.006414999999999943,0.008599999999999814,-0.003579999999999813,              -0.002,               0.002,              -0.002
                 6.9,0,0.006214999999999946,0.008799999999999811,-0.003779999999999811,              -0.002,               0.002,              -0.002
                   7,0,0.006014999999999951,0.008999999999999807,-0.003979999999999807,              -0.002,               0.002,              -0.002
                 7.1,0,0.005814999999999956,0.009199999999999802,-0.004179999999999803,              -0.002,               0.002,              -0.002
                 7.2,0,0.005614999999999959,0.009399999999999799, -0.0043799999999998,              -0.002,               0.002,              -0.002
                 7.3,0,0.005414999999999963,0.009599999999999794,-0.004579999999999795,              -0.002,               0.002,              -0.002
                 7.4,0,0.005214999999999966,0.009799999999999792,-0.004779999999999792,              -0.002,               0.002,              -0.002
                 7.5,0,0.005014999999999971,0.009999999999999787,-0.004979999999999788,              -0.002,               0.002,              -0.002
                 7.6,0,0.004814999999999976,0.009819999999999791,-0.005179999999999783,              -0.002,              -0.002,              -0.002
                 7.7,0,0.004614999999999978,0.009619999999999794,-0.00537999999999978,              -0.002,              -0.002,              -0.002
                 7.8,0,0.004414999999999983,0.009419999999999798,-0.005579999999999775,              -0.002,              -0.002,              -0.002
                 7.9,0,0.004214999999999986,0.009219999999999801,-0.005779999999999772,              -0.002,              -0.002,              -0.002
                   8,0,0.004014999999999991,0.009019999999999806,-0.005979999999999768,              -0.002,              -0.002,              -0.002
                 8.1,0,0.003814999999999993,0.008819999999999811,-0.006179999999999763,              -0.002,              -0.002,              -0.002
   8.199999999999999,0,0.003614999999999993,0.008619999999999815,-0.006379999999999758,              -0.002,              -0.002,              -0.002
   8.300000000000001,0,0.003414999999999989,0.008419999999999817,-0.006579999999999757,              -0.002,              -0.002,              -0.002
                 8.4,0,0.003214999999999989,0.008219999999999821,-0.006779999999999752,              -0.002,              -0.002,              -0.002
                 8.5,0,0.003014999999999989,0.008019999999999826,-0.006979999999999748,              -0.002,              -0.002,              -0.002
                 8.6,0,0.002814999999999989,0.007819999999999831,-0.007179999999999743,              -0.002,              -0.002,              -0.002
   8.699999999999999,0,0.002614999999999989,0.007619999999999835,-0.007379999999999738,              -0.002,              -0.002,              -0.002
   8.800000000000001,0,0.002414999999999985,0.007419999999999836,-0.007579999999999737,              -0.002,              -0.002,              -0.002
                 8.9,0,0.002214999999999985,0.007219999999999841,-0.007779999999999732,              -0.002,              -0.002,              -0.002
                   9,0,0.002014999999999985,0.007019999999999846,-0.007979999999999729,              -0.002,              -0.002,              -0.002
                 9.1,0,0.001814999999999985, 0.00681999999999985,-0.008179999999999724,              -0.002,              -0.002,              -0.002
   9.199999999999999,0,0.001614999999999985,0.006619999999999855,-0.008379999999999719,              -0.002,              -0.002,              -0.002
   9.300000000000001,0,0.001414999999999982,0.006419999999999856,-0.008579999999999718,              -0.002,              -0.002,              -0.002
                 9.4,0,0.001214999999999983,0.006219999999999861,-0.008779999999999713,              -0.002,              -0.002,              -0.002
                 9.5,0,0.001014999999999983,0.006019999999999866,-0.008979999999999709,              -0.002,              -0.002,              -0.002
                 9.6,0,0.0008149999999999841, 0.00581999999999987,-0.009179999999999704,              -0.002,              -0.002,              -0.002
   9.699999999999999,0,0.0006149999999999855,0.005619999999999875,-0.009379999999999699,              -0.002,              -0.002,              -0.002
   9.800000000000001,0,0.000414999999999983,0.005419999999999876,-0.009579999999999698,              -0.002,              -0.002,              -0.002
                 9.9,0,0.0002149999999999838,0.005219999999999881,-0.009779999999999693,              -0.002,              -0.002,              -0.002
