sys.exec.out.time {s},vehicle.dyn_body.structure.state.trans.position[0] {m},vehicle.dyn_body.structure.state.trans.position[1] {m},vehicle.dyn_body.structure.state.trans.position[2] {m},vehicle.dyn_body.structure.state.trans.velocity[0] {m/s},vehicle.dyn_body.structure.state.trans.velocity[1] {m/s},vehicle.dyn_body.structure.state.trans.velocity[2] {m/s},apsides_predictor.apsides.time_to_next_apsis {s},apsides_predictor.apsides.next_apsis_type {--},apsides_predictor.apsides.apoapsis_altitude {m},apsides_predictor.apsides.periapsis_altitude {m},apsides_predictor.planet_rel_state.state.sphere_coords.altitude {m}
                   0,                   0,                   0,                   0,                   0,                   0,                   0,   17415.62749185241,0,   32921725.16129385,              421863,   421863.0000000009
                1800,  -1188241.743386113,   12366311.15593971,  -58.51377232608256,  -5841.981299389862,   3571.825282910331,-0.03537180973963423,   15614.34379509453,0,   32917299.51434933,    423659.913233202,   6045130.285608405
                3600,  -10879004.07837873,   15881224.87445115,  -108.2809826047154,  -4842.748626508972,   818.9365300463635,-0.02112465157325547,   13814.17037912877,0,   32917079.43848679,   424001.2360337516,   12871954.77281999
                5400,  -18672625.06841772,   16234008.86835447,  -138.1174025503937,  -3852.632904529312,  -292.1869653289828,-0.01270735707026677,   12014.02559592392,0,   32917362.71479577,   423750.0082701258,   18364740.17511021
                7200,  -24864724.12132057,   15134224.82926345,  -155.7396520601562,  -3054.287099435212,  -875.7512433515589,-0.007205149430709244,   10213.94759562934,0,   32917780.36499216,   423344.3884638986,   22730268.43273248
                9000,  -29746219.48027436,   13218722.73970721,  -164.9441845711589,  -2386.965255837884,  -1225.263379965496,-0.00320649890259553,   8413.926581373804,0,   32918210.09728009,   422920.4904040992,   26172933.70842852
               10800,  -33508370.10960681,   10798411.35704958,  -167.8019961285622,  -1804.471529456328,  -1447.822222727652,-8.213066218398642e-05,   6613.950108563407,0,   32918596.42418122,   422537.4587025149,    28827211.3900757
               12600,  -36275123.65674324,   8053729.273413364,  -165.5707960596589,   -1276.96460531493,  -1591.042518691193,0.002486357978123949,    4814.00700824928,0,   32918909.67989837,   422226.2196093854,   30780269.20302305
               14400,  -38126197.86373535,   5103865.072934041,  -159.0759722722993,  -784.2198416343631,  -1678.558172813837,0.004677855820313432,   3014.087341605422,0,   32919132.76934556,   422004.3849105155,   32088165.16504725
               16200,  -39110167.70973139,   2036965.899787167,  -148.8908714350274,   -311.316957190935,   -1722.45369018902,0.006600836149087577,   1214.182001856749,0,   32919255.91894456,   421881.9591649538,   32785040.19979293
               18000,  -39251504.85024166,  -1074166.257457924,  -135.4321774033667,   153.9442624618511,   -1728.19447931831, 0.00832432890036733,   16828.52167149474,1,   32919274.37529582,    421863.792293245,   32888063.04756697
               19800,  -38553833.32532385,  -4162173.489040242,  -119.0160706749157,    622.778624388999,  -1696.523483844195,0.009892588446549857,   15028.61920979695,1,   32919187.45529125,     421950.58101252,   32399714.31030194
               21600,  -37000394.00973803,  -7157071.948167539,  -99.89619967967251,   1106.858124953616,   -1623.70522977623, 0.01133135997158347,   13228.70519568645,1,   32918998.41828855,   422139.0035210317,   31308104.99568171
               23400,  -34551855.14357215,  -9977323.560264224,  -78.29601845122474,   1619.888372114106,  -1500.279670132849, 0.01264788851247111,   11428.77062997953,1,    32918715.0960117,   422421.0587433269,   29585423.43684673
               25200,  -31140814.08467811,  -12516779.99024913,  -54.44804908264399,   2179.804867054521,  -1307.462852732263, 0.01382234184451664,   9628.805692748982,1,   32918351.61747118,   422782.2438101294,   27184045.33642968
               27000,  -26661258.48841619,  -14621083.16680585,  -28.66364729719356,    2812.33180017765,  -1008.214119080626, 0.01477912586179546,   7828.799176733563,1,   32917932.33508967,   423197.3522094321,   24029078.87317095
               28800,  -20949646.47533586,  -16036853.68361202,  -1.500796686503344,   3556.859343427589,  -523.0999967013129, 0.01529289114767844,    6028.73761781326,1,   32917501.35820048,   423620.0725086527,   20004970.54083254
               30600,  -13754509.46961079,  -16279352.21953324,   25.70839190372872,   4471.471524096349,   348.4724503628908,  0.0146084375507055,   4228.604292154875,1,   32917150.37005893,   423951.9671047516,   14933921.54529064
               32400,  -4737890.503423451,  -14184080.07418354,   48.46896685739835,   5553.950970754153,   2274.869665439499,0.009080014686737671,   2428.384462008677,1,   32917133.50434422,   423916.5812516864,   8576318.321930984
               34200,   5296765.485834857,  -5821350.096051756,   38.41545611049374,   4328.576064520462,    8080.69089950941,-0.03375262593811029,   628.2536199447292,1,   32918488.05612869,   422459.5288189007,   1492304.001253291
               36000,   2444425.366411136,   9536417.309698619,  -47.61408771584696,  -5697.883755105624,   5589.036655094806,-0.06069307530727056,   16242.47421617484,0,    32917100.7736389,   423121.9286972703,   3466580.897377292
