sys.exec.out.time {s},impact_point.impact_point.time_to_impact {s},impact_point.impact_point.time_of_impact {s},impact_point.impact_point.surface_range {m},impact_point.impact_point.impact_type {--},impact_point.impact_point.ellip_coords.longitude {rad},impact_point.impact_point.ellip_coords.latitude {rad},impact_point.impact_point.ellip_coords.altitude {m}
                   0,   29.57556623070175,   29.57556623070175,   88862.29258453434,0, 0.01390848956847179,                   0,                   0
                   5,   24.57556623070252,   29.57556623070252,   88862.29258453434,0, 0.01390848956847199,                   0,                   0
                  10,   19.57556623070292,   29.57556623070292,   88862.29258453434,0, 0.01390848956847235,                   0,                   0
                  15,   14.57556623070316,   29.57556623070316,   88862.29258448334,0, 0.01390848956847294,                   0,-9.313225746154785e-10
                  20,   9.575566230704222,   29.57556623070422,   88862.29258448334,0, 0.01390848956847329,                   0,-9.313225746154785e-10
                  25,   4.575566230704537,   29.57556623070454,   88862.29258448334,0, 0.01390848956847351,                   0,-9.313225746154785e-10
                  30,                   0,                  30,   90162.51320848519,4, 0.01411199664058146,                   0,                   0
                  35,                   0,                  30,   90162.51320848519,4, 0.01411199664058146,                   0,                   0
                  40,                   0,                  30,   90162.51320848519,4, 0.01411199664058146,                   0,                   0
                  45,                   0,                  30,   90162.51320848519,4, 0.01411199664058146,                   0,                   0
                  50,                   0,                  30,   90162.51320848519,4, 0.01411199664058146,                   0,                   0
                  55,                   0,                  30,   90162.51320848519,4, 0.01411199664058146,                   0,                   0
                  60,                   0,                  30,   90162.51320848519,4, 0.01411199664058146,                   0,                   0
                  65,                   0,                  30,   90162.51320848519,4, 0.01411199664058146,                   0,                   0
                  70,                   0,                  30,   90162.51320848519,4, 0.01411199664058146,                   0,                   0
                  75,                   0,                  30,   90162.51320848519,4, 0.01411199664058146,                   0,                   0
                  80,                   0,                  30,   90162.51320848519,4, 0.01411199664058146,                   0,                   0
                  85,                   0,                  30,   90162.51320848519,4, 0.01411199664058146,                   0,                   0
                  90,                   0,                  30,   90162.51320848519,4, 0.01411199664058146,                   0,                   0
                  95,                   0,                  30,   90162.51320848519,4, 0.01411199664058146,                   0,                   0
                 100,                   0,                  30,   90162.51320848519,4, 0.01411199664058146,                   0,                   0
                 105,                   0,                  30,   90162.51320848519,4, 0.01411199664058146,                   0,                   0
                 110,                   0,                  30,   90162.51320848519,4, 0.01411199664058146,                   0,                   0
                 115,                   0,                  30,   90162.51320848519,4, 0.01411199664058146,                   0,                   0
                 120,                   0,                  30,   90162.51320848519,4, 0.01411199664058146,                   0,                   0
                 125,                   0,                  30,   90162.51320848519,4, 0.01411199664058146,                   0,                   0
                 130,                   0,                  30,   90162.51320848519,4, 0.01411199664058146,                   0,                   0
                 135,                   0,                  30,   90162.51320848519,4, 0.01411199664058146,                   0,                   0
                 140,                   0,                  30,   90162.51320848519,4, 0.01411199664058146,                   0,                   0
                 145,                   0,                  30,   90162.51320848519,4, 0.01411199664058146,                   0,                   0
                 150,                   0,                  30,   90162.51320848519,4, 0.01411199664058146,                   0,                   0
                 155,                   0,                  30,   90162.51320848519,4, 0.01411199664058146,                   0,                   0
                 160,                   0,                  30,   90162.51320848519,4, 0.01411199664058146,                   0,                   0
                 165,                   0,                  30,   90162.51320848519,4, 0.01411199664058146,                   0,                   0
                 170,                   0,                  30,   90162.51320848519,4, 0.01411199664058146,                   0,                   0
                 175,                   0,                  30,   90162.51320848519,4, 0.01411199664058146,                   0,                   0
                 180,                   0,                  30,   90162.51320848519,4, 0.01411199664058146,                   0,                   0
                 185,                   0,                  30,   90162.51320848519,4, 0.01411199664058146,                   0,                   0
                 190,                   0,                  30,   90162.51320848519,4, 0.01411199664058146,                   0,                   0
                 195,                   0,                  30,   90162.51320848519,4, 0.01411199664058146,                   0,                   0
                 200,                   0,                  30,   90162.51320848519,4, 0.01411199664058146,                   0,                   0
                 205,                   0,                  30,   90162.51320848519,4, 0.01411199664058146,                   0,                   0
                 210,                   0,                  30,   90162.51320848519,4, 0.01411199664058146,                   0,                   0
                 215,                   0,                  30,   90162.51320848519,4, 0.01411199664058146,                   0,                   0
