sys.exec.out.time {s},subs_verif.subs.enabled {--},subs_verif.subs.active {--},subs_verif.subs.num_subscriptions {--},subs_verif.subs.sub_pending {--}
                   0,1,0,0,0
                   1,1,0,0,1
                   2,1,0,0,2
                   3,1,0,0,3
                   4,1,1,3,0
