sys.exec.out.time {s},fd_obj.time {1},fd_obj.in_vec3[0] {1},fd_obj.in_vec3[1] {1},fd_obj.in_vec3[2] {1},fd_obj.out_vec3_deriv1[0] {1},fd_obj.out_vec3_deriv1[1] {1},fd_obj.out_vec3_deriv1[2] {1},fd_obj.out_vec3_deriv2[0] {1},fd_obj.out_vec3_deriv2[1] {1},fd_obj.out_vec3_deriv2[2] {1},fd_obj.error_deriv1_vec[0] {1},fd_obj.error_deriv1_vec[1] {1},fd_obj.error_deriv1_vec[2] {1},fd_obj.error_deriv2_vec[0] {1},fd_obj.error_deriv2_vec[1] {1},fd_obj.error_deriv2_vec[2] {1}
                   0,                   3,          -196597.82,          -293851.82,          -391105.82,          -219409.88,          -327969.88,          -436529.88,                   0,                   0,                   0, -0.1677477871963954, -0.1680238762547124,  -0.168162575754908,                  -1,                  -1,                  -1
                   1,                   4,  -624587.6800000001,  -934091.6800000001,         -1243595.68,          -562829.84,          -842049.84,         -1121269.84,          -417159.96,          -624539.96,  -831919.9599999997, -0.1020552336300329, -0.1021983281320783, -0.1022701383045577, -0.1151666425003939, -0.1153623943524156, -0.1154605200342165
                   2,                   5,          -1528969.5,          -2287719.5,          -3046469.5,          -1142577.8,          -1710321.8,          -2278065.8,  -683103.9599999996,         -1023155.96,  -1363207.960000001,-0.06826445102943875,-0.06834551537436379,-0.06838616837971496,-0.07363168286583627,-0.07373167024195833,-0.07378176583181814
                   3,                   6,         -3175687.28,         -4753351.28,         -6331015.28,         -2017885.76,         -3021633.76,         -4025381.76,         -1008279.96,  -1510619.960000001,         -2012959.96,-0.04876913373920466,-0.04881894197613577,-0.04884390841095165, -0.0510984645276562, -0.0511562362105096,-0.05118517106693902
                   4,                   7,         -5889917.02,         -8818451.02,        -11746985.02,         -3247985.72,  -4864833.719999999,  -6481681.720000001,         -1392687.96,  -2086931.959999997,  -2781175.959999997,-0.03654500529861062,-0.03657763473653978,-0.03659398459222601,-0.03752356729648858,-0.03755990727733546,-0.03757810367584074
                   5,                   8,        -10056066.72,        -15059330.72,        -20062594.72,  -4892109.680000002,  -7328769.680000003,         -9765429.68,  -1836327.960000003,  -2752091.960000012,  -3667855.960000005,-0.02838976683958555,-0.02841224521262448,-0.02842350563345509, -0.0287185612521261,-0.02874288562054737,-0.02875506326320338
                   6,                   9,        -16117776.38,        -24141150.38,        -32164524.38,  -7009489.639999999,        -10502289.64,        -13995089.64,  -2339199.959999999,  -3506099.959999987,  -4672999.960000009,-0.02268320838745998, -0.0226993270911172,-0.02270740000043729,-0.02268480954528179,-0.02270188209763792,-0.02271042801401872
                   7,                  10,           -24577918,           -36817918,           -49057918,  -9659357.599999998,         -14474241.6,         -19289125.6,  -2901303.959999997,  -4348955.960000012,   -5796607.95999999,-0.01853646617277836,-0.01854840673886466,-0.01855438607117276,-0.01837055106740589,-0.01838299041515608,-0.01838921640851773
                   8,                  11,        -35998595.58,        -53932489.58,        -71866383.58,        -12900945.56,        -19333473.56,        -25766001.56,  -3522639.959999999,  -5280659.959999992,  -7038679.959999993,-0.01542960576792526,-0.01543869204051227,-0.01544324144195034,-0.01517947220950551,-0.01518881405648994, -0.0151934892932221
                   9,                  12,        -51001145.12,        -76416569.12,       -101831993.12,        -16793485.52,  -25168833.52000001,  -33544181.52000001,  -4203207.960000018,  -6301211.960000034,  -8399215.960000034, -0.0130422986239827,-0.01304937037568236, -0.0130529107238878,-0.01275301221328337,-0.01276020523593528,-0.01276380479090721
                  10,                  13,        -70266134.62,       -105290708.62,       -140315282.62,  -21396209.48000001,        -32069169.48,        -42742129.48,  -4943007.960000008,  -7410611.959999979,  -9878215.959999979,-0.01116856516530426,-0.01117417536392091,-0.01117698373973919,-0.01086505852647627,-0.01087071431858625,-0.01087354442329963
                  11,                  14,        -94533364.08,       -141664308.08,       -188795252.08,  -26768349.43999999,        -40123329.44,        -53478309.44,  -5742039.959999964,  -8608859.960000023,  -11475679.96000002,-0.009671118972498165,-0.009675643498661825,-0.00967790821623371,-0.009367296922526264,-0.009371824089796008,-0.009374089314800379
                  12,                  15,        -124601865.5,        -186735615.5,        -248869365.5,  -32969137.40000001,  -49420161.39999998,  -65871185.39999998,  -6600303.960000046,  -9895955.959999919,  -13191607.95999992,-0.008455625652388835,-0.008459327104335912,-0.008461179704884858,-0.008159168143287513,-0.008162848069296196,-0.008164689277354439
