sys.exec.out.time {s},fd_obj.time {1},fd_obj.in_mat3x3[0][0] {1},fd_obj.in_mat3x3[0][1] {1},fd_obj.in_mat3x3[0][2] {1},fd_obj.in_mat3x3[1][0] {1},fd_obj.in_mat3x3[1][1] {1},fd_obj.in_mat3x3[1][2] {1},fd_obj.in_mat3x3[2][0] {1},fd_obj.in_mat3x3[2][1] {1},fd_obj.in_mat3x3[2][2] {1},fd_obj.out_mat3x3_deriv1[0][0] {1},fd_obj.out_mat3x3_deriv1[0][1] {1},fd_obj.out_mat3x3_deriv1[0][2] {1},fd_obj.out_mat3x3_deriv1[1][0] {1},fd_obj.out_mat3x3_deriv1[1][1] {1},fd_obj.out_mat3x3_deriv1[1][2] {1},fd_obj.out_mat3x3_deriv1[2][0] {1},fd_obj.out_mat3x3_deriv1[2][1] {1},fd_obj.out_mat3x3_deriv1[2][2] {1},fd_obj.error_deriv1_mx[0][0] {1},fd_obj.error_deriv1_mx[0][1] {1},fd_obj.error_deriv1_mx[0][2] {1},fd_obj.error_deriv1_mx[1][0] {1},fd_obj.error_deriv1_mx[1][1] {1},fd_obj.error_deriv1_mx[1][2] {1},fd_obj.error_deriv1_mx[2][0] {1},fd_obj.error_deriv1_mx[2][1] {1},fd_obj.error_deriv1_mx[2][2] {1}
                   0,                   3,          -196597.82,          -293851.82,          -391105.82,          -296551.64,          -393805.64,          -491059.64,          -396505.46,          -493759.46,          -591013.46,          -219409.88,          -327969.88,          -436529.88,          -330469.76,          -439029.76,          -547589.76,          -441529.64,          -550089.64,  -658649.6399999999, -0.1677477871963954, -0.1680238762547124,  -0.168162575754908, -0.1673848220292898, -0.1676810032711143, -0.1678596463586584, -0.1672043355129047, -0.1674764438766853, -0.1676587537780467
                   1,                   4,  -624587.6800000001,  -934091.6800000001,         -1243595.68,          -940491.36,         -1249995.36,         -1559499.36,         -1256395.04,         -1565899.04,         -1875403.04,          -562829.84,          -842049.84,         -1121269.84,  -846649.6800000001,         -1125869.68,         -1405089.68,         -1130469.52,         -1409689.52,         -1688909.52, -0.1020552336300329, -0.1021983281320783, -0.1022701383045577,  -0.101890133472553, -0.1020381403918987, -0.1021272997685081, -0.1018079119818257,  -0.101942428176138, -0.1020324439182041
                   2,                   5,          -1528969.5,          -2287719.5,          -3046469.5,            -2300219,            -3058969,            -3817719,          -3071468.5,          -3830218.5,          -4588968.5,          -1142577.8,          -1710321.8,          -2278065.8,          -1717621.6,          -2285365.6,          -2853109.6,          -2292665.4,          -2860409.4,          -3428153.4,-0.06826445102943875,-0.06834551537436379,-0.06838616837971496,-0.06817593936405869,-0.06825860644549392,-0.06830836639356397,-0.06813182221571169,-0.06820663332800615,-0.06825665847323671
                   3,                   6,         -3175687.28,         -4753351.28,         -6331015.28,         -4774950.56,         -6352614.56,         -7930278.56,         -6374213.84,         -7951877.84,         -9529541.84,         -2017885.76,         -3021633.76,         -4025381.76,         -3032233.52,         -4035981.52,         -5039729.52,         -4046581.28,  -5050329.279999999,  -6054077.279999999,-0.04876913373920466,-0.04881894197613577,-0.04884390841095165,-0.04871628125200077,-0.04876671993408865, -0.0487970645932712,-0.04868992340698351,-0.04873547251958274,-0.04876591538548053
                   4,                   7,         -5889917.02,         -8818451.02,        -11746985.02,  -8852750.039999999,        -11781284.04,        -14709818.04,        -11815583.06,        -14744117.06,        -17672651.06,         -3247985.72,  -4864833.719999999,  -6481681.720000001,  -4879333.439999999,  -6496181.439999999,  -8113029.439999999,         -6510681.16,         -8127529.16,  -9744377.159999996,-0.03654500529861062,-0.03657763473653978,-0.03659398459222601,-0.03651095515059846,-0.03654386709194882,-0.03656365988978053,-0.03649396764186145,-0.03652365391557824,-0.03654348770548378
                   5,                   8,        -10056066.72,        -15059330.72,        -20062594.72,        -15110529.44,        -20113793.44,        -25117057.44,        -20164992.16,        -25168256.16,        -30171520.16,  -4892109.680000002,  -7328769.680000003,         -9765429.68,  -7347769.360000001,  -9784429.360000005,        -12221089.36,  -9803429.040000001,        -12240089.04,        -14676749.04,-0.02838976683958555,-0.02841224521262448,-0.02842350563345509,-0.02836655716996099,-0.02838917481742546,-0.02840277287384824,-0.02835497465991674,-0.02837536086305231,-0.02838897748219253
                   6,                   9,        -16117776.38,        -24141150.38,        -32164524.38,        -24214048.76,        -32237422.76,        -40260796.76,        -32310321.14,        -40333695.14,        -48357069.14,  -7009489.639999999,        -10502289.64,        -13995089.64,        -10526389.28,        -14019189.28,        -17511989.28,        -14043288.92,        -17536088.92,  -21028888.92000001,-0.02268320838745998, -0.0226993270911172,-0.02270740000043729,-0.02266668378004432,-0.02268287631230341,-0.02269260932285944,-0.02265843556973171,-0.02267302374513753,-0.02268276562274471
                   7,                  10,           -24577918,           -36817918,           -49057918,           -36917916,           -49157916,           -61397916,           -49257914,           -61497914,           -73737914,  -9659357.599999998,         -14474241.6,         -19289125.6,         -14504041.2,         -19318925.2,         -24133809.2,         -19348724.8,         -24163608.8,         -28978492.8,-0.01853646617277836,-0.01854840673886466,-0.01855438607117276,-0.01852428643386006,-0.01853626841319779,-0.01854346925430318,-0.01851820589657548, -0.0185289972918047,-0.01853620249427523
                   8,                  11,        -35998595.58,        -53932489.58,        -71866383.58,        -54065587.16,        -71999481.16,        -89933375.16,  -72132578.73999999,  -90066472.73999999,       -108000366.74,        -12900945.56,        -19333473.56,        -25766001.56,        -19369573.12,        -25802101.12,  -32234629.12000001,  -25838200.67999998,  -32270728.67999998,  -38703256.67999998,-0.01542960576792526,-0.01543869204051227,-0.01544324144195034,-0.01542037155659875,-0.01542948212596592, -0.0154349565250901,-0.01541576087436628,-0.01542396436079053,-0.01542944091242005
                   9,                  12,        -51001145.12,        -76416569.12,       -101831993.12,  -76589366.23999999,       -102004790.24,       -127420214.24,       -102177587.36,       -127593011.36,       -153008435.36,        -16793485.52,  -25168833.52000001,  -33544181.52000001,  -25211833.03999999,  -33587181.03999999,  -41962529.03999999,        -33630180.56,        -42005528.56,  -50380876.56000003, -0.0130422986239827,-0.01304937037568236, -0.0130529107238878,-0.01303513161277016,-0.01304221814203925,-0.01304647580579977,-0.01303155267244064,-0.01303793262367469,-0.01304219131494469
                  10,                  13,        -70266134.62,       -105290708.62,       -140315282.62,       -105510405.24,       -140534979.24,       -175559553.24,       -140754675.86,       -175779249.86,       -210803823.86,  -21396209.48000001,        -32069169.48,        -42742129.48,  -32119668.95999999,  -42792628.96000002,  -53465588.96000002,  -42843128.44000002,  -53516088.44000002,  -64189048.43999999,-0.01116856516530426,-0.01117417536392091,-0.01117698373973919,-0.01116289151777202,-0.01116851096895946,-0.01117188684629436,-0.01116005802731584,-0.01116511658586021,-0.01116849290362872
                  11,                  14,        -94533364.08,       -141664308.08,       -188795252.08,       -141938704.16,       -189069648.16,       -236200592.16,       -189344044.24,       -236474988.24,       -283605932.24,  -26768349.43999999,        -40123329.44,        -53478309.44,  -40181928.88000002,  -53536908.87999999,  -66891888.87999999,  -53595508.31999999,  -66950488.31999999,  -80305468.31999999,-0.009671118972498165,-0.009675643498661825,-0.00967790821623371,-0.009666550948299095,-0.009671081404142265,-0.009673802827089944,-0.009664269426628277,-0.009668347327445492,-0.00967106888142155
                  12,                  15,        -124601865.5,        -186735615.5,        -248869365.5,          -187073111,          -249206861,          -311340611,        -249544356.5,        -311678106.5,        -373811856.5,  -32969137.40000001,  -49420161.39999998,  -65871185.39999998,         -49487460.8,  -65938484.80000001,  -82389508.80000001,  -66005784.19999999,  -82456808.19999999,  -98907832.19999999,-0.008455625652388835,-0.008459327104335912,-0.008461179704884858,-0.008451893628265698,-0.008455598950729816,-0.008457824548455393,-0.008450029514203655,-0.008453364483196397,-0.008455590050214658
