0,  -0,  0,  287.81,  1.219,  101000
50,  -0.66,  1.15,  288.99,  1.211,  100500
100,  -1.42,  2.44,  289.51,  1.202,  99960
150,  -2.25,  3.83,  288.26,  1.201,  99360
200,  -2.99,  5.11,  289.06,  1.19,  98750
250,  -3.45,  5.96,  289.15,  1.182,  98140
300,  -3.56,  6.27,  287.29,  1.184,  97560
350,  -3.43,  6.23,  287.54,  1.176,  97010
400,  -3.27,  6.16,  288.81,  1.164,  96460
450,  -3.18,  6.24,  289.12,  1.156,  95900
500,  -3.16,  6.39,  290.18,  1.145,  95370
550,  -3.19,  6.5,  290.26,  1.138,  94770
600,  -3.28,  6.51,  290.64,  1.129,  94240
650,  -3.39,  6.46,  290.8,  1.122,  93710
700,  -3.44,  6.41,  289.59,  1.12,  93170
750,  -3.36,  6.4,  288.47,  1.118,  92630
800,  -3.12,  6.38,  288.75,  1.111,  92090
850,  -2.79,  6.29,  288.06,  1.107,  91540
900,  -2.46,  6.14,  289.19,  1.096,  90980
950,  -2.13,  5.9,  288.41,  1.092,  90460
1000,  -1.74,  5.58,  287.6,  1.089,  89950
1050,  -1.14,  5.16,  287.02,  1.085,  89420
1100,  -0.29,  4.65,  287.39,  1.077,  88880
1150,  0.75,  4.07,  287.9,  1.069,  88350
1200,  1.77,  3.48,  288.66,  1.059,  87810
1250,  2.61,  2.87,  288.68,  1.053,  87270
1300,  3.22,  2.24,  288.1,  1.049,  86770
1350,  3.68,  1.57,  286.86,  1.047,  86260
1400,  4.09,  0.92,  287,  1.041,  85740
1450,  4.48,  0.37,  285.99,  1.038,  85250
1500,  4.8,  -0.05,  286.48,  1.03,  84750
1550,  4.99,  -0.36,  285.87,  1.027,  84250
1600,  5.05,  -0.59,  285.36,  1.022,  83730
1650,  4.98,  -0.73,  284.83,  1.018,  83250
1700,  4.79,  -0.84,  284.39,  1.014,  82750
1750,  4.51,  -0.98,  284.09,  1.009,  82260
1800,  4.24,  -1.22,  283.63,  1.005,  81780
1850,  4.1,  -1.53,  282.84,  1.001,  81300
1900,  4.13,  -1.85,  283.38,  0.9935,  80810
1950,  4.27,  -2.13,  283.17,  0.9885,  80350
2000,  4.43,  -2.39,  283.89,  0.9802,  79870
2050,  4.58,  -2.62,  284.03,  0.9738,  79390
2100,  4.74,  -2.75,  284.57,  0.9661,  78910
2150,  4.97,  -2.68,  284.17,  0.9616,  78430
2200,  5.26,  -2.38,  283.45,  0.9582,  77960
2250,  5.53,  -1.98,  283.71,  0.9518,  77500
2300,  5.79,  -1.68,  284.22,  0.9447,  77060
2350,  6.09,  -1.59,  283.73,  0.9407,  76600
2400,  6.51,  -1.71,  283.98,  0.9345,  76150
2450,  7.02,  -1.9,  284.09,  0.9287,  75700
2500,  7.51,  -2.11,  282.92,  0.9269,  75260
2550,  7.86,  -2.34,  282.39,  0.923,  74800
2600,  8.09,  -2.63,  282.4,  0.9175,  74360
2650,  8.28,  -2.97,  282.15,  0.9128,  73900
2700,  8.5,  -3.26,  282.32,  0.9069,  73470
2750,  8.74,  -3.42,  282.07,  0.9023,  73040
2800,  8.97,  -3.45,  282.09,  0.8969,  72580
2850,  9.18,  -3.42,  281.53,  0.8932,  72140
2900,  9.39,  -3.39,  281.5,  0.888,  71710
2950,  9.64,  -3.39,  281.75,  0.8822,  71290
3000,  9.93,  -3.39,  281.54,  0.8777,  70860
3050,  10.25,  -3.37,  281.26,  0.8732,  70430
3100,  10.58,  -3.34,  280.76,  0.8694,  69990
3150,  10.91,  -3.33,  280.03,  0.8662,  69570
3200,  11.23,  -3.36,  279.65,  0.8621,  69140
3250,  11.56,  -3.41,  279.63,  0.8571,  68740
3300,  11.94,  -3.43,  279.34,  0.8529,  68330
3350,  12.37,  -3.36,  278.82,  0.8492,  67920
3400,  12.79,  -3.16,  278.68,  0.8447,  67530
3450,  13.11,  -2.85,  278.37,  0.8404,  67110
3500,  13.25,  -2.55,  278.17,  0.8361,  66740
3550,  13.18,  -2.4,  277.82,  0.8321,  66340
3600,  12.98,  -2.44,  277.57,  0.8278,  65970
3650,  12.76,  -2.54,  277.33,  0.8234,  65570
3700,  12.64,  -2.55,  276.98,  0.8193,  65180
3750,  12.67,  -2.38,  276.98,  0.8144,  64780
3800,  12.83,  -2.13,  276.39,  0.811,  64370
3850,  13.06,  -1.94,  276.58,  0.8058,  63990
3900,  13.25,  -1.88,  276.26,  0.8018,  63590
3950,  13.29,  -1.84,  275.96,  0.7978,  63210
4000,  13.19,  -1.68,  275.67,  0.7938,  62830
4050,  13.02,  -1.37,  275.34,  0.7899,  62440
4100,  12.95,  -1.04,  275.16,  0.7856,  62050
4150,  13.11,  -0.8,  274.99,  0.7813,  61680
4200,  13.47,  -0.65,  274.41,  0.778,  61280
4250,  13.88,  -0.49,  273.95,  0.7743,  60910
4300,  14.18,  -0.23,  273.59,  0.7705,  60540
4350,  14.33,  0.11,  273.37,  0.7664,  60160
4400,  14.39,  0.46,  273.11,  0.7624,  59800
4450,  14.48,  0.76,  272.7,  0.7587,  59430
4500,  14.68,  1.04,  272.28,  0.7551,  59040
4550,  15.01,  1.33,  272.11,  0.7509,  58660
4600,  15.44,  1.64,  272.14,  0.7464,  58310
4650,  15.9,  1.95,  271.92,  0.7424,  57920
4700,  16.32,  2.19,  271.61,  0.7386,  57570
4750,  16.64,  2.25,  271.29,  0.7349,  57220
4800,  16.91,  2.01,  270.68,  0.7317,  56840
4850,  17.22,  1.41,  270.58,  0.7275,  56480
4900,  17.62,  0.52,  270.05,  0.7243,  56120
4950,  18.09,  -0.44,  269.76,  0.7206,  55760
5000,  18.53,  -1.19,  269.67,  0.7165,  55420
5050,  18.86,  -1.59,  269.4,  0.7127,  55070
5100,  19.03,  -1.67,  268.97,  0.7093,  54740
5150,  19.03,  -1.56,  268.67,  0.7057,  54390
5200,  18.92,  -1.43,  268.56,  0.7017,  54070
5250,  18.78,  -1.4,  268.27,  0.698,  53740
5300,  18.73,  -1.48,  267.75,  0.6947,  53410
5350,  18.85,  -1.65,  267.35,  0.6912,  53080
5400,  19.17,  -1.85,  267.21,  0.6874,  52750
5450,  19.62,  -1.98,  266.93,  0.6838,  52420
5500,  20.1,  -1.99,  266.67,  0.6802,  52090
5550,  20.52,  -1.85,  266.44,  0.6766,  51760
5600,  20.81,  -1.67,  266.15,  0.6731,  51430
5650,  20.96,  -1.55,  265.63,  0.6701,  51120
5700,  21.03,  -1.62,  264.97,  0.6674,  50790
5750,  21.12,  -1.9,  264.59,  0.664,  50460
5800,  21.27,  -2.35,  263.78,  0.6615,  50150
5850,  21.51,  -2.88,  263.59,  0.6579,  49830
5900,  21.84,  -3.38,  263.51,  0.654,  49520
5950,  22.27,  -3.77,  263.34,  0.6504,  49210
6000,  22.86,  -4,  263.1,  0.6469,  48910
6050,  23.56,  -4.1,  262.78,  0.6436,  48580
6100,  24.25,  -4.21,  262.88,  0.6396,  48290
6150,  24.78,  -4.44,  262.64,  0.6361,  47990
6200,  25.16,  -4.73,  262.4,  0.6327,  47690
6250,  25.54,  -4.85,  262.26,  0.6292,  47390
6300,  26.12,  -4.54,  261.93,  0.626,  47080
6350,  26.92,  -3.69,  261.76,  0.6225,  46790
6400,  27.72,  -2.49,  261.8,  0.6187,  46500
6450,  28.24,  -1.25,  261.4,  0.6157,  46230
6500,  28.4,  -0.22,  261.35,  0.612,  45940
6550,  28.4,  0.46,  260.95,  0.6089,  45660
6600,  28.52,  0.78,  260.72,  0.6056,  45360
6650,  28.86,  0.79,  260.33,  0.6025,  45090
6700,  29.3,  0.63,  260.24,  0.599,  44800
6750,  29.69,  0.43,  260.06,  0.5956,  44530
6800,  30,  0.25,  259.72,  0.5924,  44220
6850,  30.4,  0.05,  259.48,  0.5892,  43940
6900,  31.01,  -0.26,  259.36,  0.5857,  43650
6950,  31.78,  -0.64,  259.2,  0.5824,  43390
7000,  32.5,  -0.94,  258.97,  0.5791,  43110
7050,  33.04,  -1.03,  258.22,  0.5766,  42820
7100,  33.43,  -0.88,  257.78,  0.5738,  42530
7150,  33.79,  -0.59,  257.64,  0.5704,  42230
7200,  34.19,  -0.25,  257.15,  0.5676,  41950
7250,  34.5,  0.13,  256.75,  0.5647,  41670
7300,  34.58,  0.61,  256.49,  0.5616,  41400
7350,  34.39,  1.2,  256.2,  0.5585,  41140
7400,  34.05,  1.78,  255.88,  0.5556,  40850
7450,  33.76,  2.16,  255.61,  0.5526,  40590
7500,  33.69,  2.26,  255.24,  0.5496,  40320
7550,  33.86,  2.08,  255.03,  0.5465,  40060
7600,  34.22,  1.73,  255.11,  0.543,  39810
