sys.exec.out.time {s},ventset_obj.root_body.mass.composite_properties.mass {kg},ventset_obj.tank[0].dynamic_properties.consumable_mass {kg},ventset_obj.tank[1].dynamic_properties.consumable_mass {kg},ventset_obj.set_2_tanks.force[0] {N},ventset_obj.set_2_tanks.force[1] {N},ventset_obj.set_2_tanks.force[2] {N},ventset_obj.set_2_tanks.torque[0] {N*m},ventset_obj.set_2_tanks.torque[1] {N*m},ventset_obj.set_2_tanks.torque[2] {N*m}
                   0,                   5,                   1,                   1,                   0,                   0,                   0,                   0,                   0,                   0
                   1,                   5,                   1,                   1,                   0,                   0,                   0,                   0,                   0,                   0
                   2,                   5,                   1,                   1,                   0,                   0,                   0,                   0,                   0,                   0
