sys.exec.out.time {s},test_object.var {--}
                   0,                   2
                 0.1,   1.840436845658965
                 0.2,   1.678622325850054
                 0.3,   1.518770070276081
                 0.4,   1.365191927524129
                 0.5,   1.222182540694798
                 0.6,   1.093900966300059
                 0.7,  0.9842525624252607
                 0.8,  0.8967744410976217
                 0.9,  0.8345277580977377
                   1,                 0.8
                 1.1,  0.7950202244739319
                 1.2,  0.8206899197940094
                 1.3,  0.8773317795226563
                 1.4,  0.9644582472000671
                 1.5,   1.080761184457488
                 1.6,   1.224123466973935
                 1.7,   1.391652730349007
                 1.8,   1.579736887650071
                 1.9,   1.784120438244481
                   2,                   2
                 2.1,   1.777863059642872
                 2.2,   1.555015528100075
                 2.3,   1.337173870380262
                 2.4,    1.13007782660714
                 2.5,  0.9393398282201788
                 2.6,  0.7702941685500799
                 2.7,  0.6278499527499135
                 2.8,  0.5163518345795604
                 2.9,  0.4394524218596825
                   3,  0.3999999999999999
                 3.1,  0.3999448882358767
                 3.2,  0.4402673132759478
                 3.3,  0.5209291698473091
                 3.4,  0.6408514494500879
                 3.5,  0.7979184719828689
                 3.6,  0.9890093660569457
                 3.7,   1.210056530453188
                 3.8,   1.456130089900092
                 3.9,   1.721546652228389
                   4,                   2
                 4.1,   2.284710726373218
                 4.2,   2.568591269649903
                 4.3,   2.844422329515557
                 4.4,   3.105036274309851
                 4.5,    3.34350288425444
                 4.6,   3.553312629199898
                 4.7,   3.728552656925433
                 4.8,   3.864070771938501
                 4.9,   3.955622914378373
                   5,                   4
                 5.1,   3.995130448002179
                 5.2,   3.940155293242114
                 5.3,   3.835473439828039
                 5.4,   3.682755348299891
                 5.5,   3.484924240491751
                 5.6,   3.246104734860044
                 5.7,   2.971539669442629
                 5.8,   2.667476707849887
                 5.9,   2.341027133787702
                   6,   2.000000000000001
                 6.1,    1.65271548761069
                 6.2,   1.307801932600118
                 6.3,  0.9739814705886269
                 6.4,  0.6598496247731618
                 6.5,  0.3736544032709399
                 6.6,  0.1230805730501221
                 6.7,-0.08495526660078134
                 6.8, -0.2444933784565624
                 6.9,  -0.350698250616428
                   7,                   1
                 7.1,   1.012311659404862
                 7.2,   1.048943483704846
                 7.3,   1.108993475811632
                 7.4,   1.190983005625052
                 7.5,   1.292893218813452
                 7.6,   1.412214747707527
                 7.7,   1.546009500260454
                 7.8,   1.690983005625052
                 7.9,   1.843565534959769
                   8,                   2
                 8.1,   2.156434465040229
   8.199999999999999,   2.309016994374945
