sys.exec.out.time {s},ventset_obj.root_body.mass.composite_properties.mass {kg},ventset_obj.tank[0].dynamic_properties.consumable_mass {kg},ventset_obj.tank[1].dynamic_properties.consumable_mass {kg},ventset_obj.set_2_tanks.force[0] {N},ventset_obj.set_2_tanks.force[1] {N},ventset_obj.set_2_tanks.force[2] {N},ventset_obj.set_2_tanks.torque[0] {N*m},ventset_obj.set_2_tanks.torque[1] {N*m},ventset_obj.set_2_tanks.torque[2] {N*m},ventset_obj.extra_vent.venting {--}
                   0,                   5,                   1,                   1,                   0,                   0,                   0,                   0,                   0,                   0,0
                   1,                4.75,                   1,                0.75,                  -8,                   4,                  -8,                   0,                  -8,                   4,1
                   2,                4.25,                 0.5,                0.75,                  -8,                   4,                  -8,                   0,                  -8,                   4,1
                   3,                3.75,                   0,                0.75,                  -8,                   0,                  -8,                   0,                  -8,                   0,0
                   4,                3.75,                   0,                0.75,                   0,                   0,                  -8,                   0,                  -8,                   0,0
