sys.exec.out.time {s},vehicle.planet_rel_state.hang_angle_body_vec[0] {--},vehicle.planet_rel_state.hang_angle_body_vec[1] {--},vehicle.planet_rel_state.hang_angle_body_vec[2] {--},vehicle.planet_rel_state.roll_wrt_hdg_body_vec[0] {--},vehicle.planet_rel_state.roll_wrt_hdg_body_vec[1] {--},vehicle.planet_rel_state.roll_wrt_hdg_body_vec[2] {--},vehicle.planet_rel_state.hang_angle {rad},vehicle.planet_rel_state.roll_wrt_heading {rad}
                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0
                   5,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0
                  10,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0
