sys.exec.out.time {s},events_manager_verif.manager.sim_stop_verif.event_triggered {--},events_manager_verif.manager.sim_stop_var_verif.event_triggered {--},events_manager_verif.manager.relative_to_activation_double_verif.event_triggered {--},events_manager_verif.manager.deact_sim_obj_verif.event_triggered {--},events_manager_verif.manager.adjust_log_verif.event_triggered {--},events_manager_verif.manager.log_now_verif.event_triggered {--},events_manager_verif.manager.base_double_verif.event_triggered {--},events_manager_verif.manager.base_bool_verif.event_triggered {--},events_manager_verif.manager.reference_var_verif.event_triggered {--},events_manager_verif.manager.relative_to_activation_int_verif.event_triggered {--},events_manager_verif.manager.relative_to_activation_bool_verif.event_triggered {--},events_manager_verif.manager.relative_to_activation_float_verif.event_triggered {--},events_manager_verif.manager.two_variable_check_and.event_triggered {--},events_manager_verif.manager.two_variable_check_or.event_triggered {--}
                   0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                   1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
                   2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
                   3,0,0,0,0,0,0,0,0,0,1,1,0,0,0
                   4,0,0,0,0,0,0,0,0,0,1,1,0,0,0
                   5,0,0,0,0,0,0,0,0,0,1,1,1,0,0
                   6,0,0,0,0,0,0,0,0,0,1,1,1,0,0
                   7,0,0,1,0,0,0,0,0,0,1,1,1,0,0
