sys.exec.out.time {s},luwinds.altitude {1},luwinds.lookup_table_winds.altitude {m},luwinds.lookup_table_winds.u {m/s},luwinds.lookup_table_winds.v {m/s},luwinds.lookup_table_winds.w {m/s},luwinds.lookup_table_winds.rho {kg/m3},luwinds.lookup_table_winds.P {N/m2},luwinds.lookup_table_winds.T {K},luwinds.lookup_table_winds.wind_number {--},luwinds.lookup_table_winds.SOS {m/s},luwinds.lookup_table_winds.wind_velocity_tc[0] {m/s},luwinds.lookup_table_winds.wind_velocity_tc[1] {m/s},luwinds.lookup_table_winds.wind_velocity_tc[2] {m/s},luwinds.lookup_table_winds.wind_angle_blowing_from {rad},luwinds.lookup_table_winds.wind_vmag {m/s},luwinds.lookup_table_winds.average_wind[0] {m/s},luwinds.lookup_table_winds.average_wind[1] {m/s},luwinds.lookup_table_winds.average_wind[2] {m/s}
                   0,               -3000,               -3000,  -12.60592460632324,  -14.71348285675049,  0.1038898453116417,   1.193308711051941,      100941.9453125,   292.6409301757812,2,   344.1307233690326,  -14.71348285675049,  -12.60592460632324, -0.1038898453116417,  0.7084055650148029,   19.37541499055324,                   0,                   0,                   0
                   1,               -1000,               -1000,  -12.60592460632324,  -14.71348285675049,  0.1038898453116417,   1.193308711051941,      100941.9453125,   292.6409301757812,2,   344.1307233690326,  -14.71348285675049,  -12.60592460632324, -0.1038898453116417,  0.7084055650148029,   19.37541499055324,   1.153042136266421,   27.88453161458137,-0.004031119555662118
                   2,                1000,                1000,  -8.894760554518218,  -8.026611766436151, -0.4489928671076443,   1.074675743883142,   89502.36009281612,   288.8548812533162,2,   341.4621245912955,  -8.026611766436151,  -8.894760554518218,  0.4489928671076443,  0.8366580885160859,   11.98936430199775,   1.153042136266421,   27.88453161458137,-0.004031119555662118
                   3,                3000,                3000,   4.092245120307383,  -10.92467417427321, -0.2500871546832886,  0.8676168993716971,   70367.63620963092,   282.1350133324623,2,   336.9663221306394,  -10.92467417427321,   4.092245120307383,  0.2500871546832886,   5.924776431481362,   11.66865542912504,  -14.28728318760413,  -10.56840472184975,  0.2315038966260697
                   4,                5000,                5000,   18.16996071733201,  -10.19279223418151,  0.3580476410030523,  0.7117354349042015,   55006.62407149507,   269.0494620754716,2,   328.9366154608273,  -10.19279223418151,   18.16996071733201, -0.3580476410030523,   5.223614980711394,   20.83671481092466,  -10.34710991996747, -0.4566116416826844,  0.2035087541558496
                   5,                7000,                7000,   27.20409126750455, -0.3972514520654739, 0.04286550337428813,  0.5776701194038284,   42304.30504337594,    255.050723066966,2,   320.1963289822594, -0.3972514520654739,   27.20409126750455,-0.04286550337428813,   4.726990578928714,   27.20702534012612,  -10.19279223418132,   18.16996071733218, -0.3580476410030538
                   6,                9000,                9000,   39.96420127273804,  -2.324347220314229, -0.2381918257125138,  0.4686115711726417,   32263.73919698443,   239.8167034513083,2,   310.4665837904731,  -2.324347220314229,   39.96420127273804,  0.2381918257125138,   4.770484266139882,   40.03244569988617, -0.3972514520654737,   27.20409126750456,-0.04286550337428815
                   7,               11000,               11000,   46.40835900868689,   10.06509274579175, -0.1709935668578581,  0.3739673709057953,   24182.35518060751,   225.2931290479754,2,   300.8821751707403,   10.06509274579175,   46.40835900868689,  0.1709935668578581,   4.498815595033032,   47.48758908031093,  -2.324347220314225,   39.96420127273812,  0.2381918257125128
                   8,               13000,               13000,   36.27014384386862,   17.54645312341935,-0.05972037125599429,  0.2858666971148845,    17670.0560361322,   215.3857843597314,2,   294.1719093121792,   17.54645312341935,   36.27014384386862, 0.05972037125599429,   4.261808450754184,    40.2914993291391,                   0,                   0,                   0
                   9,               15000,               15000,   41.23999176348054,   13.46503115301491, -0.1004966787411807,  0.2120472174147081,   12648.41971072424,    207.829397761157,2,   288.9787200011719,   13.46503115301491,   41.23999176348054,  0.1004966787411807,   4.396797172078006,   43.38264727037808,                   0,                   0,                   0
