sys.exec.out.time {s},ventset_obj.root_body.mass.composite_properties.mass {kg},ventset_obj.tank[0].dynamic_properties.consumable_mass {kg},ventset_obj.tank[1].dynamic_properties.consumable_mass {kg},ventset_obj.set_2_tanks.force[0] {N},ventset_obj.set_2_tanks.force[1] {N},ventset_obj.set_2_tanks.force[2] {N},ventset_obj.set_2_tanks.torque[0] {N*m},ventset_obj.set_2_tanks.torque[1] {N*m},ventset_obj.set_2_tanks.torque[2] {N*m},ventset_obj.root_body.composite_body.state.trans.velocity[0] {m/s},ventset_obj.root_body.composite_body.state.trans.velocity[1] {m/s},ventset_obj.root_body.composite_body.state.trans.velocity[2] {m/s},ventset_obj.root_body.composite_body.state.rot.ang_vel_this[0] {rad/s},ventset_obj.root_body.composite_body.state.rot.ang_vel_this[1] {rad/s},ventset_obj.root_body.composite_body.state.rot.ang_vel_this[2] {rad/s}
                   0,                   5,                   1,                   1,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0
                   1,                4.75,                   1,                0.75,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                -1.6,                   0,                   0,                   0,                -1.6
                   2,                4.75,                   1,                0.75,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                -1.6,                   0,                   0,                   0,                -1.6
                   3,                4.75,                   1,                0.75,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                -1.6,                   0,                   0,                   0,                -1.6
