sys.exec.out.time {s},gust_unit.gust.magnitude {m/s},gust_unit.gust.gust_vector[0] {m/s},gust_unit.gust.gust_vector[1] {m/s},gust_unit.gust.gust_vector[2] {m/s}
                   0,                   0,                   0,                   0,                   0
                 0.5,                   0,                   0,                   0,                   0
                   1,                   0,                   0,                   0,                   0
                 1.5,                   0,                   0,                   0,                   0
                   2,                   0,                   0,                   0,                   0
                 2.5,                   0,                   0,                   0,                   0
                   3,                   0,                   0,                   0,                   0
                 3.5,                   0,                   0,                   0,                   0
                   4,                   0,                   0,                   0,                   0
                 4.5,                   0,                   0,                   0,                   0
                   5,                   0,                   0,                   0,                   0
                 5.5,                   0,                   0,                   0,                   0
                   6,   4.894348370484646,   4.894348370484646,                   0,                   0
                 6.5,   19.09830056250525,   19.09830056250525,                   0,                   0
                   7,   41.22147477075269,   41.22147477075269,                   0,                   0
                 7.5,   69.09830056250526,   69.09830056250526,                   0,                   0
                   8,   99.99999999999999,   99.99999999999999,                   0,                   0
                 8.5,   130.9016994374948,   130.9016994374948,                   0,                   0
                   9,   158.7785252292473,   158.7785252292473,                   0,                   0
                 9.5,   180.9016994374948,   180.9016994374948,                   0,                   0
                  10,   195.1056516295154,   195.1056516295154,                   0,                   0
                10.5,                 200,                 200,                   0,                   0
                  11,   195.1056516295154,   195.1056516295154,                   0,                   0
                11.5,   180.9016994374948,   180.9016994374948,                   0,                   0
                  12,   158.7785252292474,   158.7785252292474,                   0,                   0
                12.5,   130.9016994374948,   130.9016994374948,                   0,                   0
                  13,                 100,                 100,                   0,                   0
                13.5,   69.09830056250527,   69.09830056250527,                   0,                   0
                  14,   41.22147477075271,   41.22147477075271,                   0,                   0
                14.5,   19.09830056250527,   19.09830056250527,                   0,                   0
                  15,   4.894348370484646,   4.894348370484646,                   0,                   0
                15.5,                   0,                   0,                   0,                   0
                  16,                   0,                   0,                   0,                   0
                16.5,                   0,                   0,                   0,                   0
                  17,                   0,                   0,                   0,                   0
                17.5,                   0,                   0,                   0,                   0
                  18,                   0,                   0,                   0,                   0
                18.5,   4.894348370484646,   4.894348370484646,                   0,                   0
                  19,   19.09830056250525,   19.09830056250525,                   0,                   0
                19.5,   41.22147477075269,   41.22147477075269,                   0,                   0
                  20,   69.09830056250526,   69.09830056250526,                   0,                   0
                20.5,   99.99999999999999,   99.99999999999999,                   0,                   0
                  21,   130.9016994374948,   130.9016994374948,                   0,                   0
                21.5,   158.7785252292473,   158.7785252292473,                   0,                   0
                  22,   180.9016994374948,   180.9016994374948,                   0,                   0
                22.5,   195.1056516295154,   195.1056516295154,                   0,                   0
                  23,                 200,                 200,                   0,                   0
                23.5,   195.1056516295154,   195.1056516295154,                   0,                   0
                  24,   180.9016994374948,   180.9016994374948,                   0,                   0
                24.5,   158.7785252292474,   158.7785252292474,                   0,                   0
                  25,   130.9016994374948,   130.9016994374948,                   0,                   0
                25.5,                 100,                 100,                   0,                   0
                  26,   69.09830056250527,   69.09830056250527,                   0,                   0
                26.5,   41.22147477075271,   41.22147477075271,                   0,                   0
                  27,   19.09830056250527,   19.09830056250527,                   0,                   0
                27.5,   4.894348370484646,   4.894348370484646,                   0,                   0
                  28,                   0,                   0,                   0,                   0
                28.5,                   0,                   0,                   0,                   0
                  29,                   0,                   0,                   0,                   0
                29.5,                   0,                   0,                   0,                   0
                  30,                   0,                   0,                   0,                   0
