sys.exec.out.time {s},vehicle.dyn_body.structure.state.trans.position[0] {m},vehicle.dyn_body.structure.state.trans.position[1] {m},vehicle.dyn_body.structure.state.trans.position[2] {m},vehicle.dyn_body.structure.state.trans.velocity[0] {m/s},vehicle.dyn_body.structure.state.trans.velocity[1] {m/s},vehicle.dyn_body.structure.state.trans.velocity[2] {m/s},apsides_predictor.apsides.time_to_next_apsis {s},apsides_predictor.apsides.next_apsis_type {--},apsides_predictor.apsides.apoapsis_altitude {m},apsides_predictor.apsides.periapsis_altitude {m},apsides_predictor.planet_rel_state.state.sphere_coords.altitude {m}
                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,4,                   0,                   0,   421863.0000000009
                1800,   -677849.956480776,   14261750.20172004,                   0,  -5407.660835937666,   5156.743480184883,                   0,                   0,4,                   0,                   0,   7899712.956480231
                3600,  -9999189.633220784,   21376107.17655484,                   0,  -4903.779815568073,   3119.904150034557,                   0,                   0,4,                   0,                   0,   17221052.63321981
                5400,   -18378166.6796587,   26169565.02669908,                   0,  -4430.394260696304,   2302.421224196378,                   0,                   0,4,                   0,                   0,   25600029.67965737
                7200,  -26024296.34807971,   29880108.11003944,                   0,  -4082.442108947912,   1858.132924995187,                   0,                   0,4,                   0,                   0,   33246159.34807816
                9000,  -33124830.75374421,   32953837.35624235,                   0,  -3818.191359195394,   1575.761933995489,                   0,                   0,4,                   0,                   0,    40346693.7537424
               10800,  -39802794.85752914,   35603314.73507164,                   0,  -3609.324091842804,   1378.714538640852,                   0,                   0,4,                   0,                   0,   47024657.85752705
               12600,  -46141278.57826846,    37947368.5165208,                   0,  -3438.797364873528,   1232.434447777477,                   0,                   0,4,                   0,                   0,   53363141.57826621
               14400,  -52199030.45432992,   40059625.91384805,                   0,  -3295.997158340594,   1118.971042061644,                   0,                   0,4,                   0,                   0,   59420893.45432743
               16200,  -58019303.34558839,   41989106.33723506,                   0,   -3173.99306010381,   1028.035826023725,                   0,                   0,4,                   0,                   0,   65241166.34558581
               18000,  -63635021.57864241,   43770224.89019965,                   0,  -3068.060641027869,   953.2878760078501,                   0,                   0,4,                   0,                   0,   70856884.57863969
               19800,   -69071942.2977071,   45428150.19893691,                   0,  -2974.858720864503,   890.5948938393981,                   0,                   0,4,                   0,                   0,   76293805.29770428
               21600,    -74350676.866272,   46981894.49949925,                   0,  -2891.949951260288,   837.1420470825001,                   0,                   0,4,                   0,                   0,   81572539.86626907
               23400,  -79488034.41717777,   48446202.49458836,                   0,  -2817.509009646619,    790.941715926214,                   0,                   0,4,                   0,                   0,   86709897.41717467
               25200,  -84497945.18218654,   49832761.40206202,                   0,  -2750.137934305052,   750.5479297999614,                   0,                   0,4,                   0,                   0,   91719808.18218331
               27000,  -89392113.54765539,    51151006.7202546,                   0,  -2688.745202901538,   714.8820151171233,                   0,                   0,4,                   0,                   0,   96613976.54765202
               28800,  -94180491.59146921,   52408676.48860449,                   0,  -2632.464151412152,   683.1218580185629,                   0,                   0,4,                   0,                   0,   101402354.5914657
               30600,  -98871629.97685258,   53612203.23181619,                   0,  -2580.596474479404,   654.6291690559714,                   0,                   0,4,                   0,                   0,   106093492.9768489
               32400,  -103472942.9615605,   54766997.80482364,                   0,   -2532.57218295013,   628.9003061816893,                   0,                   0,4,                   0,                   0,   110694805.9615568
               34200,  -107990911.9361892,   55877659.26256561,                   0,  -2487.920638916433,   605.5321775426405,                   0,                   0,4,                   0,                   0,   115212774.9361852
               36000,  -112431244.1041273,   56948132.88977303,                   0,  -2446.249218638298,   584.1980708631615,                   0,                   0,4,                   0,                   0,   119653107.1041232
