sys.exec.out.time {s},trick_logging_verif.group1_var {--}
                   0,                   0
                 0.5,                   0
                   1,                   1
                 1.5,                   1
                   2,                   2
                 2.5,                   2
                   3,                   3
                 3.5,                   3
                3.75,                   3
                   4,                   4
                 4.5,                   4
                   5,                   5
                 5.5,                   5
                   6,                   6
