sys.exec.out.time {s},planet_rel_state.relstate_name.position_vector_only {--},planet_rel_state.relstate_name.state.rot.ang_vel_mag {rad/s},planet_rel_state.relstate_direct.position_vector_only {--},planet_rel_state.relstate_direct.state.rot.ang_vel_mag {rad/s},planet_rel_state.position_mag_name {m},planet_rel_state.position_mag_direct {m},planet_rel_state.velocity_mag_name {m/s},planet_rel_state.velocity_mag_direct {m/s},planet_rel_state.relstate_name.state.trans.position[0] {m},planet_rel_state.relstate_name.state.trans.position[1] {m},planet_rel_state.relstate_name.state.trans.position[2] {m},planet_rel_state.relstate_name.state.trans.velocity[0] {m/s},planet_rel_state.relstate_name.state.trans.velocity[1] {m/s},planet_rel_state.relstate_name.state.trans.velocity[2] {m/s},planet_rel_state.relstate_direct.state.trans.position[0] {m},planet_rel_state.relstate_direct.state.trans.position[1] {m},planet_rel_state.relstate_direct.state.trans.position[2] {m},planet_rel_state.relstate_direct.state.trans.velocity[0] {m/s},planet_rel_state.relstate_direct.state.trans.velocity[1] {m/s},planet_rel_state.relstate_direct.state.trans.velocity[2] {m/s}
                   0,0,                   0,0,                   0,   151964040701.5569,   151964040701.5569,   29310.02903893658,   29310.02903893658,  -14655013341.41033,  -138776576787.9881,  -60161133510.89052,   29158.71766274518,  -2728.631390141626,  -1183.873838021437,  -14655013341.41033,  -138776576787.9881,  -60161133510.89052,   29158.71766274518,  -2728.631390141626,  -1183.873838021437
                  10,0,                   0,0,                   0,   151964042186.8989,   151964042186.8989,   29310.02849881168,   29310.02849881168,  -14654721754.24914,  -138776604074.0363,  -60161145349.51364,   29158.72294051509,  -2728.579042497445,  -1183.851125892022,  -14654721754.24914,  -138776604074.0363,  -60161145349.51364,   29158.72294051509,  -2728.579042497445,  -1183.851125892022
                  20,0,                   0,0,                   0,   151964043672.2336,   151964043672.2336,   29310.02795869182,   29310.02795869182,  -14654430166.96184,  -138776631359.5679,  -60161157187.91262,   29158.72821817924,  -2728.526694837279,  -1183.828413755156,  -14654430166.96184,  -138776631359.5679,  -60161157187.91262,   29158.72821817924,  -2728.526694837279,  -1183.828413755156
                  30,0,                   0,0,                   0,   151964045157.5604,   151964045157.5604,   29310.02741857713,   29310.02741857713,  -14654138579.62177,  -138776658644.5761,  -60161169026.08448,   29158.73349573632,  -2728.474347174289,  -1183.805701616551,  -14654138579.62177,  -138776658644.5761,  -60161169026.08448,   29158.73349573632,  -2728.474347174289,  -1183.805701616551
                  40,0,                   0,0,                   0,   151964046642.8792,   151964046642.8792,   29310.02687846775,   29310.02687846775,  -14653846992.30225,  -138776685929.0539,  -60161180864.02623,   29158.73877318499,   -2728.42199952164,  -1183.782989481918,  -14653846992.30225,  -138776685929.0539,  -60161180864.02623,   29158.73877318499,   -2728.42199952164,  -1183.782989481918
                  50,0,                   0,0,                   0,   151964048128.1905,   151964048128.1905,   29310.02633836341,   29310.02633836341,  -14653555404.85663,  -138776713213.0151,  -60161192701.74385,   29158.74405052791,  -2728.369651853005,  -1183.760277339834,  -14653555404.85663,  -138776713213.0151,  -60161192701.74385,   29158.74405052791,  -2728.369651853005,  -1183.760277339834
                  60,0,                   0,0,                   0,   151964049613.4937,   151964049613.4937,   29310.02579826438,   29310.02579826438,  -14653263817.43156,   -138776740496.446,  -60161204539.23136,   29158.74932776242,  -2728.317304194711,  -1183.737565201723,  -14653263817.43156,   -138776740496.446,  -60161204539.23136,   29158.74932776242,  -2728.317304194711,  -1183.737565201723
                  70,0,                   0,0,                   0,   151964051098.7896,   151964051098.7896,   29310.02525817039,   29310.02525817039,  -14652972229.88039,  -138776767779.3602,  -60161216376.49473,   29158.75460489118,  -2728.264956520432,  -1183.714853056161,  -14652972229.88039,  -138776767779.3602,  -60161216376.49473,   29158.75460489118,  -2728.264956520432,  -1183.714853056161
                  80,0,                   0,0,                   0,   151964052584.0773,   151964052584.0773,    29310.0247180817,    29310.0247180817,  -14652680642.34978,  -138776795061.7441,  -60161228213.52799,   29158.75988191154,  -2728.212608856494,  -1183.692140914571,  -14652680642.34978,  -138776795061.7441,  -60161228213.52799,   29158.75988191154,  -2728.212608856494,  -1183.692140914571
                  90,0,                   0,0,                   0,   151964054069.3577,   151964054069.3577,   29310.02417799805,   29310.02417799805,  -14652389054.69308,  -138776822343.6115,  -60161240050.33712,   29158.76515882614,   -2728.16026117657,  -1183.669428765531,  -14652389054.69308,  -138776822343.6115,  -60161240050.33712,   29158.76515882614,   -2728.16026117657,  -1183.669428765531
