sys.exec.out.time {s},fd_obj.time {1},fd_obj.in_scalar {1},fd_obj.out_scalar_deriv1 {1},fd_obj.out_math_utils {1},fd_obj.out_scalar_deriv2 {1},fd_obj.error_deriv1 {1},fd_obj.error_mu2 {1},fd_obj.error_mu {1},fd_obj.error_deriv2 {1}
                   0,-1.110223024625157e-16,-1.110223024625157e-16,   1.029063922083872,   1.029063922083872,                   0, 0.02906392208387154, 0.02906392208387154, 0.02906392208387154,                  -1
                   1,  0.2999999999999999,  0.2955202066613394,  0.9850673555377983,  0.9557363111737498, -0.2933104436404843, 0.03112083203207711, 0.03112083203207746,0.0004185143692246611,-0.007477536124585461
                   2,  0.5999999999999999,  0.5646424733950353,  0.8530776558995798,  0.8237466115355315, -0.5866208872809704, 0.03361304236572597, 0.03361304236572611,-0.001925281479971874, 0.03892447862411971
                   3,  0.8999999999999999,  0.7833269096274833,  0.6448850699394132,  0.6201391215415546, -0.8275302341650145, 0.03744325679573743,  0.0374432567957385,-0.002366189096358677, 0.05643023876015236
                   4,                 1.2,  0.9320390859672263,  0.3790868213113019,  0.3611364507503603, -0.9945187698240243, 0.04616726599045416, 0.04616726599045323,-0.003370436291827485, 0.06703547608409528
                   5,                 1.5,  0.9974949866040544,  0.0794258759512354, 0.06987453636871001,  -1.072669905701384,  0.1228303364946307,  0.1228303364946338,-0.01219535518305318, 0.07536370619090542
                   6,                 1.8,  0.9738476308781951, -0.2273299463573437, -0.2276290622428371,  -1.055002633582895,0.0005627222074220444,0.0005627222074208227,0.001879241255793821, 0.08333439455155379
                   7,                 2.1,  0.8632093666488737, -0.5137790616035087, -0.5047992346607599, -0.9430951182692962, 0.01769441602551621, 0.01769441602551599,-9.284005297968412e-05, 0.09254504724682562
                   8,                 2.4,   0.675463180551151, -0.7543338234397461,  -0.736877194865369, -0.7469437248149102, 0.02297294856393866, 0.02297294856393715,-0.0007004679657425085,  0.1058244865477849
                   9,                 2.7,  0.4273798802338302, -0.9275061914237335, -0.9031321098580547, -0.4840700730088283, 0.02592055248421785, 0.02592055248421712,-0.00103977560563806,  0.1326459091709735
                  10,                   3,  0.1411200080598677,  -1.017827193674279, -0.9887129232314215, -0.1779558832631718, 0.02811606872720305, 0.02811606872720216,-0.001292508148716186,  0.2610251778590969
                  11,   3.299999999999999, -0.1577456941432478,  -1.017228724058973,  -0.985974955807986,  0.1440545755370657, 0.03012614035916302, 0.03012614035916235,-0.001523893599377608,-0.08679234435235532
                  12,   3.599999999999999, -0.4425204432948517, -0.9257642420861611, -0.8951627820633317,  0.4531970681352897, 0.03234519489717927, 0.03234519489717853,-0.001779335707088697, 0.02412685109176793
                  13,   3.899999999999999, -0.6877661591839731, -0.7516039975262675, -0.7243883830165995,  0.7218568163717065, 0.03536375661696549, 0.03536375661696549,-0.002126811514804327, 0.04956722096967026
                  14,   4.199999999999999, -0.8715757724135877, -0.5103052063328692, -0.4889065271255773,  0.9260352450725722, 0.04088514545656395, 0.04088514545656735,-0.002762395354006484, 0.06248392208995668
                  15,   4.499999999999999, -0.9775301176650969, -0.2234223708748548, -0.2097521072528776,   1.047493703296706, 0.05989954011498443, 0.05989954011498284,-0.004951200074770475, 0.07157179545395681
                  16,   4.799999999999999, -0.9961646088358408, 0.08341811956546241, 0.08813884366624619,   1.075382668704723,-0.04663898611813357,-0.04663898611813515,0.007312773264886017, 0.07952306191790903
                  17,   5.099999999999999, -0.9258146823277328,  0.3828071178251133,  0.3781566141802868,   1.007210903077095, 0.01277687695966047, 0.01277687695966061,0.0004732328047241975, 0.08791848120696368
                  18,   5.399999999999999, -0.7727644875559883,  0.6480010963452099,  0.6343947805949945,  0.8490679872046822, 0.02096796877200097, 0.02096796877199957,-0.0004696686522532155, 0.09874095002737254
                  19,   5.699999999999998, -0.5506855425976391,  0.8553110668388386,  0.8339643506461777,  0.6150803567730296, 0.02467708938188712, 0.02467708938188646,-0.0008966367912111371,  0.1169357268244844
                  20,   5.999999999999998, -0.2794154981989276,  0.9862186470629764,   0.959038369009475,  0.3261494299346719, 0.02712889658716967, 0.02712889658716933,-0.001178871765381617,  0.1672560471304726
                  21,   6.299999999999998, 0.01681390048434794,   1.029030252751859,  0.9984443461263408,0.008084545875171045,  0.0291757407566738, 0.02917574075667314,-0.001414490214526751,  -1.480825129344434
                  22,   6.599999999999998,  0.3115413635133761,  0.9799216506730156,  0.9486622634218255, -0.3107025065895401, 0.03124399117198576, 0.03124399117198517,-0.001652572801642256,-0.002692602081392605
                  23,   6.899999999999998,   0.578439764388198,  0.8432795659923956,  0.8141390060803738,  -0.601735429490728, 0.03377910752384934, 0.03377910752384947,-0.001944397744706896, 0.04027327742097619
                  24,   7.199999999999998,  0.7936678638491516,  0.6313098291800651,  0.6068911360362441, -0.8390171185947785, 0.03773890858682623, 0.03773890858682604,-0.002400222472002433, 0.05713883201178245
