sys.exec.out.time {s},test_object.var {--}
                   0,                   2
                 0.1,                   2
                 0.2,                   2
                 0.3,                   2
                 0.4,                   2
                 0.5,                   2
                 0.6,                   2
                 0.7,                   2
                 0.8,                   2
                 0.9,                   2
                   1,                   4
                 1.1,                3.96
                 1.2,                3.92
                 1.3,                3.88
                 1.4,                3.84
                 1.5,                 3.8
                 1.6,                3.76
                 1.7,                3.72
                 1.8,                3.68
                 1.9,                3.64
                   2,                 3.6
                 2.1,                3.56
                 2.2,                3.52
                 2.3,                3.48
                 2.4,                3.44
                 2.5,                 3.4
                 2.6,                3.36
                 2.7,                3.32
                 2.8,                3.28
                 2.9,                3.24
                   3,                 3.2
                 3.1,                3.16
                 3.2,                3.12
                 3.3,                3.08
                 3.4,                3.04
                 3.5,                   3
                 3.6,                2.96
                 3.7,                2.92
                 3.8,                2.88
                 3.9,                2.84
                   4,                 2.8
                 4.1,                2.76
                 4.2,                2.72
                 4.3,                2.68
                 4.4,                2.64
                 4.5,                 2.6
                 4.6,                2.56
                 4.7,                2.52
                 4.8,                2.48
                 4.9,                2.44
                   5,                 2.4
