sys.exec.out.time {s},vehicle.planet_rel_state.launch_range.crossrange_angle {rad},vehicle.planet_rel_state.launch_range.downrange_angle {rad},vehicle.planet_rel_state.launch_range.totalrange_angle {rad},vehicle.planet_rel_state.launch_range.crossrange_angle {rad},vehicle.planet_rel_state.launch_range.downrange_angle {rad},vehicle.planet_rel_state.launch_range.total_range_avg_rad {m},vehicle.planet_rel_state.launch_range.cross_range_avg_rad {m},vehicle.planet_rel_state.launch_range.down_range_avg_rad {m},vehicle.planet_rel_state.launch_range.total_range_ref_rad {m},vehicle.planet_rel_state.launch_range.cross_range_ref_rad {m},vehicle.planet_rel_state.launch_range.down_range_ref_rad {m}
                   0,-0.008172306191059716,-0.08521637839245455,  0.0856064015798972,-0.008172306191059716,-0.08521637839245455,   546191.2663932713,  -52141.45420751649,  -543702.8162921042,   545517.1114171428,  -52077.09686059535,   -543031.732769369
                   5,-0.007872988636692897,-0.07943418440986726, 0.07982257311663776,-0.007872988636692897,-0.07943418440986726,   509288.3260084564,  -50231.67065293692,  -506810.3072402226,   508660.3187243115,  -50169.72960018974,  -506185.3556197504
                  10,-0.007573405051495091,-0.07365196328610873, 0.07403961378794593,-0.007573405051495091,-0.07365196328610873,     472389.90527173,  -48320.08045188725,  -469916.6051763798,   471809.0644932074,  -48260.66708840352,  -469338.8055160879
                  15,-0.007273562623247138,-0.06786965960090717, 0.06825770396694297,-0.007273562623247138,-0.06786965960090717,   435497.4156700402,  -46406.74299083361,  -433021.6172069721,   434964.4981311443,  -46349.95512855709,  -432491.7292989679
                  20,-0.006973468539515089,-0.06208721792938861, 0.06247711094223392,-0.006973468539515089,-0.06208721792938861,   398612.8231172074,  -44491.71767921937,  -396125.2504330665,   398128.3229045257,  -44437.63952260217,  -395643.7737796499
                  25,-0.006673129988211474,-0.05630458284112439, 0.05669823317827474,-0.006673129988211474,-0.05630458284112439,   361738.9302714018,  -42575.06395142106,  -359227.4119421797,   361303.0779830284,  -42523.76607469835,   -358794.585733997
                  30,-0.006372554158162597,-0.05052169889918028, 0.05092167464938075,-0.006372554158162597,-0.05052169889918028,   324879.8506806718,  -40656.84126874126,  -322328.0088000632,   324492.6121246632,  -40608.38059482814,   -321943.811896416
                  35,-0.006071748239674691,-0.04473851065916377, 0.04514837608453086,-0.006071748239674691,-0.04473851065916377,   288041.8459402154,  -38737.10912139277,  -285426.9480424756,   287702.9200184455,  -38691.52890240474,  -285091.0989537867
                  40,-0.005770719425100838,-0.03895496266827521,   0.039379861257888,-0.005770719425100838,-0.03895496266827521,   251234.8966811415,  -36815.92703048595,  -248524.1366669743,   250943.7117428796,  -36773.25682988467,  -248236.0935394155
                  45,-0.005469474909408626,-0.03317099946435707, 0.03361873567504321,-0.005469474909408626,-0.03317099946435707,   214475.8834919833,  -34893.35455001887,  -211619.4816246892,   214231.5905876445,  -34853.61022638508,  -211378.4422269766
                  50,-0.005168021890751002,-0.02738656557494551, 0.02786979990208548,-0.005168021890751002,-0.02738656557494551,   177795.6884025283,  -32969.45126888598,  -174712.8898121031,   177597.1476171665,  -32932.63496132146,  -174517.7915244686
                  55,-0.004866367571035546, -0.0216016055163241, 0.02214288171397752,-0.004866367571035546, -0.0216016055163241,   141257.2600259161,  -31044.27681287445,  -137804.2680628373,   141103.0092158091,   -31010.3769280353,   -137653.787868184
                  60,-0.004564519156495393,-0.01581606379257698, 0.01646149968035131,-0.004564519156495393,-0.01581606379257698,   105010.8750628982,  -29117.89084666883,   -100893.523139423,   104899.0448084461,  -29086.88204743216,   -100786.077616676
                  65,-0.004262483858261772,-0.01002988489464527, 0.01089801589216788,-0.004262483858261772,-0.01002988489464527,   69518.36295170306,  -27190.35307586362,  -63980.56172508036,   69446.37363509512,  -27162.19627163019,  -63914.30704474531
                  70,-0.003960268892937656,-0.004243013299384783,0.005804032860346974,-0.003960268892937656,-0.004243013299384783,   37022.70623783647,  -25261.72324898028,  -27065.29041549313,    36985.5429280206,  -25236.36558761556,  -27038.12233743568
                  75,-0.003657881483171585,0.001544606531374481,0.003970629124076553,-0.003657881483171585,0.001544606531374481,    25326.9445690872,  -23332.06115948266,   9852.384289421561,   25302.38498873745,  -23309.43602089919,   9842.830415959543
                  80,-0.003355328858233199,0.007333030151766519,0.008064202450030108,-0.003355328858233199,0.007333030151766519,   51436.22115723392,  -21401.42664780045,   46772.55599374481,   51388.21799813295,  -21381.45363918417,   46728.90522787569
                  85,-0.003052618254589236, 0.01312231313282483, 0.01347267773282016,-0.003052618254589236, 0.01312231313282483,   85929.97601269823,  -19469.87960335259,   83695.31841378933,   85853.11500335277,   -19452.4645560363,   83620.45621843827
                  90,-0.00274975691648151, 0.01891251106341519, 0.01911134051555894,-0.00274975691648151, 0.01891251106341519,   121888.8656728868,  -17537.47996658013,   120620.7653863353,   121784.8558162657,  -17522.51493456716,    120517.837621407
                  95,-0.002446752096504518, 0.02470367955116717,   0.024824527413859,-0.002446752096504518, 0.02470367955116717,   158319.7043561122,   -15604.2877309734,   157548.9908768797,   158191.4931264221,  -15591.65099111488,   157421.4037901117
                 100,-0.002143611056185423, 0.03049587422340058, 0.03057109727262321,-0.002143611056185423, 0.03049587422340058,   194959.8058571024,  -13670.36294511087,   194480.0889878765,   194810.8595763024,  -13659.91899893997,   194331.5092033561
