sys.exec.out.time {s},vehicle.planet_rel_state.range_safety.XVRT_Azi {rad},vehicle.planet_rel_state.range_safety.YVRT_Azi {rad},vehicle.planet_rel_state.range_safety.T_pfix_pad[0][0] {--},vehicle.planet_rel_state.range_safety.T_pfix_pad[0][1] {--},vehicle.planet_rel_state.range_safety.T_pfix_pad[0][2] {--},vehicle.planet_rel_state.range_safety.T_pfix_pad[1][0] {--},vehicle.planet_rel_state.range_safety.T_pfix_pad[1][1] {--},vehicle.planet_rel_state.range_safety.T_pfix_pad[1][2] {--},vehicle.planet_rel_state.range_safety.T_pfix_pad[2][0] {--},vehicle.planet_rel_state.range_safety.T_pfix_pad[2][1] {--},vehicle.planet_rel_state.range_safety.T_pfix_pad[2][2] {--},vehicle.planet_rel_state.range_safety.T_pfix_pad_SEU[0][0] {--},vehicle.planet_rel_state.range_safety.T_pfix_pad_SEU[0][1] {--},vehicle.planet_rel_state.range_safety.T_pfix_pad_SEU[0][2] {--},vehicle.planet_rel_state.range_safety.T_pfix_pad_SEU[1][0] {--},vehicle.planet_rel_state.range_safety.T_pfix_pad_SEU[1][1] {--},vehicle.planet_rel_state.range_safety.T_pfix_pad_SEU[1][2] {--},vehicle.planet_rel_state.range_safety.T_pfix_pad_SEU[2][0] {--},vehicle.planet_rel_state.range_safety.T_pfix_pad_SEU[2][1] {--},vehicle.planet_rel_state.range_safety.T_pfix_pad_SEU[2][2] {--},vehicle.planet_rel_state.range_safety.XVRT {m},vehicle.planet_rel_state.range_safety.YVRT {m},vehicle.planet_rel_state.range_safety.ZVRT {m},vehicle.planet_rel_state.range_safety.XPad[0] {m},vehicle.planet_rel_state.range_safety.XPad[1] {m},vehicle.planet_rel_state.range_safety.XPad[2] {m},vehicle.planet_rel_state.range_safety.VPad[0] {m/s},vehicle.planet_rel_state.range_safety.VPad[1] {m/s},vehicle.planet_rel_state.range_safety.VPad[2] {m/s},vehicle.planet_rel_state.range_safety.NPad[0] {m/s2},vehicle.planet_rel_state.range_safety.NPad[1] {m/s2},vehicle.planet_rel_state.range_safety.NPad[2] {m/s2},vehicle.planet_rel_state.range_safety.pad_azimuth {rad},vehicle.planet_rel_state.range_safety.XVP[0] {m},vehicle.planet_rel_state.range_safety.XVP[1] {m},vehicle.planet_rel_state.range_safety.XVP[2] {m},vehicle.planet_rel_state.range_safety.slant_range {m},vehicle.body.derivs.trans_accel[0] {m/s2},vehicle.body.derivs.trans_accel[1] {m/s2},vehicle.body.derivs.trans_accel[2] {m/s2},vehicle.planet_rel_state.relative_accel[0] {m/s2},vehicle.planet_rel_state.relative_accel[1] {m/s2},vehicle.planet_rel_state.relative_accel[2] {m/s2}
                   0,    3.14159265358979,     1.5707963267949,  0.9854497299884605,  0.1699671429002392,-3.034311511585891e-15, 0.08840622215621312, -0.5125689957868912, -0.8540827620565141,  0.1451660068670921, -0.8416556272563901,  0.5201371314931437, 0.08840622215621662, -0.5125689957868906, -0.8540827620565141,  0.9854497299884601,   0.169967142900241,                   0,  0.1451660068670921, -0.8416556272563901,  0.5201371314931437,  -52227.77008065215,  -543697.1240993479,  -7487.623475485743,  -543697.1240993479,  -52227.77008064871,  -7487.623475485743,   6965.029156946182,   363.4894687328631,   596.8620016468331,  0.7265168455222905,  0.5941694703974361,  -8.839874782863662,    4.80815554906782,  -52227.77008065063,  -543697.1240993476,  -7487.623475485743,   546251.1942566436,  -0.589039050950834,    8.30628702274119,  -5.105417014723983, -0.5147752159830163,   7.259061498972537,  -5.105417014723983
                   5,    3.14159265358979,     1.5707963267949,  0.9854497299884605,  0.1699671429002392,-3.034311511585891e-15, 0.08840622215621312, -0.5125689957868912, -0.8540827620565141,  0.1451660068670921, -0.8416556272563901,  0.5201371314931437, 0.08840622215621662, -0.5125689957868906, -0.8540827620565141,  0.9854497299884601,   0.169967142900241,                   0,  0.1451660068670921, -0.8416556272563901,  0.5201371314931437,  -50306.59017749524,  -506886.0824274336,  -4455.674863941909,  -506886.0824274336,  -50306.59017749194,  -4455.674863941909,   6968.783403533808,   365.1324759491179,   550.4824665462387,  0.6760854522826256,  0.5915269884411232,  -8.844095491129298,   4.811311382629655,  -50306.59017749374,  -506886.0824274334,  -4455.674863941909,   509395.8250834122, -0.6454423883029998,   8.302186544185211,  -5.105355463526208, -0.5653191340459329,   7.255396656336625,  -5.105355463526208
                  10,    3.14159265358979,     1.5707963267949,  0.9854497299884605,  0.1699671429002392,-3.034311511585891e-15, 0.08840622215621312, -0.5125689957868912, -0.8540827620565141,  0.1451660068670921, -0.8416556272563901,  0.5201371314931437, 0.08840622215621662, -0.5125689957868906, -0.8540827620565141,  0.9854497299884601,   0.169967142900241,                   0,  0.1451660068670921, -0.8416556272563901,  0.5201371314931437,  -48384.21298810264,   -470055.664600313,  -1667.144845140803,   -470055.664600313,  -48384.21298809945,  -1667.144845140803,   6972.271316385095,   366.7615290058678,   504.0812016238849,  0.6256376485069419,  0.5888624918554521,   -8.84811566606165,   4.814960685779765,  -48384.21298810112,  -470055.6646003128,  -1667.144845140803,    472542.208973182, -0.7018317556765202,   8.297885759197875,  -5.105170805180241, -0.6158520594741151,   7.251571528456844,  -5.105170805180241
                  15,    3.14159265358979,     1.5707963267949,  0.9854497299884605,  0.1699671429002392,-3.034311511585891e-15, 0.08840622215621312, -0.5125689957868912, -0.8540827620565141,  0.1451660068670921, -0.8416556272563901,  0.5201371314931437, 0.08840622215621662, -0.5125689957868906, -0.8540827620565141,  0.9854497299884601,   0.169967142900241,                   0,  0.1451660068670921, -0.8416556272563901,  0.5201371314931437,  -46460.71197338575,  -433207.2781154477,   877.8548311392842,  -433207.2781154477,  -46460.71197338287,   877.8548311392842,   6975.492803275736,   368.3765682990452,    457.659292479211,  0.5751730637791228,  0.5861759611345119,  -8.851935312317432,   4.819228824648128,  -46460.71197338442,  -433207.2781154475,   877.8548311392842,   435692.4536853639, -0.7582073819153657,   8.293384628270424,  -5.104863025448551, -0.6663743596944659,     7.2475860662921,  -5.104863025448551
                  20,    3.14159265358979,     1.5707963267949,  0.9854497299884605,  0.1699671429002392,-3.034311511585891e-15, 0.08840622215621312, -0.5125689957868912, -0.8540827620565141,  0.1451660068670921, -0.8416556272563901,  0.5201371314931437, 0.08840622215621662, -0.5125689957868906, -0.8540827620565141,  0.9854497299884601,   0.169967142900241,                   0,  0.1451660068670921, -0.8416556272563901,  0.5201371314931437,  -44536.16062550459,  -396342.3309830771,   3179.218281583711,  -396342.3309830771,  -44536.16062550205,   3179.218281583711,   6978.447770445906,   369.9775341438647,   411.2178247615758,  0.5246913250693029,  0.5834673765196299,  -8.855554416726102,   4.824287504878053,  -44536.16062550345,  -396342.3309830769,   3179.218281583711,   398849.3705162909, -0.8145694958373291,   8.288683096380961,  -5.104432100605108, -0.7168864021440399,   7.243440205482195,  -5.104432100605108
                  25,    3.14159265358979,     1.5707963267949,  0.9854497299884605,  0.1699671429002392,-3.034311511585891e-15, 0.08840622215621312, -0.5125689957868912, -0.8540827620565141,  0.1451660068670921, -0.8416556272563901,  0.5201371314931437, 0.08840622215621662, -0.5125689957868906, -0.8540827620565141,  0.9854497299884601,   0.169967142900241,                   0,  0.1451660068670921, -0.8416556272563901,  0.5201371314931437,   -42610.6324681731,  -359462.2317320904,   5236.845489978605,  -359462.2317320904,  -42610.63246817064,   5236.845489978605,   6981.136122594805,   371.5643667742489,   364.7578842605441,  0.4741920583403531,  0.5807367180833833,  -8.858972948147411,   4.830378328136953,  -42610.63246817191,  -359462.2317320902,   5236.845489978605,   362016.8319178522, -0.8709183246116031,   8.283781093105668,  -5.103877997433045, -0.7673885526588272,   7.239133866457919,  -5.103877997433045
                  30,    3.14159265358979,     1.5707963267949,  0.9854497299884605,  0.1699671429002392,-3.034311511585891e-15, 0.08840622215621312, -0.5125689957868912, -0.8540827620565141,  0.1451660068670921, -0.8416556272563901,  0.5201371314931437, 0.08840622215621662, -0.5125689957868906, -0.8540827620565141,  0.9854497299884601,   0.169967142900241,                   0,  0.1451660068670921, -0.8416556272563901,  0.5201371314931437,    -40684.201056971,    -322568.38941592,   7050.642308297894,    -322568.38941592,  -40684.20105696888,   7050.642308297894,   6983.557762876108,   373.1370063423013,    318.280556996259,  0.4236748887208219,  0.5779839657388677,  -8.862190857455353,   4.837852315821502,  -40684.20105697002,  -322568.3894159198,   7050.642308297894,   325200.3714988407, -0.9272540935740106,   8.278678532631215,  -5.103200673224221, -0.8178811753001801,    7.23466695445219,  -5.103200673224221
                  35,    3.14159265358979,     1.5707963267949,  0.9854497299884605,  0.1699671429002392,-3.034311511585891e-15, 0.08840622215621312, -0.5125689957868912, -0.8540827620565141,  0.1451660068670921, -0.8416556272563901,  0.5201371314931437, 0.08840622215621662, -0.5125689957868906, -0.8540827620565141,  0.9854497299884601,   0.169967142900241,                   0,  0.1451660068670921, -0.8416556272563901,  0.5201371314931437,  -38756.93997965255,  -285662.2136184584,   8620.520458247247,  -285662.2136184584,  -38756.93997965082,   8620.520458247247,   6985.712592894277,   374.6953929178241,   271.7869293098897,  0.3731394406780158,    0.57520909924903,  -8.865208077521773,   4.847239601837641,  -38756.93997965183,  -285662.2136184582,   8620.520458247247,   288408.2420094042, -0.9835770260420497,   8.273375313766964,  -5.102400075778674, -0.8683646321810453,   7.230039359510883,  -5.102400075778674
                  40,    3.14159265358979,     1.5707963267949,  0.9854497299884605,  0.1699671429002392,-3.034311511585891e-15, 0.08840622215621312, -0.5125689957868912, -0.8540827620565141,  0.1451660068670921, -0.8416556272563901,  0.5201371314931437, 0.08840622215621662, -0.5125689957868906, -0.8540827620565141,  0.9854497299884601,   0.169967142900241,                   0,  0.1451660068670921, -0.8416556272563901,  0.5201371314931437,   -36828.9228564592,  -248745.1144599903,   9946.397533263571,  -248745.1144599903,  -36828.92285645763,   9946.397533263571,   6987.600512701802,   376.2394664878858,   225.2780879541699,   0.322585338191241,  0.5724120982361143,  -8.868024523199612,   4.859379982892142,  -36828.92285645851,  -248745.1144599901,   9946.397533263571,   251653.3972557698,  -1.039887343129725,   8.267871319957026,  -5.101476143403965, -0.9188392832919754,    7.22525095650334,  -5.101476143403965
                  45,    3.14159265358979,     1.5707963267949,  0.9854497299884605,  0.1699671429002392,-3.034311511585891e-15, 0.08840622215621312, -0.5125689957868912, -0.8540827620565141,  0.1451660068670921, -0.8416556272563901,  0.5201371314931437, 0.08840622215621662, -0.5125689957868906, -0.8540827620565141,  0.9854497299884601,   0.169967142900241,                   0,  0.1451660068670921, -0.8416556272563901,  0.5201371314931437,  -34900.22334043014,  -211818.5026031329,   11028.19700096472,   -211818.502603133,  -34900.22334042869,   11028.19700096472,   6989.221420797322,   377.7691669564368,   178.7551201840171,  0.2720122049252712,  0.5695929421911377,  -8.870640091305784,   4.875686578770709,  -34900.22334042944,  -211818.5026031328,   11028.19700096472,    214957.495248101,  -1.096185263562113,   8.262166419292111,  -5.100428804914373, -0.9693054863268631,   7.220301605132584,  -5.100428804914373
