sys.exec.out.time {s},events_manager_verif.manager.trigger_set_bool.event_triggered {--},events_manager_verif.manager.trigger_set_int.event_triggered {--},events_manager_verif.manager.trigger_set_double.event_triggered {--},events_manager_verif.manager.trigger_set_all.event_triggered {--},events_manager_verif.manager.trigger_set_any.event_triggered {--}
                   0,0,0,0,0,0
                 0.2,1,1,0,0,1
                 0.7,1,1,1,1,1
