sys.exec.out.time {s},gust_unit.gust.magnitude {m/s},gust_unit.gust.gust_vector[0] {m/s},gust_unit.gust.gust_vector[1] {m/s},gust_unit.gust.gust_vector[2] {m/s}
                   0,                   0,                   0,                   0,                   0
                 0.5,                   0,                   0,                   0,                   0
                   1,                   0,                   0,                   0,                   0
                 1.5,                   0,                   0,                   0,                   0
                   2,                   0,                   0,                   0,                   0
                 2.5,                   0,                   0,                   0,                   0
                   3,                   0,                   0,                   0,                   0
                 3.5,                   0,                   0,                   0,                   0
                   4,                   0,                   0,                   0,                   0
                 4.5,                   0,                   0,                   0,                   0
                   5,                   0,                   0,                   0,                   0
                 5.5,                   0,                   0,                   0,                   0
                   6,   2.447174185242323,  0.6540348119238886,   1.308069623847777,   1.962104435771666
                 6.5,   9.549150281252627,   2.552117763375954,   5.104235526751908,   7.656353290127861
                   7,   20.61073738537634,   5.508451270346516,   11.01690254069303,   16.52535381103955
                 7.5,   34.54915028125263,   9.233648811186564,   18.46729762237313,   27.70094643355969
                   8,   49.99999999999999,   13.36306209562122,   26.72612419124244,   40.08918628686365
                 8.5,   65.45084971874738,   17.49247538005588,   34.98495076011176,   52.47742614016763
                   9,   79.38926261462365,   21.21767292089592,   42.43534584179184,   63.65301876268776
                 9.5,   90.45084971874738,   24.17400642786649,   48.34801285573297,   72.52201928359946
                  10,   97.55282581475768,   26.07208937931855,    52.1441787586371,   78.21626813795565
                10.5,                 100,   26.72612419124244,   53.45224838248488,   80.17837257372732
                  11,   97.55282581475768,   26.07208937931855,    52.1441787586371,   78.21626813795565
                11.5,   90.45084971874738,   24.17400642786649,   48.34801285573297,   72.52201928359946
                  12,   79.38926261462368,   21.21767292089593,   42.43534584179186,   63.65301876268779
                12.5,   65.45084971874738,   17.49247538005588,   34.98495076011176,   52.47742614016763
                  13,   50.00000000000001,   13.36306209562122,   26.72612419124245,   40.08918628686367
                13.5,   34.54915028125264,   9.233648811186566,   18.46729762237313,    27.7009464335597
                  14,   20.61073738537635,   5.508451270346519,   11.01690254069304,   16.52535381103956
                14.5,   9.549150281252633,   2.552117763375955,   5.104235526751911,   7.656353290127866
                  15,   2.447174185242323,  0.6540348119238886,   1.308069623847777,   1.962104435771666
                15.5,                   0,                   0,                   0,                   0
                  16,                   0,                   0,                   0,                   0
                16.5,                   0,                   0,                   0,                   0
                  17,                   0,                   0,                   0,                   0
                17.5,                   0,                   0,                   0,                   0
                  18,                   0,                   0,                   0,                   0
                18.5,   2.447174185242323,  0.6540348119238886,   1.308069623847777,   1.962104435771666
                  19,   9.549150281252627,   2.552117763375954,   5.104235526751908,   7.656353290127861
                19.5,   20.61073738537634,   5.508451270346516,   11.01690254069303,   16.52535381103955
                  20,   34.54915028125263,   9.233648811186564,   18.46729762237313,   27.70094643355969
                20.5,   49.99999999999999,   13.36306209562122,   26.72612419124244,   40.08918628686365
                  21,   65.45084971874738,   17.49247538005588,   34.98495076011176,   52.47742614016763
                21.5,   79.38926261462365,   21.21767292089592,   42.43534584179184,   63.65301876268776
                  22,   90.45084971874738,   24.17400642786649,   48.34801285573297,   72.52201928359946
                22.5,   97.55282581475768,   26.07208937931855,    52.1441787586371,   78.21626813795565
                  23,                 100,   26.72612419124244,   53.45224838248488,   80.17837257372732
                23.5,   97.55282581475768,   26.07208937931855,    52.1441787586371,   78.21626813795565
                  24,   90.45084971874738,   24.17400642786649,   48.34801285573297,   72.52201928359946
                24.5,   79.38926261462368,   21.21767292089593,   42.43534584179186,   63.65301876268779
                  25,   65.45084971874738,   17.49247538005588,   34.98495076011176,   52.47742614016763
                25.5,   50.00000000000001,   13.36306209562122,   26.72612419124245,   40.08918628686367
                  26,   34.54915028125264,   9.233648811186566,   18.46729762237313,    27.7009464335597
                26.5,   20.61073738537635,   5.508451270346519,   11.01690254069304,   16.52535381103956
                  27,   9.549150281252633,   2.552117763375955,   5.104235526751911,   7.656353290127866
                27.5,   2.447174185242323,  0.6540348119238886,   1.308069623847777,   1.962104435771666
                  28,                   0,                   0,                   0,                   0
                28.5,                   0,                   0,                   0,                   0
                  29,                   0,                   0,                   0,                   0
                29.5,                   0,                   0,                   0,                   0
                  30,                   0,                   0,                   0,                   0
