sys.exec.out.time {s},subs_verif.subs.enabled {--},subs_verif.subs.active {--},subs_verif.subs.num_subscriptions {--},subs_verif.subs.sub_pending {--}
                   0,1,1,1,0
                   1,1,1,2,0
                   2,1,1,1,0
                   3,1,1,2,0
                   4,1,1,1,0
                   5,1,0,0,0
                   6,1,0,0,0
                   7,1,0,0,0
