sys.exec.out.time {s},ventset_obj.root_body.mass.composite_properties.mass {kg},ventset_obj.tank[0].dynamic_properties.consumable_mass {kg},ventset_obj.tank[1].dynamic_properties.consumable_mass {kg},ventset_obj.set_2_tanks.force[0] {N},ventset_obj.set_2_tanks.force[1] {N},ventset_obj.set_2_tanks.force[2] {N},ventset_obj.set_2_tanks.torque[0] {N*m},ventset_obj.set_2_tanks.torque[1] {N*m},ventset_obj.set_2_tanks.torque[2] {N*m},ventset_obj.root_body.composite_body.state.trans.velocity[0] {m/s},ventset_obj.root_body.composite_body.state.trans.velocity[1] {m/s},ventset_obj.root_body.composite_body.state.trans.velocity[2] {m/s},ventset_obj.root_body.composite_body.state.rot.ang_vel_this[0] {rad/s},ventset_obj.root_body.composite_body.state.rot.ang_vel_this[1] {rad/s},ventset_obj.root_body.composite_body.state.rot.ang_vel_this[2] {rad/s}
                   0,                   5,                   1,                   1,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0
                   1,                 4.8,                 0.9,                 0.9,                0.01,                   0,               -0.01,                   0,               -0.01,                   0,                   0,               0.002,0.004000000000000001,0.004000000000000001,-0.004000000000000001,                   0
                   2,   4.699999999999999,                 0.8,                 0.9,                0.01,                   0,               -0.01,                   0,               -0.01,                   0,0.002088215355148991,0.002004159649557852,0.001921570259072453,0.004000000000000001,-0.006083333333333334,                   0
                   3,                 4.6,  0.7000000000000001,                 0.9,                   0,                   0,                   0,                   0,                   0,                   0,0.004233747306422292,0.002016863344923251,-0.0001880165839291217,0.004000000000000001,-0.008210992907801419,                   0
                   4,                 4.6,  0.7000000000000001,                 0.9,                   0,                   0,                   0,                   0,                   0,                   0,0.004233747306422292,0.002016863344923251,-0.0001880165839291217,0.004000000000000001,-0.008210992907801419,                   0
                   5,                 4.6,  0.7000000000000001,                 0.9,                   0,                   0,                   0,                   0,                   0,                   0,0.004233747306422292,0.002016863344923251,-0.0001880165839291217,0.004000000000000001,-0.008210992907801419,                   0
                   6,                 4.6,  0.7000000000000001,                 0.9,                   0,                   0,                   0,                   0,                   0,                   0,0.004233747306422292,0.002016863344923251,-0.0001880165839291217,0.004000000000000001,-0.008210992907801419,                   0
                   7,                 4.2,                 0.3,                 0.9,                   0,                   0,                   0,                   0,                   0,                   0,0.004233747306422292,0.002016863344923251,-0.0001880165839291217,0.004000000000000001,-0.008210992907801419,                   0
                   8,                   4,                 0.2,                 0.8,                0.01,                   0,               -0.01,                   0,               -0.01,                   0,0.003978694309683026,0.004263637370324475,0.004631903088581071,0.008761904761904764,-0.01297289766970618,2.023047440986833e-20
                   9,                 3.9,                 0.1,                 0.8,                   0,                   0,                   0,                   0,                   0,                   0,0.006624403375334706,0.004342004675225591,0.002288010954659624,0.008761904761904764,-0.01547289766970618,2.023047440986833e-20
                  10,                 3.9,                 0.1,                 0.8,                   0,                   0,                   0,                   0,                   0,                   0,0.006624403375334706,0.004342004675225591,0.002288010954659624,0.008761904761904764,-0.01547289766970618,4.803053011462485e-20
                  11,                 3.9,                 0.1,                 0.8,                   0,                   0,                   0,                   0,                   0,                   0,0.006624403375334706,0.004342004675225591,0.002288010954659624,0.008761904761904764,-0.01547289766970618,7.583058581938138e-20
                  12,                 3.9,                 0.1,                 0.8,                   0,                   0,                   0,                   0,                   0,                   0,0.006624403375334706,0.004342004675225591,0.002288010954659624,0.008761904761904764,-0.01547289766970618,1.036306415241379e-19
