sys.exec.out.time {s},test.att_manager.perturbation.active {--},test.att_manager.maneuver.active {--},test.att_manager.perturbation.initialized {--},test.att_manager.maneuver.initialized {--},test.att_manager.config {--}
                   0,0,1,1,1,2
                   1,0,0,1,1,0
                   2,0,1,1,1,2
                   3,0,0,1,1,0
