sys.exec.out.time {s},vehicle.dyn_body.structure.state.trans.position[0] {m},vehicle.dyn_body.structure.state.trans.position[1] {m},vehicle.dyn_body.structure.state.trans.position[2] {m},vehicle.dyn_body.structure.state.trans.velocity[0] {m/s},vehicle.dyn_body.structure.state.trans.velocity[1] {m/s},vehicle.dyn_body.structure.state.trans.velocity[2] {m/s},apsides_predictor.apsides.time_to_next_apsis {s},apsides_predictor.apsides.next_apsis_type {--},apsides_predictor.apsides.apoapsis_altitude {m},apsides_predictor.apsides.periapsis_altitude {m},apsides_predictor.planet_rel_state.state.sphere_coords.altitude {m}
                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,2,   426519.4853192959,              421863,   421863.0000000009
                 300,   6415211.299659836,   2255369.716484646,  -2.897968258326305,  -2540.758252903324,   7229.366565624415, -0.0207322225064798,                   0,2,   426439.4800934782,   421871.3637425844,   421982.7472785488
                 600,   5304436.676685402,   4255504.776509951,  -12.79643043592075,  -4793.708979099313,   5977.715988284383,-0.04491493045989104,                   0,2,   426327.5469118692,   421880.6303441748,   422331.3191694962
                 900,   3593474.643255967,   5774138.582923513,  -29.11285301680734,  -6503.858522027205,   4050.042659952878,-0.06194007854099982,                   0,2,   426249.3848220296,   421874.2581121475,   422872.9534831662
                1200,   1476011.187559334,   6639601.998076298,   -48.6352925102904,  -7477.934828876215,   1664.827640373294,-0.06601701234418073,                   0,2,   426220.0966990963,   421856.0109731359,   423548.3588669114
                1500,  -808381.0538404954,   6754214.957789836,  -67.64199330654986,   -7606.19541779393,  -907.8845707696855,-0.05942664539613943,                   0,2,   426223.0045416206,   421842.8034509039,   424281.6602131212
                1800,  -3001398.963751529,   6105254.633046283,  -83.85081807868896,  -6874.666557165391,   -3377.17000306131, -0.0482901946545765,                   0,2,   426233.4839058835,   421847.4417942958,   424989.4783901228
                2100,  -4855221.169958795,   4766292.141583381,  -96.43138565890574,  -5366.497018100939,  -5464.131523607412,-0.03502734347600805,                   0,2,    426237.142666989,   421862.2240816336,    425590.904423763
                2400,  -6160471.713270618,   2888790.432260472,  -104.1802367800502,  -3252.375793884718,   -6933.30630243995,-0.01477296162775689,                   0,2,   426236.8894903688,   421867.6186164599,   426017.7529712031
                2700,   -6769798.12121939,   684946.5358500995,  -103.7905556984921,  -771.1616408008084,  -7619.084872932453, 0.02030811802943764,                   0,2,   426238.0345092081,   421867.2732149819,   426223.2469160268
                3000,  -6614434.637508481,  -1596268.743410141,  -90.30366484572532,   1797.064051902812,  -7444.221226586983, 0.07184994896482892,                   0,2,   426237.6250441158,   421889.1140084146,   426186.5874857437
                3300,    -5711918.4371371,  -3697172.514765128,  -60.08186322561718,   4162.470936463298,  -6428.421377569433,  0.1290173025180203,                   0,2,   426238.2191399327,   421930.2918710494,   425913.0321537359
                3600,  -4164119.257616757,  -5380396.192945052,  -14.39129450420271,    6057.98870007153,  -4686.138721965758,  0.1712407025855934,                   0,2,    426245.373861867,   421937.8524780758,   425432.0916547216
                3900,  -2145802.837769045,  -6455650.942250059,   39.18406791531493,   7269.332796276752,  -2413.837410947814,  0.1791414924724178,                   0,2,   426233.6975997509,   421883.8041369747,    424796.110672717
                4200,   115025.1063712522,   -6801242.06728802,   88.94578936409351,   7659.256428851331,   131.9755661936769,  0.1461691562753539,                   0,2,   426160.5624272255,   421822.4754149057,   424077.6717708986
                4500,   2362824.293801333,  -6377887.556582132,   123.7800907130253,   7183.221091932971,   2663.613446498027, 0.08250345690182073,                   0,2,   426045.7878453685,   421826.9099055026,   423361.9776595924
                4800,   4343387.625409436,  -5233242.176058953,   137.4158336238904,   5894.593746549177,   4894.708816424936,0.008436744261355919,                   0,2,   425995.9069614625,   421891.0240985313,    422733.514627168
                5100,   5832604.419913623,  -3496591.480438053,   129.6765597175095,   3938.764724342024,     6572.6201479049,-0.05767822964745643,                   0,2,   426099.0985248499,   421939.8209616132,   422261.9821983166
                5400,   6661867.377175898,  -1364296.309751682,   104.4232103666226,   1536.862120777756,   7507.112694212408, -0.1080156921813004,                   0,2,   426294.1672739144,   421943.8417907553,   421993.9827669309
                5700,    6737239.05928759,   922400.2506231931,   66.23610134506286,  -1039.193827675205,   7592.104066021471, -0.1447347138891059,                   0,2,   426426.4670000412,   421941.6158291837,   421952.1441750443
                6000,   6050162.740486312,   3104716.500359699,   18.48946013678866,  -3497.585816449953,   6817.895796029756, -0.1721699875912619,                   0,2,   426417.7718461463,   421960.1444616644,    422137.533746154
